bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2023-09-10 00:00:01,246028000,PHET,9230115,NOORDAM,Under way using engine,60.73864167,-147.68756167,254.0,16.0,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:00:07,246028000,PHET,9230115,NOORDAM,Under way using engine,60.73850167,-147.68857000,254.0,15.9,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:05:07,246028000,PHET,9230115,NOORDAM,Under way using engine,60.73255000,-147.73136333,254.5,15.8,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:07:31,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72971000,-147.75193333,254.3,15.3,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:09:07,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72794333,-147.76516833,256.6,15.0,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:09:44,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72742667,-147.77026000,258.8,15.0,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:10:07,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72716333,-147.77344667,260.8,14.9,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:10:37,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72684333,-147.77778833,263.1,14.9,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:11:07,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72665500,-147.78180667,265.2,14.9,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:11:38,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72655500,-147.78614833,268.1,14.8,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:12:07,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72650167,-147.79020000,270.6,14.8,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:12:25,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72655500,-147.79271667,272.7,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:12:55,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72666167,-147.79687500,274.7,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:13:14,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72682167,-147.79946167,276.8,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:13:38,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72706000,-147.80281167,278.9,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:14:07,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72742833,-147.80679333,281.4,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:14:32,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72778333,-147.81011833,283.8,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:15:02,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72832000,-147.81413833,286.5,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:15:43,246028000,PHET,9230115,NOORDAM,Under way using engine,60.72918500,-147.81955667,289.2,14.7,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:20:43,246028000,PHET,9230115,NOORDAM,Under way using engine,60.73585833,-147.85889167,290.2,14.8,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:21:49,246028000,PHET,9230115,NOORDAM,Under way using engine,60.73742833,-147.86757000,292.2,14.8,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
2023-09-10 00:22:19,246028000,PHET,9230115,NOORDAM,Under way using engine,60.73823833,-147.87138833,294.3,14.8,US GB,2023-09-08 14:00:00,Passenger ship,8,285,32
