,bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
0,2023-07-02 00:00:28,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.79632167,-131.47255333,321.4,18.3,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
1,2023-07-02 00:01:12,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.8,-131.47666667,322.0,18.0,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
2,2023-07-02 00:01:57,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.801895,-131.47966667,321.1,18.3,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
3,2023-07-02 00:03:11,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.80697333,-131.48670167,319.1,18.4,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
4,2023-07-02 00:04:15,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.81166667,-131.49166667,321.0,19.0,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
5,2023-07-02 00:10:10,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.83474833,-131.52328333,321.3,18.5,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
6,2023-07-02 00:13:17,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.84666667,-131.54,319.0,19.0,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
7,2023-07-02 00:16:17,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.86,-131.55666667,320.0,20.0,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
8,2023-07-02 00:19:16,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.87166667,-131.575,317.0,20.0,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
9,2023-07-02 00:21:02,310625000,ZCEF2,9477438.0,QUEEN ELIZABETH,Under way using engine,51.87942167,-131.58541333,319.1,20.5,"TRACEY ARM, US",2023-07-02 14:00:00,Passenger ship,8.1,294.0,36.0
