date,boatName,portCode,ts_in,ts_out,portName,nextPort
2021-06-25,AMERICAN CONSTELLA,SKG,2021-06-25 05:00:00,unknown,SKAGWAY,SKAGWAY
2021-06-26,AMERICAN CONSTELLA,SKG,unknown,2021-06-26 05:00:00,SKAGWAY,AT SEA
2021-06-27,AMERICAN CONSTELLA,AS,2021-06-27 06:00:00,2021-06-27 22:00:00,AT SEA,AT SEA
2021-06-28,AMERICAN CONSTELLA,AS,2021-06-28 06:00:00,2021-06-28 22:00:00,AT SEA,AT SEA
2021-06-29,AMERICAN CONSTELLA,AS,2021-06-29 06:00:00,2021-06-29 22:00:00,AT SEA,AT SEA
2021-06-30,AMERICAN CONSTELLA,AS,2021-06-30 06:00:00,2021-06-30 22:00:00,AT SEA,AT SEA
2021-07-01,AMERICAN CONSTELLA,AS,2021-07-01 06:00:00,2021-07-01 22:00:00,AT SEA,AT SEA
2021-07-02,AMERICAN CONSTELLA,AS,2021-07-02 06:00:00,2021-07-02 22:00:00,AT SEA,AT SEA
2021-07-03,AMERICAN CONSTELLA,AS,2021-07-03 06:00:00,2021-07-03 22:00:00,AT SEA,AT SEA
2021-07-04,AMERICAN CONSTELLA,AS,2021-07-04 06:00:00,2021-07-04 22:00:00,AT SEA,AT SEA
2021-07-05,AMERICAN CONSTELLA,AS,2021-07-05 06:00:00,2021-07-05 22:00:00,AT SEA,AT SEA
2021-07-06,AMERICAN CONSTELLA,AS,2021-07-06 06:00:00,2021-07-06 22:00:00,AT SEA,AT SEA
2021-07-07,AMERICAN CONSTELLA,AS,2021-07-07 06:00:00,2021-07-07 22:00:00,AT SEA,AT SEA
2021-07-08,AMERICAN CONSTELLA,AS,2021-07-08 06:00:00,2021-07-08 22:00:00,AT SEA,AT SEA
2021-07-09,AMERICAN CONSTELLA,AS,2021-07-09 06:00:00,2021-07-09 22:00:00,AT SEA,AT SEA
2021-07-10,AMERICAN CONSTELLA,AS,2021-07-10 06:00:00,2021-07-10 22:00:00,AT SEA,AT SEA
2021-07-11,AMERICAN CONSTELLA,AS,2021-07-11 06:00:00,2021-07-11 22:00:00,AT SEA,AT SEA
2021-07-12,AMERICAN CONSTELLA,AS,2021-07-12 06:00:00,2021-07-12 22:00:00,AT SEA,AT SEA
2021-07-13,AMERICAN CONSTELLA,AS,2021-07-13 06:00:00,2021-07-13 22:00:00,AT SEA,AT SEA
2021-07-14,AMERICAN CONSTELLA,AS,2021-07-14 06:00:00,2021-07-14 22:00:00,AT SEA,PETERSBURG
2021-07-15,AMERICAN CONSTELLA,PTB,2021-07-15 01:30:00,2021-07-15 23:59:00,PETERSBURG,AT SEA
2021-07-16,AMERICAN CONSTELLA,AS,2021-07-16 06:00:00,2021-07-16 22:00:00,AT SEA,AT SEA
2021-07-17,AMERICAN CONSTELLA,AS,2021-07-17 06:00:00,2021-07-17 22:00:00,AT SEA,AT SEA
2021-07-18,AMERICAN CONSTELLA,AS,2021-07-18 06:00:00,2021-07-18 22:00:00,AT SEA,AT SEA
2021-07-19,AMERICAN CONSTELLA,AS,2021-07-19 06:00:00,2021-07-19 22:00:00,AT SEA,AT SEA
2021-07-20,AMERICAN CONSTELLA,AS,2021-07-20 06:00:00,2021-07-20 22:00:00,AT SEA,AT SEA
