name,mmsi,bs_ts,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
CORAL PRINCESS,310376000,2008-08-20T23:51:13,55.55425833,-132.1947933,0,314.7,20.1,315,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:59:19,55.587775,-132.2471883,0,323.0,20.2,323,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:59:14,55.587405,-132.2467083,0,323.2,20.2,323,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:58:43,55.58514,-132.24362,0,320.0,20.2,321,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:58:19,55.58342167,-132.2411583,0,320.0,20.1,320,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:55:19,55.570675,-132.2225367,0,320.7,19.7,321,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:54:49,55.56856667,-132.2194033,0,319.0,19.4,319,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:54:07,55.56572167,-132.2148367,0,316.5,19.8,316,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:54:47,55.5653333,-132.214667,15,360.0,102.3,511,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-21T00:00:38,55.593795,-132.2543833,0,326.4,19.9,327,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:59:50,55.59014333,-132.25012,0,325.0,20.1,325,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:13:37,55.46108833,-131.88752,0,288.2,18.5,287,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:12:13,55.45891833,-131.87634,0,289.8,18.7,288,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:11:37,55.45786833,-131.8713617,0,292.2,17.8,290,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:11:13,55.45710167,-131.86822,0,293.2,17.7,292,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:10:55,55.456465,-131.8659283,0,295.9,17.8,295,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:10:32,55.45553667,-131.86308,0,299.0,18.3,299,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:10:07,55.45443667,-131.8600817,0,301.3,18.6,302,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:09:37,55.45301,-131.8565717,0,305.3,18.9,306,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:09:32,55.45276667,-131.8560133,0,306.3,18.9,307,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:09:07,55.45153667,-131.853325,0,309.6,18.8,310,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:18:07,55.468415,-131.924935,0,288.2,18.7,287,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:16:38,55.465935,-131.9124317,0,288.5,18.8,287,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:25:43,55.481775,-131.9908883,0,289.0,19.3,287,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:22:38,55.476265,-131.96399,0,288.4,19.1,287,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:21:08,55.47363333,-131.950965,0,288.1,19.2,287,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:30:38,55.49288333,-132.0320967,0,297.4,18.9,295,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:29:25,55.4898,-132.0221183,0,297.7,19.4,296,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:28:32,55.48754333,-132.0149167,0,296.1,19.4,296,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:27:56,55.48610167,-132.0099683,0,294.4,19.4,293,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:27:26,55.48498667,-132.0057533,0,293.0,19.4,291,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:26:49,55.483785,-132.0006083,0,290.0,19.3,288,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T23:32:55,55.49849,-132.051185,0,297.0,19.3,297,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T12:18:35,55.27576833,-131.4975233,0,303.3,18.3,303,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:18:11,55.274635,-131.4947083,0,306.3,18.4,306,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:17:48,55.273495,-131.4921817,0,309.0,18.6,309,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:17:23,55.27217667,-131.4895467,0,312.6,19.0,313,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:17:00,55.27080667,-131.487105,0,316.1,19.1,317,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:16:48,55.27014167,-131.4860117,0,317.0,19.0,318,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:16:29,55.26896833,-131.4842133,0,320.4,19.1,321,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:13:54,55.25886167,-131.47014,0,322.5,19.2,322,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:13:42,55.25801333,-131.4689783,0,322.8,19.1,322,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:25:23,55.28666833,-131.5445783,0,290.0,14.4,290,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:23:35,55.28439667,-131.5330017,0,289.3,15.3,289,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:22:17,55.28270667,-131.5239717,0,289.3,16.5,289,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:21:29,55.281535,-131.5182717,0,291.9,17.2,290,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:20:41,55.2802,-131.5125017,0,292.6,17.6,291,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:20:05,55.27909,-131.5081417,0,294.9,18.2,294,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:19:29,55.277855,-131.50379,0,296.6,18.1,296,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:18:59,55.27676333,-131.500325,0,299.6,18.3,299,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:33:08,55.29976833,-131.58276,0,329.5,11.0,329,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:32:38,55.29852167,-131.581315,0,326.0,11.3,325,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:32:08,55.29727,-131.5796117,0,321.4,11.6,320,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:31:38,55.29611833,-131.577755,0,316.9,11.7,315,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:31:08,55.29508,-131.5757783,0,311.9,11.7,311,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:30:38,55.29403333,-131.5735183,0,308.4,11.7,308,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:30:08,55.29311833,-131.5713033,0,305.9,11.8,305,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:29:58,55.29279,-131.5704367,0,304.4,11.9,304,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:29:23,55.29182833,-131.56766,0,300.9,12.0,301,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:29:12,55.29153333,-131.56674,0,300.4,12.1,299,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:28:47,55.29087833,-131.5645017,0,297.0,12.3,297,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:28:05,55.28992667,-131.5608117,0,294.3,12.4,293,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:27:59,55.28979333,-131.560245,0,293.4,12.5,293,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T12:26:47,55.28836167,-131.5532817,0,290.1,13.3,291,9229659,ZCDF4,KETCHIKAN
CORAL PRINCESS,310376000,2008-08-20T22:24:02,55.353505,-131.6994583,0,301.4,8.4,318,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T22:23:34,55.35269333,-131.6981517,0,306.9,8.4,318,9229659,ZCDF4,JUNEAU
CORAL PRINCESS,310376000,2008-08-20T22:23:23,55.35237833,-131.697645,0,312.8,8.2,317,9229659,ZCDF4,JUNEAU
