bs_ts,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-08-22T23:59:49,310404000,60.72496833,-147.7876167,0,262.3,15.0,265,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:59:38,310404000,60.72506667,-147.7859483,0,261.7,15.0,264,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:59:32,310404000,60.72512167,-147.7851083,0,260.7,15.0,263,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:59:26,310404000,60.72519333,-147.7841317,0,259.7,15.0,262,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:59:19,310404000,60.72526,-147.7833167,0,259.0,15.0,261,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:59:15,310404000,60.72533167,-147.782485,0,259.0,15.0,261,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:50,310404000,60.72566333,-147.779165,0,256.8,15.1,258,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:44,310404000,60.72574333,-147.7784767,0,256.2,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:39,310404000,60.725855,-147.7775167,0,256.2,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:27,310404000,60.72605167,-147.775865,0,255.8,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:22,310404000,60.72615,-147.77504,0,256.2,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:22,310404000,60.72625,-147.77422,0,256.2,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:22,310404000,60.72634833,-147.7733917,0,255.8,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:22,310404000,60.72634833,-147.7733917,0,255.8,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:14,310404000,60.7266667,-147.768,15,360.0,102.3,511,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:58:01,310404000,60.72644833,-147.77257,0,256.2,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:57,310404000,60.72652833,-147.7718883,0,255.8,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:50,310404000,60.72664333,-147.7709283,0,255.8,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:44,310404000,60.72674167,-147.7701067,0,256.2,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:39,310404000,60.72682,-147.7694217,0,256.8,15.0,258,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:31,310404000,60.727145,-147.7666783,0,256.2,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:27,310404000,60.72703333,-147.7676383,0,256.2,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:20,310404000,60.727145,-147.7666783,0,256.2,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:57:14,310404000,60.72722667,-147.7659967,0,256.2,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:56:27,310404000,60.72799167,-147.7594217,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:56:09,310404000,60.72827333,-147.7569483,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:55:57,310404000,60.72846,-147.7553117,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:55:45,310404000,60.72864833,-147.7536667,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:55:32,310404000,60.72884667,-147.7518967,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:55:26,310404000,60.72894167,-147.7510767,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:55:15,310404000,60.72912667,-147.7494333,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:54:57,310404000,60.72939,-147.747105,0,257.0,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:54:49,310404000,60.72949833,-147.7461467,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:54:24,310404000,60.73005167,-147.7412133,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:53:50,310404000,60.73043833,-147.7377833,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:53:26,310404000,60.73080333,-147.7345067,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:53:25,310404000,60.73089667,-147.7336833,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:53:08,310404000,60.73108333,-147.73202,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:52:51,310404000,60.731365,-147.7295517,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:52:40,310404000,60.73154833,-147.72791,0,256.2,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:52:26,310404000,60.73174,-147.72628,0,256.6,15.0,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
2008-08-22T23:52:03,310404000,60.73211667,-147.7229917,0,256.6,15.1,257,9228198,ZCDF8,DIAMOND PRINCESS,16,BLIGH REEF PILOT
