bs_ts,name,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
2008-08-26T23:17:06,OOSTERDAM,245417000,59.852035,-139.6965467,0,192.0,16.4,192,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:16:43,OOSTERDAM,245417000,59.85385833,-139.695745,0,193.0,16.3,192,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:13:01,OOSTERDAM,245417000,59.86961333,-139.6870783,0,196.4,15.7,195,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:13:56,OOSTERDAM,245417000,59.86581333,-139.6892217,0,195.7,15.8,195,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:12:01,OOSTERDAM,245417000,59.873645,-139.68462,0,201.2,15.4,198,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:12:13,OOSTERDAM,245417000,59.87291,-139.685105,0,198.8,15.4,197,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:11:19,OOSTERDAM,245417000,59.87654167,-139.6823833,0,203.2,15.1,201,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:10:30,OOSTERDAM,245417000,59.87951833,-139.6796983,0,208.3,14.8,206,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:09:50,OOSTERDAM,245417000,59.88206833,-139.6767533,0,210.0,14.4,210,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:07:45,OOSTERDAM,245417000,59.88881333,-139.668655,0,211.7,13.2,210,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:06:04,OOSTERDAM,245417000,59.89382,-139.6624567,0,215.2,12.1,211,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:06:14,OOSTERDAM,245417000,59.893335,-139.663075,0,214.2,12.2,210,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:05:04,OOSTERDAM,245417000,59.896445,-139.6585867,0,220.4,11.5,217,9221281,PBKH,HUBBARD GLACIER
2008-08-26T23:05:34,OOSTERDAM,245417000,59.895175,-139.6605383,0,219.3,11.8,214,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:39:14,OOSTERDAM,245417000,59.89902667,-139.6502033,0,31.1,8.8,39,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:38:04,OOSTERDAM,245417000,59.896355,-139.6531783,0,23.6,10.6,28,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:37:44,OOSTERDAM,245417000,59.89546833,-139.6540167,0,22.3,10.9,26,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:36:58,OOSTERDAM,245417000,59.89327667,-139.6557517,0,20.4,11.2,25,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:35:53,OOSTERDAM,245417000,59.89001333,-139.65813,0,18.6,12.1,21,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:34:17,OOSTERDAM,245417000,59.88457667,-139.6618433,0,19.3,13.7,21,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:33:28,OOSTERDAM,245417000,59.88165333,-139.6638817,0,19.0,14.4,21,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:31:40,OOSTERDAM,245417000,59.87454167,-139.6689367,0,19.1,15.5,21,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:29:34,OOSTERDAM,245417000,59.86573833,-139.6752,0,18.6,16.6,20,9221281,PBKH,HUBBARD GLACIER
2008-08-26T19:27:10,OOSTERDAM,245417000,59.85517,-139.6825033,0,18.6,17.2,20,9221281,PBKH,HUBBARD GLACIER
2008-08-26T22:14:03,OOSTERDAM,245417000,59.98946333,-139.5489717,0,213.4,3.0,192,9221281,PBKH,HUBBARD GLACIER
2008-08-26T22:07:04,OOSTERDAM,245417000,59.993695,-139.5427083,0,221.3,2.1,196,9221281,PBKH,HUBBARD GLACIER
2008-08-26T22:06:04,OOSTERDAM,245417000,59.99418,-139.541955,0,222.8,2.1,200,9221281,PBKH,HUBBARD GLACIER
2008-08-26T22:01:45,OOSTERDAM,245417000,59.99579833,-139.5393583,0,237.0,1.4,225,9221281,PBKH,HUBBARD GLACIER
