bs_ts,mmsi,lat,lon,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-08-02T00:45:37,309653000,54.5266667,-131.236,360.0,102.3,511,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:40:58,309653000,54.54853667,-131.24149,174.9,21.6,172,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:39:34,309653000,54.55689833,-131.242725,175.4,21.6,172,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:39:04,309653000,54.55988,-131.2431067,176.1,21.6,173,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:38:52,309653000,54.56098,-131.2432567,175.8,21.8,173,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:38:28,309653000,54.56359667,-131.2436067,174.9,21.7,172,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:38:16,309653000,54.564795,-131.24379,174.9,21.6,172,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:38:10,309653000,54.56527833,-131.2438567,175.1,21.6,172,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:37:27,309653000,54.56947667,-131.24446,176.9,21.8,173,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:37:22,309653000,54.57007667,-131.2445117,177.9,21.7,174,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:37:16,309653000,54.57067667,-131.2445617,178.2,21.8,174,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:37:04,309653000,54.571875,-131.2446317,179.2,21.8,175,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:36:58,309653000,54.57239167,-131.2446483,179.9,21.7,176,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:36:52,309653000,54.572975,-131.2446667,179.9,21.8,176,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:36:22,309653000,54.57610667,-131.24459,182.6,21.9,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:36:15,309653000,54.57730667,-131.24449,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:36:10,309653000,54.57730667,-131.24449,183.3,21.9,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:36:04,309653000,54.57792333,-131.2444417,183.3,21.9,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:35:58,309653000,54.57854,-131.244375,183.6,22.0,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:35:40,309653000,54.58025667,-131.2441767,185.1,22.0,182,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:35:16,309653000,54.58277167,-131.2438267,184.0,22.1,182,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:35:11,309653000,54.58328833,-131.2437583,183.8,22.0,182,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:58,309653000,54.58460333,-131.2436383,181.5,22.0,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:52,309653000,54.58522167,-131.2435867,181.8,22.0,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:46,309653000,54.58582,-131.24357,181.3,22.1,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:40,309653000,54.58643667,-131.2435367,180.8,22.2,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:28,309653000,54.58767,-131.243505,182.0,22.2,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:22,309653000,54.588285,-131.2434733,182.3,22.2,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:16,309653000,54.588885,-131.24344,183.6,22.2,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:34:04,309653000,54.59012,-131.2433083,183.6,22.1,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:33:58,309653000,54.590635,-131.2432583,183.6,22.1,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:33:23,309653000,54.59441833,-131.2428417,183.3,22.3,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:33:16,309653000,54.59501833,-131.242775,183.5,22.3,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:33:10,309653000,54.595635,-131.242725,183.3,22.2,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-08-02T00:33:04,309653000,54.59625,-131.24266,183.3,22.3,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
