bs_ts,mmsi,lat,lon,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-08-14T20:26:43,311082000,54.39224667,-131.41683,106.4,21.5,107,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T20:26:37,311082000,54.39241667,-131.41781,106.4,21.5,107,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:57:12,311082000,55.29383167,-134.1450883,149.1,19.8,150,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:57:04,311082000,55.29438167,-134.1456767,149.4,19.9,150,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:50:52,311082000,55.32544333,-134.1704117,157.5,19.8,159,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:50:46,311082000,55.325955,-134.1707667,157.5,19.8,159,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:50:39,311082000,55.32645667,-134.1711533,156.5,19.8,158,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:50:28,311082000,55.327465,-134.171895,156.5,19.9,159,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:38:44,311082000,55.39780167,-134.2254633,154.3,19.8,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:37:18,311082000,55.39829667,-134.2258717,154.6,19.7,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:36:22,311082000,55.39870833,-134.2262233,154.1,19.8,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:36:11,311082000,55.39927833,-134.22671,154.3,19.8,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:35:58,311082000,55.40026167,-134.2275467,153.8,19.7,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:35:52,311082000,55.400845,-134.2279933,154.1,19.8,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:33:36,311082000,55.41211833,-134.2374533,154.1,19.8,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:32:53,311082000,55.41566,-134.2403983,155.1,19.8,158,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:32:35,311082000,55.41714333,-134.2416183,155.0,19.7,158,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:32:22,311082000,55.41812833,-134.24245,154.5,19.7,158,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:31:47,311082000,55.421145,-134.2450467,154.3,19.8,157,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:31:23,311082000,55.42304667,-134.2466433,154.5,19.8,158,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:30:35,311082000,55.42690833,-134.249925,154.8,19.8,158,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:26:23,311082000,55.44774833,-134.2677483,151.3,19.8,156,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:26:10,311082000,55.44878333,-134.26875,151.6,19.8,156,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:26:04,311082000,55.44918333,-134.2691417,150.6,19.8,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:59,311082000,55.44966667,-134.2695883,150.9,19.7,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:55,311082000,55.45014,-134.2700733,0.0,0.0,0,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:54,311082000,55.45014,-134.2700733,151.3,19.7,156,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:46,311082000,55.45062333,-134.2705317,150.9,19.6,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:40,311082000,55.45109833,-134.2709883,150.3,19.7,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:34,311082000,55.45158,-134.2714517,150.3,19.7,156,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:28,311082000,55.45197167,-134.2718483,150.6,19.7,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:24,311082000,55.45244833,-134.2723067,150.6,19.7,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:25:17,311082000,55.45292333,-134.2727667,151.2,19.7,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:23:52,311082000,55.45969,-134.279315,150.9,19.6,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:23:47,311082000,55.46025167,-134.2798333,151.4,19.6,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
2008-08-14T14:23:10,311082000,55.463095,-134.2825983,151.7,19.6,155,9195157,C6FR3,NORWEGIAN STAR,16,PRINCE RUPERT
