bs_ts,name,mmsi,destination,heading,lat,lon,cog,sog,nav_status,imo,callsign,Type of ship
2008-08-19T23:59:25,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.85298833,-145.4733417,127.9,17.0,0,9230402,ZCDG4,16
2008-08-19T23:59:06,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85392333,-145.47575,126.2,17.0,0,9230402,ZCDG4,16
2008-08-19T23:59:00,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85420833,-145.4764983,127.9,17.0,0,9230402,ZCDG4,16
2008-08-19T23:58:37,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85528667,-145.4793267,126.9,16.8,0,9230402,ZCDG4,16
2008-08-19T23:58:30,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.855615,-145.48018,126.9,17.0,0,9230402,ZCDG4,16
2008-08-19T23:58:23,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.8559,-145.48093,127.6,17.1,0,9230402,ZCDG4,16
2008-08-19T23:58:18,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85617833,-145.481655,128.0,17.2,0,9230402,ZCDG4,16
2008-08-19T23:58:12,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85647333,-145.4824017,127.3,17.1,0,9230402,ZCDG4,16
2008-08-19T23:58:09,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85675,-145.4831317,127.6,17.0,0,9230402,ZCDG4,16
2008-08-19T23:57:55,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85731667,-145.4845967,127.6,17.0,0,9230402,ZCDG4,16
2008-08-19T23:57:49,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85756,-145.4852067,127.6,17.0,0,9230402,ZCDG4,16
2008-08-19T23:57:35,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.85823333,-145.4869233,127.2,16.9,0,9230402,ZCDG4,16
2008-08-19T23:57:30,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.85851167,-145.4876417,128.9,17.0,0,9230402,ZCDG4,16
2008-08-19T23:57:24,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.858755,-145.4882433,127.9,17.0,0,9230402,ZCDG4,16
2008-08-19T23:56:07,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.862565,-145.4979017,127.5,16.9,0,9230402,ZCDG4,16
2008-08-19T23:55:47,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.86341833,-145.500105,127.9,17.0,0,9230402,ZCDG4,16
2008-08-19T23:54:35,ISLAND PRINCESS,310384000,GLACIER BAY,131,59.866825,-145.50897,127.6,17.1,0,9230402,ZCDG4,16
2008-08-19T23:53:25,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.87028667,-145.517915,128.6,17.0,0,9230402,ZCDG4,16
2008-08-19T23:53:17,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.87057167,-145.518635,128.6,17.0,0,9230402,ZCDG4,16
2008-08-19T23:52:55,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.87171333,-145.5215533,127.9,16.9,0,9230402,ZCDG4,16
2008-08-19T23:51:01,ISLAND PRINCESS,310384000,GLACIER BAY,132,59.87717333,-145.535535,128.9,17.0,0,9230402,ZCDG4,16
2008-08-19T23:48:17,ISLAND PRINCESS,310384000,GLACIER BAY,130,59.88499,-145.5558733,126.3,17.1,0,9230402,ZCDG4,16
2008-08-19T23:47:23,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.88753167,-145.562835,124.9,17.1,0,9230402,ZCDG4,16
2008-08-19T23:46:36,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.88974,-145.56902,126.0,17.4,0,9230402,ZCDG4,16
2008-08-19T23:42:53,ISLAND PRINCESS,310384000,GLACIER BAY,129,59.90040167,-145.5971183,128.0,17.5,0,9230402,ZCDG4,16
2008-08-19T23:39:48,ISLAND PRINCESS,310384000,GLACIER BAY,129,59.909475,-145.6208583,128.3,17.4,0,9230402,ZCDG4,16
2008-08-19T23:37:36,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.91583333,-145.637695,127.6,17.3,0,9230402,ZCDG4,16
2008-08-19T23:37:31,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.91606833,-145.6383033,126.6,17.3,0,9230402,ZCDG4,16
2008-08-19T23:37:26,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.91634833,-145.6390667,127.0,17.3,0,9230402,ZCDG4,16
2008-08-19T23:36:31,ISLAND PRINCESS,310384000,GLACIER BAY,127,59.91895,-145.64623,126.3,17.5,0,9230402,ZCDG4,16
2008-08-19T23:35:49,ISLAND PRINCESS,310384000,GLACIER BAY,127,59.92091333,-145.651625,126.3,17.4,0,9230402,ZCDG4,16
2008-08-19T23:35:28,ISLAND PRINCESS,310384000,GLACIER BAY,127,59.921815,-145.6540383,126.0,17.3,0,9230402,ZCDG4,16
2008-08-19T23:35:25,ISLAND PRINCESS,310384000,GLACIER BAY,127,59.92205,-145.6546767,127.0,17.4,0,9230402,ZCDG4,16
2008-08-19T23:35:12,ISLAND PRINCESS,310384000,GLACIER BAY,127,59.922675,-145.65633,127.0,17.4,0,9230402,ZCDG4,16
2008-08-19T23:34:43,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.92409667,-145.6601117,128.3,17.3,0,9230402,ZCDG4,16
2008-08-19T23:34:11,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.92558667,-145.6639967,127.3,17.4,0,9230402,ZCDG4,16
2008-08-19T23:33:33,ISLAND PRINCESS,310384000,GLACIER BAY,128,59.92786833,-145.6700117,127.0,17.3,0,9230402,ZCDG4,16
2008-08-19T23:32:30,ISLAND PRINCESS,310384000,GLACIER BAY,127,59.93046333,-145.676905,126.3,17.1,0,9230402,ZCDG4,16
2008-08-19T23:32:24,ISLAND PRINCESS,310384000,GLACIER BAY,126,59.930745,-145.677675,123.9,17.1,0,9230402,ZCDG4,16
2008-08-19T23:32:07,ISLAND PRINCESS,310384000,GLACIER BAY,125,59.93155167,-145.6799467,123.6,17.0,0,9230402,ZCDG4,16
2008-08-19T23:31:11,ISLAND PRINCESS,310384000,GLACIER BAY,122,59.93389667,-145.6871383,121.3,17.1,0,9230402,ZCDG4,16
2008-08-19T23:30:50,ISLAND PRINCESS,310384000,GLACIER BAY,120,59.93478833,-145.690195,118.2,16.8,0,9230402,ZCDG4,16
2008-08-19T23:30:43,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93500833,-145.691,116.9,16.8,0,9230402,ZCDG4,16
2008-08-19T23:30:36,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93522167,-145.691805,117.6,17.0,0,9230402,ZCDG4,16
2008-08-19T23:30:30,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93543333,-145.692625,117.9,17.1,0,9230402,ZCDG4,16
2008-08-19T23:29:35,ISLAND PRINCESS,310384000,GLACIER BAY,118,59.937325,-145.70036,117.6,17.1,0,9230402,ZCDG4,16
2008-08-19T23:29:19,ISLAND PRINCESS,310384000,GLACIER BAY,0,59.93837333,-145.70448,0.0,0.0,0,9230402,ZCDG4,16
2008-08-19T23:29:19,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93837333,-145.70448,118.6,17.1,0,9230402,ZCDG4,16
2008-08-19T23:29:11,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93816167,-145.70367,118.3,17.0,0,9230402,ZCDG4,16
2008-08-19T23:29:05,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93837333,-145.70448,118.6,17.1,0,9230402,ZCDG4,16
2008-08-19T23:29:00,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93862333,-145.7054333,117.6,16.9,0,9230402,ZCDG4,16
2008-08-19T23:28:53,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93883333,-145.70625,117.6,16.7,0,9230402,ZCDG4,16
2008-08-19T23:28:48,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.939045,-145.7070583,116.6,16.9,0,9230402,ZCDG4,16
2008-08-19T23:28:35,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.93943333,-145.708555,116.5,16.6,0,9230402,ZCDG4,16
2008-08-19T23:28:05,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.94051167,-145.712795,117.6,17.1,0,9230402,ZCDG4,16
2008-08-19T23:27:24,ISLAND PRINCESS,310384000,GLACIER BAY,118,59.94224,-145.7194383,116.9,16.6,0,9230402,ZCDG4,16
2008-08-19T23:27:24,ISLAND PRINCESS,310384000,GLACIER BAY,118,59.94241,-145.7201117,115.9,16.6,0,9230402,ZCDG4,16
2008-08-19T23:27:06,ISLAND PRINCESS,310384000,GLACIER BAY,118,59.942645,-145.7210583,116.6,16.7,0,9230402,ZCDG4,16
2008-08-19T23:26:48,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.94324333,-145.72352,115.5,16.4,0,9230402,ZCDG4,16
2008-08-19T23:26:30,ISLAND PRINCESS,310384000,GLACIER BAY,120,59.94385667,-145.7259367,118.2,16.8,0,9230402,ZCDG4,16
2008-08-19T23:26:11,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.94450333,-145.7283667,117.9,16.6,0,9230402,ZCDG4,16
2008-08-19T23:25:42,ISLAND PRINCESS,310384000,GLACIER BAY,119,59.94553333,-145.7323533,117.9,16.6,0,9230402,ZCDG4,16
