bs_ts,name,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
2008-07-24T00:10:27,AMSTERDAM,244370000,54.54728,-131.3142333,0,148,22.3,150,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:01:03,AMSTERDAM,244370000,54.601195,-131.3195067,0,208,21.9,207,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:01:15,AMSTERDAM,244370000,54.60012333,-131.3204767,0,208,21.9,207,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:00:10,AMSTERDAM,244370000,54.60593167,-131.3152583,0,208,21.8,207,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:00:40,AMSTERDAM,244370000,54.60325167,-131.31766,0,207,21.8,207,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:00:45,AMSTERDAM,244370000,54.60280333,-131.31806,0,208,21.9,207,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:09:45,AMSTERDAM,244370000,54.550965,-131.3180617,0,149,22.1,150,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:06:28,AMSTERDAM,244370000,54.56962667,-131.330025,0,173,21.9,173,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:04:15,AMSTERDAM,244370000,54.58300667,-131.3302133,0,188,21.7,187,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:04:22,AMSTERDAM,244370000,54.58230833,-131.3303567,0,186,21.8,186,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:03:15,AMSTERDAM,244370000,54.58893167,-131.3281983,0,195,21.8,194,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:03:22,AMSTERDAM,244370000,54.58825,-131.328505,0,195,21.8,194,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:03:57,AMSTERDAM,244370000,54.5848,-131.3297517,0,190,21.8,189,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:02:15,AMSTERDAM,244370000,54.59466833,-131.3249267,0,203,21.9,201,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:02:45,AMSTERDAM,244370000,54.59183167,-131.3267333,0,199,21.8,198,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:02:57,AMSTERDAM,244370000,54.59068,-131.327355,0,197,21.8,196,9188037,PBAD,VICTORIA (PILOT)
2008-07-24T00:01:52,AMSTERDAM,244370000,54.59687167,-131.3232583,0,205,22.0,204,9188037,PBAD,VICTORIA (PILOT)
