name,mmsi,bs_ts,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
CARNIVAL SPIRIT,357658000,2008-07-07T01:42:58,59.35186333,-135.3720583,5,185.5,18.3,189,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:39:10,59.37077167,-135.3681717,5,186.4,17.9,189,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:39:58,59.36672667,-135.3690067,5,186.4,17.9,189,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:37:40,59.37813667,-135.366145,5,188.1,17.8,191,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:35:28,59.388625,-135.3631367,5,187.9,17.0,191,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:34:22,59.39356833,-135.3617833,5,187.2,16.5,190,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:33:16,59.398575,-135.3604617,5,188.2,16.0,190,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:26:02,59.427455,-135.349935,5,193.4,12.7,193,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:25:01,59.43075333,-135.34823,5,195.9,11.7,195,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:25:11,59.43028,-135.3484917,5,195.4,11.8,195,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:24:11,59.43323167,-135.3467783,5,197.7,10.6,195,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:23:32,59.43504667,-135.34563,5,199.3,9.8,197,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:22:01,59.438385,-135.3429067,5,207.2,7.0,204,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:22:11,59.43807833,-135.343205,5,206.9,7.3,203,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:22:42,59.43705,-135.3441017,5,203.4,8.4,200,9188647,3FPR9,SITKA
CARNIVAL SPIRIT,357658000,2008-07-07T01:22:52,59.43667667,-135.3444183,5,203.2,8.8,200,9188647,3FPR9,SITKA
