bs_ts,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-07-16T23:59:45,249053000,59.79611667,-139.7137167,0,197.2,16.8,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:59:38,249053000,59.79685,-139.7132667,0,197.2,16.8,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:59:34,249053000,59.7969,-139.7132333,0,197.9,16.8,200,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:59:27,249053000,59.79756667,-139.7128167,0,198.2,16.8,200,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:59:21,249053000,59.79791667,-139.7125833,0,197.9,16.8,200,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:59:14,249053000,59.79828333,-139.7123833,0,197.9,16.7,200,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:59:09,249053000,59.79878333,-139.71205,0,198.2,16.8,200,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:59:02,249053000,59.79915,-139.7118167,0,197.2,16.7,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:58:56,249053000,59.7998,-139.7114167,0,197.2,16.6,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:58:51,249053000,59.8001,-139.7112333,0,197.2,16.6,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:58:45,249053000,59.80043333,-139.7110167,0,197.2,16.5,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:58:38,249053000,59.80095,-139.7107,0,197.2,16.5,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:58:33,249053000,59.80145,-139.7103833,0,196.9,16.6,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:58:26,249053000,59.80188333,-139.7101167,0,197.2,16.5,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:58:20,249053000,59.80223333,-139.7099,0,197.2,16.4,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:57:57,249053000,59.804,-139.7088,0,197.2,16.4,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:57:48,249053000,59.802,-139.7015,15,360.0,102.3,511,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:57:45,249053000,59.80485,-139.7082833,0,197.2,16.2,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:57:40,249053000,59.80543333,-139.7079167,0,196.8,16.2,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:57:34,249053000,59.806,-139.7075667,0,196.8,16.1,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:57:26,249053000,59.80618333,-139.70745,0,196.8,16.1,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:57:21,249053000,59.80661667,-139.7072,0,196.8,16.0,199,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
2008-07-16T23:56:57,249053000,59.80828333,-139.7062,0,196.2,16.0,198,9106302,9HJG9,CELEBRITY MERCURY,16,HUBBARD GLACIER
