bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign
2008-07-19T23:59:53,245968000,VOLENDAM,COLLEGE FJORD,60.72234833,-147.745805,260,257.5,15.9,0,9156515.0,PCHM
2008-07-19T23:59:47,245968000,VOLENDAM,COLLEGE FJORD,60.72243167,-147.7450833,259,256.9,15.8,0,9156515.0,PCHM
2008-07-19T23:59:40,245968000,VOLENDAM,COLLEGE FJORD,60.72254833,-147.7440667,259,256.0,15.8,0,9156515.0,PCHM
2008-07-19T23:59:29,245968000,VOLENDAM,COLLEGE FJORD,60.72273333,-147.7424733,258,255.9,15.9,0,9156515.0,PCHM
2008-07-19T23:59:23,245968000,VOLENDAM,COLLEGE FJORD,60.72284833,-147.7414267,257,253.9,15.8,0,9156515.0,PCHM
2008-07-19T23:59:17,245968000,VOLENDAM,COLLEGE FJORD,60.72294833,-147.7407267,256,254.4,16.0,0,9156515.0,PCHM
2008-07-19T23:59:12,245968000,VOLENDAM,COLLEGE FJORD,60.72308167,-147.7397083,256,253.6,16.0,0,9156515.0,PCHM
2008-07-19T23:59:04,245968000,VOLENDAM,COLLEGE FJORD,60.72319667,-147.7388667,255,251.9,15.9,0,9156515.0,PCHM
2008-07-19T23:58:59,245968000,VOLENDAM,COLLEGE FJORD,60.72329667,-147.7381617,254,251.3,15.8,0,9156515.0,PCHM
2008-07-19T23:58:47,245968000,VOLENDAM,COLLEGE FJORD,60.72358,-147.7363067,252,250.3,16.0,0,9156515.0,PCHM
2008-07-19T23:58:34,245968000,VOLENDAM,COLLEGE FJORD,60.723895,-147.734435,251,249.1,16.0,0,9156515.0,PCHM
2008-07-19T23:58:29,245968000,VOLENDAM,COLLEGE FJORD,60.72401333,-147.7337483,250,250.0,15.8,0,9156515.0,PCHM
2008-07-19T23:58:23,245968000,VOLENDAM,COLLEGE FJORD,60.72416167,-147.7329133,250,249.1,15.9,0,9156515.0,PCHM
2008-07-19T23:58:17,245968000,VOLENDAM,COLLEGE FJORD,60.72433167,-147.7320683,250,249.2,15.7,0,9156515.0,PCHM
2008-07-19T23:58:10,245968000,VOLENDAM,COLLEGE FJORD,60.72448167,-147.7312283,250,249.1,15.7,0,9156515.0,PCHM
2008-07-19T23:58:04,245968000,VOLENDAM,COLLEGE FJORD,60.72463333,-147.7303933,250,249.6,15.8,0,9156515.0,PCHM
2008-07-19T23:57:52,245968000,VOLENDAM,COLLEGE FJORD,60.72495,-147.72872,250,249.0,15.8,0,9156515.0,PCHM
2008-07-19T23:57:47,245968000,VOLENDAM,COLLEGE FJORD,60.72511833,-147.7278467,250,249.6,15.9,0,9156515.0,PCHM
2008-07-19T23:57:41,245968000,VOLENDAM,COLLEGE FJORD,60.72527,-147.7270417,250,249.3,15.9,0,9156515.0,PCHM
2008-07-19T23:57:34,245968000,VOLENDAM,COLLEGE FJORD,60.72542,-147.7262033,250,248.7,16.0,0,9156515.0,PCHM
2008-07-19T23:57:29,245968000,VOLENDAM,COLLEGE FJORD,60.725555,-147.7254983,250,249.3,15.9,0,9156515.0,PCHM
2008-07-19T23:57:23,245968000,VOLENDAM,COLLEGE FJORD,60.72574,-147.7245217,250,249.2,15.8,0,9156515.0,PCHM
2008-07-19T23:57:17,245968000,VOLENDAM,COLLEGE FJORD,60.72589,-147.7236883,250,248.9,15.9,0,9156515.0,PCHM
2008-07-19T23:57:04,245968000,VOLENDAM,COLLEGE FJORD,60.72620833,-147.722015,250,249.4,15.9,0,9156515.0,PCHM
2008-07-19T23:56:59,245968000,VOLENDAM,COLLEGE FJORD,60.72636,-147.7211733,250,249.3,15.6,0,9156515.0,PCHM
2008-07-19T23:56:52,245968000,VOLENDAM,COLLEGE FJORD,60.72652667,-147.7203367,250,248.7,15.8,0,9156515.0,PCHM
2008-07-19T23:56:48,245968000,VOLENDAM,COLLEGE FJORD,60.72666167,-147.7196133,250,248.9,15.7,0,9156515.0,PCHM
2008-07-19T23:56:41,245968000,VOLENDAM,COLLEGE FJORD,60.72681167,-147.7188067,250,249.6,15.9,0,9156515.0,PCHM
2008-07-19T23:56:34,245968000,VOLENDAM,COLLEGE FJORD,60.726995,-147.7178217,250,249.0,15.8,0,9156515.0,PCHM
2008-07-19T23:56:29,245968000,VOLENDAM,COLLEGE FJORD,60.72713,-147.717135,250,248.4,15.7,0,9156515.0,PCHM
2008-07-19T23:56:23,245968000,VOLENDAM,COLLEGE FJORD,60.72733167,-147.7161467,250,249.4,15.8,0,9156515.0,PCHM
2008-07-19T23:56:18,245968000,VOLENDAM,COLLEGE FJORD,60.72748167,-147.715325,250,249.5,15.8,0,9156515.0,PCHM
2008-07-19T23:56:11,245968000,VOLENDAM,COLLEGE FJORD,60.72763333,-147.7144883,250,248.6,15.8,0,9156515.0,PCHM
2008-07-19T23:56:04,245968000,VOLENDAM,COLLEGE FJORD,60.72778333,-147.7136683,250,248.7,15.8,0,9156515.0,PCHM
2008-07-19T23:55:59,245968000,VOLENDAM,COLLEGE FJORD,60.72794167,-147.7128233,250,249.2,15.9,0,9156515.0,PCHM
2008-07-19T23:55:52,245968000,VOLENDAM,COLLEGE FJORD,60.72810833,-147.7119817,250,248.4,15.8,0,9156515.0,PCHM
2008-07-19T23:55:47,245968000,VOLENDAM,COLLEGE FJORD,60.72825833,-147.7111483,250,248.1,15.8,0,9156515.0,PCHM
2008-07-19T23:55:42,245968000,VOLENDAM,COLLEGE FJORD,60.72842667,-147.7103233,250,248.7,15.9,0,9156515.0,PCHM
2008-07-19T23:55:34,245968000,VOLENDAM,COLLEGE FJORD,60.728595,-147.7094667,250,248.8,15.7,0,9156515.0,PCHM
2008-07-19T23:55:29,245968000,VOLENDAM,COLLEGE FJORD,60.728745,-147.7086617,250,248.2,15.7,0,9156515.0,PCHM
2008-07-19T23:55:22,245968000,VOLENDAM,COLLEGE FJORD,60.72891167,-147.7078267,250,248.1,16.0,0,9156515.0,PCHM
2008-07-19T23:55:17,245968000,VOLENDAM,COLLEGE FJORD,60.72904667,-147.7071367,250,248.1,15.8,0,9156515.0,PCHM
2008-07-19T23:55:10,245968000,VOLENDAM,COLLEGE FJORD,60.72923167,-147.7061567,249,247.9,15.7,0,9156515.0,PCHM
2008-07-19T23:54:59,245968000,VOLENDAM,COLLEGE FJORD,60.72956667,-147.7045167,249,247.2,15.9,0,9156515.0,PCHM
2008-07-19T23:54:53,245968000,VOLENDAM,COLLEGE FJORD,60.72971833,-147.7036717,248,247.4,15.9,0,9156515.0,PCHM
2008-07-19T23:54:41,245968000,VOLENDAM,COLLEGE FJORD,60.73007,-147.70203,248,247.1,15.8,0,9156515.0,PCHM
2008-07-19T23:54:35,245968000,VOLENDAM,COLLEGE FJORD,60.73022,-147.7013267,248,246.7,15.8,0,9156515.0,PCHM
2008-07-19T23:54:29,245968000,VOLENDAM,COLLEGE FJORD,60.73039,-147.7005033,248,247.3,15.8,0,9156515.0,PCHM
2008-07-19T23:54:22,245968000,VOLENDAM,COLLEGE FJORD,60.73059,-147.6995617,248,246.9,15.9,0,9156515.0,PCHM
2008-07-19T23:54:17,245968000,VOLENDAM,COLLEGE FJORD,60.730725,-147.698875,248,247.1,15.8,0,9156515.0,PCHM
2008-07-19T23:54:11,245968000,VOLENDAM,COLLEGE FJORD,60.730925,-147.6979033,248,246.2,15.8,0,9156515.0,PCHM
2008-07-19T23:54:05,245968000,VOLENDAM,COLLEGE FJORD,60.73106,-147.6972367,248,247.1,15.8,0,9156515.0,PCHM
2008-07-19T23:53:58,245968000,VOLENDAM,COLLEGE FJORD,60.73122667,-147.6964117,248,247.3,15.7,0,9156515.0,PCHM
2008-07-19T23:53:52,245968000,VOLENDAM,COLLEGE FJORD,60.73142833,-147.6954383,248,247.9,15.8,0,9156515.0,PCHM
2008-07-19T23:53:48,245968000,VOLENDAM,COLLEGE FJORD,60.73156333,-147.69475,248,246.5,15.7,0,9156515.0,PCHM
2008-07-19T23:53:42,245968000,VOLENDAM,COLLEGE FJORD,60.73176333,-147.6937967,248,247.3,15.7,0,9156515.0,PCHM
2008-07-19T23:53:35,245968000,VOLENDAM,COLLEGE FJORD,60.73193167,-147.6929567,248,246.9,15.7,0,9156515.0,PCHM
2008-07-19T23:53:29,245968000,VOLENDAM,COLLEGE FJORD,60.732105,-147.692135,248,246.7,15.7,0,9156515.0,PCHM
2008-07-19T23:53:22,245968000,VOLENDAM,COLLEGE FJORD,60.73227167,-147.691335,248,247.1,15.7,0,9156515.0,PCHM
2008-07-19T23:53:17,245968000,VOLENDAM,COLLEGE FJORD,60.73245667,-147.690495,248,247.1,15.8,0,9156515.0,PCHM
2008-07-19T23:53:11,245968000,VOLENDAM,COLLEGE FJORD,60.732625,-147.6896717,248,246.9,15.6,0,9156515.0,PCHM
2008-07-19T23:53:07,245968000,VOLENDAM,COLLEGE FJORD,60.732775,-147.6888867,0,0.0,0.0,0,9156515.0,PCHM
2008-07-19T23:53:05,245968000,VOLENDAM,COLLEGE FJORD,60.732775,-147.6888867,248,246.5,15.8,0,9156515.0,PCHM
2008-07-19T23:52:59,245968000,VOLENDAM,COLLEGE FJORD,60.73296,-147.6880467,248,247.1,15.7,0,9156515.0,PCHM
2008-07-19T23:52:53,245968000,VOLENDAM,COLLEGE FJORD,60.73312667,-147.6872283,248,246.9,15.8,0,9156515.0,PCHM
2008-07-19T23:52:47,245968000,VOLENDAM,COLLEGE FJORD,60.733295,-147.6864233,248,247.3,15.8,0,9156515.0,PCHM
2008-07-19T23:52:40,245968000,VOLENDAM,COLLEGE FJORD,60.73346333,-147.6856,248,247.0,15.7,0,9156515.0,PCHM
2008-07-19T23:52:35,245968000,VOLENDAM,COLLEGE FJORD,60.73359667,-147.68491,248,247.0,15.7,0,9156515.0,PCHM
2008-07-19T23:52:29,245968000,VOLENDAM,COLLEGE FJORD,60.733765,-147.6841067,248,246.9,15.9,0,9156515.0,PCHM
2008-07-19T23:52:23,245968000,VOLENDAM,COLLEGE FJORD,60.733965,-147.683135,248,246.8,15.8,0,9156515.0,PCHM
2008-07-19T23:52:17,245968000,VOLENDAM,COLLEGE FJORD,60.73411667,-147.68245,248,247.8,15.8,0,9156515.0,PCHM
2008-07-19T23:52:12,245968000,VOLENDAM,COLLEGE FJORD,60.734285,-147.6816233,248,247.9,15.7,0,9156515.0,PCHM
2008-07-19T23:52:05,245968000,VOLENDAM,COLLEGE FJORD,60.73443667,-147.6808017,248,247.9,15.8,0,9156515.0,PCHM
2008-07-19T23:51:59,245968000,VOLENDAM,COLLEGE FJORD,60.73460333,-147.67998,248,247.4,15.6,0,9156515.0,PCHM
2008-07-19T23:51:52,245968000,VOLENDAM,COLLEGE FJORD,60.734805,-147.6790267,248,247.3,15.8,0,9156515.0,PCHM
2008-07-19T23:51:46,245968000,VOLENDAM,COLLEGE FJORD,60.73497167,-147.6782083,248,247.5,15.7,0,9156515.0,PCHM
2008-07-19T23:51:41,245968000,VOLENDAM,COLLEGE FJORD,60.73510667,-147.67752,248,248.2,15.7,0,9156515.0,PCHM
2008-07-19T23:51:35,245968000,VOLENDAM,COLLEGE FJORD,60.73527333,-147.6767017,248,247.9,15.7,0,9156515.0,PCHM
2008-07-19T23:51:30,245968000,VOLENDAM,COLLEGE FJORD,60.73544167,-147.6758583,248,247.0,15.7,0,9156515.0,PCHM
2008-07-19T23:51:22,245968000,VOLENDAM,COLLEGE FJORD,60.735625,-147.6749367,248,247.1,15.7,0,9156515.0,PCHM
2008-07-19T23:51:11,245968000,VOLENDAM,COLLEGE FJORD,60.73596167,-147.6732933,248,247.6,15.6,0,9156515.0,PCHM
2008-07-19T23:51:05,245968000,VOLENDAM,COLLEGE FJORD,60.73612833,-147.67247,248,247.5,15.7,0,9156515.0,PCHM
2008-07-19T23:50:59,245968000,VOLENDAM,COLLEGE FJORD,60.73629667,-147.6716467,248,247.2,15.7,0,9156515.0,PCHM
2008-07-19T23:50:52,245968000,VOLENDAM,COLLEGE FJORD,60.736465,-147.670795,248,248.1,15.6,0,9156515.0,PCHM
2008-07-19T23:50:47,245968000,VOLENDAM,COLLEGE FJORD,60.736615,-147.6700067,248,248.0,15.7,0,9156515.0,PCHM
2008-07-19T23:50:41,245968000,VOLENDAM,COLLEGE FJORD,60.73678333,-147.669185,248,247.4,15.7,0,9156515.0,PCHM
2008-07-19T23:50:35,245968000,VOLENDAM,COLLEGE FJORD,60.73695667,-147.6683667,248,248.1,15.6,0,9156515.0,PCHM
2008-07-19T23:50:29,245968000,VOLENDAM,COLLEGE FJORD,60.73710667,-147.66755,248,247.8,15.8,0,9156515.0,PCHM
2008-07-19T23:50:22,245968000,VOLENDAM,COLLEGE FJORD,60.737275,-147.6666917,248,247.3,15.6,0,9156515.0,PCHM
2008-07-19T23:50:17,245968000,VOLENDAM,COLLEGE FJORD,60.73741,-147.666035,248,248.0,15.7,0,9156515.0,PCHM
2008-07-19T23:50:05,245968000,VOLENDAM,COLLEGE FJORD,60.73772833,-147.6643783,248,248.0,15.5,0,9156515.0,PCHM
2008-07-19T23:49:52,245968000,VOLENDAM,COLLEGE FJORD,60.73807833,-147.6626083,248,248.0,15.8,0,9156515.0,PCHM
2008-07-19T23:49:47,245968000,VOLENDAM,COLLEGE FJORD,60.73824667,-147.6617883,248,248.8,15.8,0,9156515.0,PCHM
2008-07-19T23:49:41,245968000,VOLENDAM,COLLEGE FJORD,60.73839833,-147.6609617,248,248.0,15.6,0,9156515.0,PCHM
2008-07-19T23:49:35,245968000,VOLENDAM,COLLEGE FJORD,60.73853333,-147.6602683,249,248.4,15.6,0,9156515.0,PCHM
2008-07-19T23:49:29,245968000,VOLENDAM,COLLEGE FJORD,60.7387,-147.6594517,249,248.1,15.7,0,9156515.0,PCHM
2008-07-19T23:49:23,245968000,VOLENDAM,COLLEGE FJORD,60.73886833,-147.6586017,248,249.1,15.8,0,9156515.0,PCHM
2008-07-19T23:49:18,245968000,VOLENDAM,COLLEGE FJORD,60.739035,-147.657775,248,247.6,15.7,0,9156515.0,PCHM
2008-07-19T23:49:12,245968000,VOLENDAM,COLLEGE FJORD,60.73918667,-147.6569867,248,247.9,15.6,0,9156515.0,PCHM
2008-07-19T23:49:06,245968000,VOLENDAM,COLLEGE FJORD,60.73935333,-147.6561517,248,249.1,15.7,0,9156515.0,PCHM
2008-07-19T23:48:59,245968000,VOLENDAM,COLLEGE FJORD,60.73952,-147.6553167,248,248.5,15.8,0,9156515.0,PCHM
2008-07-19T23:48:52,245968000,VOLENDAM,COLLEGE FJORD,60.739705,-147.65436,248,247.8,15.7,0,9156515.0,PCHM
2008-07-19T23:48:46,245968000,VOLENDAM,COLLEGE FJORD,60.73983833,-147.6536883,248,247.8,15.6,0,9156515.0,PCHM
2008-07-19T23:48:40,245968000,VOLENDAM,COLLEGE FJORD,60.740025,-147.65271,248,247.7,15.7,0,9156515.0,PCHM
2008-07-19T23:48:35,245968000,VOLENDAM,COLLEGE FJORD,60.74019333,-147.6519167,248,247.5,15.6,0,9156515.0,PCHM
2008-07-19T23:48:29,245968000,VOLENDAM,COLLEGE FJORD,60.74036167,-147.6510767,248,247.2,15.7,0,9156515.0,PCHM
2008-07-19T23:48:23,245968000,VOLENDAM,COLLEGE FJORD,60.740495,-147.6503933,248,248.0,15.7,0,9156515.0,PCHM
2008-07-19T23:48:16,245968000,VOLENDAM,COLLEGE FJORD,60.74067833,-147.649455,248,248.3,15.7,0,9156515.0,PCHM
2008-07-19T23:48:11,245968000,VOLENDAM,COLLEGE FJORD,60.74081333,-147.64877,248,248.3,15.7,0,9156515.0,PCHM
2008-07-19T23:48:05,245968000,VOLENDAM,COLLEGE FJORD,60.74099667,-147.6478133,248,248.3,15.7,0,9156515.0,PCHM
2008-07-19T23:47:59,245968000,VOLENDAM,COLLEGE FJORD,60.741165,-147.6469883,248,248.0,15.8,0,9156515.0,PCHM
2008-07-19T23:47:52,245968000,VOLENDAM,COLLEGE FJORD,60.74133167,-147.646155,248,247.9,15.5,0,9156515.0,PCHM
2008-07-19T23:47:46,245968000,VOLENDAM,COLLEGE FJORD,60.74148333,-147.6453367,248,247.5,15.7,0,9156515.0,PCHM
2008-07-19T23:47:40,245968000,VOLENDAM,COLLEGE FJORD,60.74165833,-147.6445133,248,248.3,15.6,0,9156515.0,PCHM
2008-07-19T23:47:35,245968000,VOLENDAM,COLLEGE FJORD,60.74179167,-147.6438283,248,248.0,15.7,0,9156515.0,PCHM
2008-07-19T23:47:30,245968000,VOLENDAM,COLLEGE FJORD,60.74197667,-147.6428833,248,248.2,15.5,0,9156515.0,PCHM
2008-07-19T23:47:23,245968000,VOLENDAM,COLLEGE FJORD,60.74211167,-147.64218,248,248.1,15.6,0,9156515.0,PCHM
2008-07-19T23:47:16,245968000,VOLENDAM,COLLEGE FJORD,60.74229667,-147.6412417,248,248.9,15.6,0,9156515.0,PCHM
2008-07-19T23:47:11,245968000,VOLENDAM,COLLEGE FJORD,60.74243,-147.6405533,248,248.3,15.7,0,9156515.0,PCHM
2008-07-19T23:47:09,245968000,VOLENDAM,COLLEGE FJORD,60.74259667,-147.639715,0,0.0,0.0,0,9156515.0,PCHM
2008-07-19T23:47:05,245968000,VOLENDAM,COLLEGE FJORD,60.74259667,-147.639715,248,247.1,15.7,0,9156515.0,PCHM
2008-07-19T23:46:59,245968000,VOLENDAM,COLLEGE FJORD,60.74274833,-147.638925,248,247.9,15.7,0,9156515.0,PCHM
2008-07-19T23:46:52,245968000,VOLENDAM,COLLEGE FJORD,60.74294833,-147.637955,248,247.9,15.6,0,9156515.0,PCHM
2008-07-19T23:46:48,245968000,VOLENDAM,COLLEGE FJORD,60.74311667,-147.6371,248,247.6,15.5,0,9156515.0,PCHM
2008-07-19T23:46:35,245968000,VOLENDAM,COLLEGE FJORD,60.74341833,-147.6356133,248,248.5,15.7,0,9156515.0,PCHM
2008-07-19T23:46:29,245968000,VOLENDAM,COLLEGE FJORD,60.74357,-147.6348217,248,248.4,15.6,0,9156515.0,PCHM
2008-07-19T23:46:23,245968000,VOLENDAM,COLLEGE FJORD,60.74372,-147.6339833,248,247.5,15.7,0,9156515.0,PCHM
2008-07-19T23:46:16,245968000,VOLENDAM,COLLEGE FJORD,60.74392,-147.633015,248,248.3,15.7,0,9156515.0,PCHM
2008-07-19T23:46:11,245968000,VOLENDAM,COLLEGE FJORD,60.74407167,-147.6322317,248,248.8,15.8,0,9156515.0,PCHM
2008-07-19T23:46:04,245968000,VOLENDAM,COLLEGE FJORD,60.74423833,-147.6313733,248,247.7,15.6,0,9156515.0,PCHM
2008-07-19T23:45:59,245968000,VOLENDAM,COLLEGE FJORD,60.74440667,-147.630585,248,248.0,15.7,0,9156515.0,PCHM
2008-07-19T23:45:53,245968000,VOLENDAM,COLLEGE FJORD,60.74455833,-147.6297583,248,248.3,15.6,0,9156515.0,PCHM
