bs_ts,mmsi,lat,lon,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-06-21T00:32:01,309653000,54.58350333,-131.2903867,176.4,23.5,173,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:51,309653000,54.58469,-131.2905433,177.2,23.4,175,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:49,309653000,54.5849,-131.2905683,177.2,23.4,175,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:47,309653000,54.58500667,-131.29058,177.2,23.4,175,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:41,309653000,54.58566,-131.290645,177.9,23.4,176,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:39,309653000,54.58587167,-131.2906633,177.9,23.4,176,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:21,309653000,54.587825,-131.2908017,178.4,23.4,177,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:17,309653000,54.58825667,-131.2908283,178.4,23.4,177,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:15,309653000,54.58847,-131.29084,178.4,23.4,177,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:13,309653000,54.58868833,-131.29085,178.4,23.4,177,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:07,309653000,54.58933167,-131.2908767,179.7,23.3,178,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:31:03,309653000,54.589765,-131.2908933,179.4,23.4,178,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:57,309653000,54.59041833,-131.2909083,179.4,23.4,178,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:47,309653000,54.59148667,-131.2909283,179.9,23.3,178,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:45,309653000,54.59171,-131.29093,179.9,23.3,178,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:43,309653000,54.59191833,-131.29093,180.9,23.3,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:41,309653000,54.59213833,-131.29093,180.9,23.3,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:37,309653000,54.59256833,-131.2909267,181.2,23.2,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:35,309653000,54.59277833,-131.290925,181.2,23.2,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:33,309653000,54.59299833,-131.2909217,181.2,23.2,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:29,309653000,54.59332,-131.2909117,181.4,23.1,179,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:27,309653000,54.59363667,-131.2909017,182.4,23.1,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:25,309653000,54.593855,-131.2908917,182.4,23.1,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:23,309653000,54.594065,-131.2908833,182.4,23.2,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:21,309653000,54.59428333,-131.2908717,183.4,23.2,180,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:19,309653000,54.59449167,-131.29086,183.4,23.2,181,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:17,309653000,54.59471167,-131.2908433,183.4,23.2,181,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:13,309653000,54.59513833,-131.2908083,184.4,23.1,181,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:11,309653000,54.59545833,-131.2907833,184.4,23.1,182,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:30:03,309653000,54.59619833,-131.2907,185.4,23.1,182,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:55,309653000,54.59716167,-131.2905633,186.4,23.1,183,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:53,309653000,54.59726833,-131.2905483,186.4,23.1,184,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:37,309653000,54.59896667,-131.29023,188.4,23.2,186,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:21,309653000,54.60065833,-131.2898183,189.2,23.2,187,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:15,309653000,54.60128667,-131.2896433,190.2,23.2,188,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:13,309653000,54.60150333,-131.2895817,190.2,23.2,188,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:09,309653000,54.601915,-131.28946,191.2,23.2,189,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:05,309653000,54.60234667,-131.2893233,191.2,23.1,189,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:29:01,309653000,54.60276667,-131.2891867,191.9,23.2,190,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:28:57,309653000,54.60318667,-131.289045,191.9,23.1,190,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:28:53,309653000,54.60360833,-131.2888983,191.9,23.1,190,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:28:51,309653000,54.60381167,-131.288825,192.9,23.2,191,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:28:48,309653000,54.60423167,-131.2886733,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:28:47,309653000,54.60423167,-131.2886733,192.7,23.2,191,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:28:45,309653000,54.60444667,-131.288595,192.7,23.2,191,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
2008-06-21T00:28:43,309653000,54.60465,-131.2885183,192.7,23.2,191,9342281,C6VG7,NORWEGIAN PEARL,16,VICTORIA
