bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign
2008-06-13T16:55:49,311109000,NORWEGIAN SUN,VANCOUVER,55.85606667,-134.46715,180,176.6,17.1,0,9218131,C6RN3
2008-06-13T16:55:23,311109000,NORWEGIAN SUN,VANCOUVER,55.85793333,-134.4673333,180,176.6,17.0,0,9218131,C6RN3
2008-06-13T16:55:13,311109000,NORWEGIAN SUN,VANCOUVER,55.85888333,-134.4674333,179,177.3,17.2,0,9218131,C6RN3
2008-06-13T16:55:11,311109000,NORWEGIAN SUN,VANCOUVER,55.86736667,-134.4681167,0,0.0,0.0,0,9218131,C6RN3
2008-06-13T16:53:23,311109000,NORWEGIAN SUN,VANCOUVER,55.86736667,-134.4681167,180,177.3,17.2,0,9218131,C6RN3
2008-06-13T16:53:16,311109000,NORWEGIAN SUN,VANCOUVER,55.86935,-134.4682667,181,178.3,17.1,0,9218131,C6RN3
2008-06-13T16:52:42,311109000,NORWEGIAN SUN,VANCOUVER,55.87078333,-134.4683667,181,178.6,17.1,0,9218131,C6RN3
2008-06-13T16:52:36,311109000,NORWEGIAN SUN,VANCOUVER,55.87126667,-134.4683833,180,176.6,17.1,0,9218131,C6RN3
2008-06-13T16:52:23,311109000,NORWEGIAN SUN,VANCOUVER,55.87221667,-134.4684667,180,176.9,17.1,0,9218131,C6RN3
2008-06-13T16:50:48,311109000,NORWEGIAN SUN,VANCOUVER,55.87975,-134.4691667,180,176.9,17.1,0,9218131,C6RN3
2008-06-13T16:50:36,311109000,NORWEGIAN SUN,VANCOUVER,55.8807,-134.46925,180,177.0,17.2,0,9218131,C6RN3
2008-06-13T16:50:25,311109000,NORWEGIAN SUN,VANCOUVER,55.88155,-134.4693167,180,177.3,17.0,0,9218131,C6RN3
2008-06-13T16:50:18,311109000,NORWEGIAN SUN,VANCOUVER,55.88211667,-134.4693833,180,177.3,17.1,0,9218131,C6RN3
2008-06-13T16:50:12,311109000,NORWEGIAN SUN,VANCOUVER,55.88238333,-134.4694,180,177.3,17.2,0,9218131,C6RN3
2008-06-13T16:50:08,311109000,NORWEGIAN SUN,VANCOUVER,55.88296667,-134.46945,180,177.3,17.1,0,9218131,C6RN3
2008-06-13T16:50:02,311109000,NORWEGIAN SUN,VANCOUVER,55.88343333,-134.4695,180,177.3,17.0,0,9218131,C6RN3
2008-06-13T16:49:36,311109000,NORWEGIAN SUN,VANCOUVER,55.88533333,-134.4696667,180,177.9,17.1,0,9218131,C6RN3
2008-06-13T16:49:23,311109000,NORWEGIAN SUN,VANCOUVER,55.88626667,-134.4697667,180,177.3,17.1,0,9218131,C6RN3
2008-06-13T16:49:14,311109000,NORWEGIAN SUN,VANCOUVER,55.88711667,-134.4698333,180,176.9,17.1,0,9218131,C6RN3
2008-06-13T16:49:09,311109000,NORWEGIAN SUN,VANCOUVER,55.88816667,-134.4699167,0,0.0,0.0,0,9218131,C6RN3
2008-06-13T16:49:01,311109000,NORWEGIAN SUN,VANCOUVER,55.88816667,-134.4699167,180,177.9,17.1,0,9218131,C6RN3
2008-06-13T16:48:25,311109000,NORWEGIAN SUN,VANCOUVER,55.89098333,-134.4701333,180,177.6,17.1,0,9218131,C6RN3
2008-06-13T16:48:13,311109000,NORWEGIAN SUN,VANCOUVER,55.89185,-134.4702,180,176.6,17.1,0,9218131,C6RN3
2008-06-13T16:47:48,311109000,NORWEGIAN SUN,VANCOUVER,55.89375,-134.4703167,180,177.6,17.0,0,9218131,C6RN3
2008-06-13T16:47:36,311109000,NORWEGIAN SUN,VANCOUVER,55.8948,-134.4703833,181,176.3,17.1,0,9218131,C6RN3
2008-06-13T16:45:49,311109000,NORWEGIAN SUN,VANCOUVER,55.90326667,-134.4710667,180,176.9,17.0,0,9218131,C6RN3
2008-06-13T16:44:54,311109000,NORWEGIAN SUN,VANCOUVER,55.90765,-134.4714333,181,178.3,17.1,0,9218131,C6RN3
2008-06-13T16:44:46,311109000,NORWEGIAN SUN,VANCOUVER,55.90851667,-134.4715167,181,177.3,17.2,0,9218131,C6RN3
2008-06-13T16:44:03,311109000,NORWEGIAN SUN,VANCOUVER,55.91185,-134.4717833,181,178.0,17.4,0,9218131,C6RN3
2008-06-13T16:43:37,311109000,NORWEGIAN SUN,VANCOUVER,55.91388333,-134.4719667,181,177.0,17.3,0,9218131,C6RN3
2008-06-13T16:43:27,311109000,NORWEGIAN SUN,VANCOUVER,55.91483333,-134.47205,181,177.3,17.2,0,9218131,C6RN3
2008-06-13T16:43:20,311109000,NORWEGIAN SUN,VANCOUVER,55.91866667,-134.4724833,180,176.0,17.3,0,9218131,C6RN3
2008-06-13T16:43:18,311109000,NORWEGIAN SUN,VANCOUVER,55.9205,-134.4727,180,176.7,17.4,0,9218131,C6RN3
2008-06-13T16:43:18,311109000,NORWEGIAN SUN,VANCOUVER,55.92106667,-134.47275,180,176.6,17.3,0,9218131,C6RN3
2008-06-13T16:42:04,311109000,NORWEGIAN SUN,VANCOUVER,55.92145,-134.4727833,180,176.7,17.4,0,9218131,C6RN3
2008-06-13T16:41:06,311109000,NORWEGIAN SUN,VANCOUVER,55.92588333,-134.4732167,181,178.0,17.6,0,9218131,C6RN3
2008-06-13T16:41:01,311109000,NORWEGIAN SUN,VANCOUVER,55.92626667,-134.4732667,181,176.3,17.5,0,9218131,C6RN3
2008-06-13T16:40:35,311109000,NORWEGIAN SUN,VANCOUVER,55.92823333,-134.47345,180,175.7,17.4,0,9218131,C6RN3
2008-06-13T16:40:24,311109000,NORWEGIAN SUN,VANCOUVER,55.9292,-134.4735667,181,175.7,17.5,0,9218131,C6RN3
2008-06-13T16:40:00,311109000,NORWEGIAN SUN,VANCOUVER,55.93121667,-134.4738167,180,176.4,17.6,0,9218131,C6RN3
2008-06-13T16:39:48,311109000,NORWEGIAN SUN,VANCOUVER,55.93218333,-134.4739333,180,176.4,17.5,0,9218131,C6RN3
2008-06-13T16:39:12,311109000,NORWEGIAN SUN,VANCOUVER,55.93501667,-134.47425,180,176.7,17.4,0,9218131,C6RN3
2008-06-13T16:39:01,311109000,NORWEGIAN SUN,VANCOUVER,55.93598333,-134.4743333,180,176.7,17.5,0,9218131,C6RN3
2008-06-13T16:38:55,311109000,NORWEGIAN SUN,VANCOUVER,55.93648333,-134.4743833,181,178.3,17.6,0,9218131,C6RN3
2008-06-13T16:38:44,311109000,NORWEGIAN SUN,VANCOUVER,55.93735,-134.4744667,180,176.7,17.5,0,9218131,C6RN3
2008-06-13T16:38:30,311109000,NORWEGIAN SUN,VANCOUVER,55.93841667,-134.4745667,180,176.7,17.5,0,9218131,C6RN3
2008-06-13T16:38:25,311109000,NORWEGIAN SUN,VANCOUVER,55.9389,-134.4746,180,176.7,17.5,0,9218131,C6RN3
2008-06-13T16:38:18,311109000,NORWEGIAN SUN,VANCOUVER,55.93938333,-134.4746667,181,176.4,17.7,0,9218131,C6RN3
2008-06-13T16:38:15,311109000,NORWEGIAN SUN,VANCOUVER,55.93988333,-134.4747167,181,178.7,17.5,0,9218131,C6RN3
2008-06-13T16:38:08,311109000,NORWEGIAN SUN,VANCOUVER,55.94046667,-134.47475,180,177.7,17.6,0,9218131,C6RN3
2008-06-13T16:38:01,311109000,NORWEGIAN SUN,VANCOUVER,55.94095,-134.4748,180,176.7,17.6,0,9218131,C6RN3
2008-06-13T16:37:48,311109000,NORWEGIAN SUN,VANCOUVER,55.94181667,-134.4748833,180,176.7,17.6,0,9218131,C6RN3
2008-06-13T16:37:36,311109000,NORWEGIAN SUN,VANCOUVER,55.94288333,-134.475,180,176.7,17.5,0,9218131,C6RN3
2008-06-13T16:37:24,311109000,NORWEGIAN SUN,VANCOUVER,55.94375,-134.4750833,180,176.7,17.4,0,9218131,C6RN3
2008-06-13T16:37:13,311109000,NORWEGIAN SUN,VANCOUVER,55.94475,-134.4751833,180,176.7,17.5,0,9218131,C6RN3
2008-06-13T16:37:08,311109000,NORWEGIAN SUN,VANCOUVER,55.94573333,-134.4752833,0,0.0,0.0,0,9218131,C6RN3
2008-06-13T16:37:01,311109000,NORWEGIAN SUN,VANCOUVER,55.94573333,-134.4752833,180,177.0,17.5,0,9218131,C6RN3
2008-06-13T16:36:48,311109000,NORWEGIAN SUN,VANCOUVER,55.9467,-134.4754,180,177.3,17.6,0,9218131,C6RN3
2008-06-13T16:36:45,311109000,NORWEGIAN SUN,VANCOUVER,55.94716667,-134.4754667,180,177.4,17.7,0,9218131,C6RN3
2008-06-13T16:36:42,311109000,NORWEGIAN SUN,VANCOUVER,55.94765,-134.4755167,180,177.0,17.7,0,9218131,C6RN3
2008-06-13T16:36:14,311109000,NORWEGIAN SUN,VANCOUVER,55.9496,-134.4757167,180,176.7,17.6,0,9218131,C6RN3
2008-06-13T16:36:10,311109000,NORWEGIAN SUN,VANCOUVER,55.9501,-134.47575,180,176.7,17.6,0,9218131,C6RN3
2008-06-13T16:35:00,311109000,NORWEGIAN SUN,VANCOUVER,55.95545,-134.4763167,180,177.3,17.3,0,9218131,C6RN3
2008-06-13T16:34:48,311109000,NORWEGIAN SUN,VANCOUVER,55.9564,-134.4764,180,177.0,17.3,0,9218131,C6RN3
2008-06-13T16:34:00,311109000,NORWEGIAN SUN,VANCOUVER,55.96025,-134.47675,180,176.6,17.3,0,9218131,C6RN3
2008-06-13T16:33:37,311109000,NORWEGIAN SUN,VANCOUVER,55.96218333,-134.4769333,180,177.3,17.3,0,9218131,C6RN3
2008-06-13T16:33:29,311109000,NORWEGIAN SUN,VANCOUVER,55.96313333,-134.477,180,178.3,17.3,0,9218131,C6RN3
2008-06-13T16:32:59,311109000,NORWEGIAN SUN,VANCOUVER,55.9651,-134.47715,180,177.3,17.3,0,9218131,C6RN3
2008-06-13T16:32:45,311109000,NORWEGIAN SUN,VANCOUVER,55.9664,-134.4773,181,178.3,17.4,0,9218131,C6RN3
2008-06-13T16:32:35,311109000,NORWEGIAN SUN,VANCOUVER,55.96698333,-134.4773333,181,177.3,17.3,0,9218131,C6RN3
2008-06-13T16:32:30,311109000,NORWEGIAN SUN,VANCOUVER,55.96736667,-134.4773667,180,177.6,17.2,0,9218131,C6RN3
2008-06-13T16:32:25,311109000,NORWEGIAN SUN,VANCOUVER,55.96801667,-134.4774167,180,176.0,17.2,0,9218131,C6RN3
2008-06-13T16:32:20,311109000,NORWEGIAN SUN,VANCOUVER,55.9684,-134.47745,180,175.9,17.1,0,9218131,C6RN3
2008-06-13T16:31:55,311109000,NORWEGIAN SUN,VANCOUVER,55.97031667,-134.4776667,180,175.6,17.2,0,9218131,C6RN3
2008-06-13T16:31:47,311109000,NORWEGIAN SUN,VANCOUVER,55.9708,-134.4777167,180,175.3,17.3,0,9218131,C6RN3
2008-06-13T16:31:46,311109000,NORWEGIAN SUN,VANCOUVER,55.97126667,-134.4777833,180,176.3,17.3,0,9218131,C6RN3
2008-06-13T16:31:43,311109000,NORWEGIAN SUN,VANCOUVER,55.97175,-134.4778333,180,176.3,17.3,0,9218131,C6RN3
2008-06-13T16:31:24,311109000,NORWEGIAN SUN,VANCOUVER,55.9727,-134.47795,180,175.9,17.1,0,9218131,C6RN3
2008-06-13T16:31:13,311109000,NORWEGIAN SUN,VANCOUVER,55.97356667,-134.47805,180,176.6,17.2,0,9218131,C6RN3
2008-06-13T16:31:06,311109000,NORWEGIAN SUN,VANCOUVER,55.97415,-134.4781167,180,176.0,17.2,0,9218131,C6RN3
2008-06-13T16:31:05,311109000,NORWEGIAN SUN,VANCOUVER,55.97461667,-134.47815,0,0.0,0.0,0,9218131,C6RN3
2008-06-13T16:31:03,311109000,NORWEGIAN SUN,VANCOUVER,55.97461667,-134.47815,180,177.3,17.2,0,9218131,C6RN3
2008-06-13T16:30:53,311109000,NORWEGIAN SUN,VANCOUVER,55.9751,-134.4782,180,177.3,17.2,0,9218131,C6RN3
