name,mmsi,bs_ts,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
CELEBRITY INFINITY,249048000,2008-06-05T00:00:53,54.70445,-131.2504,0,209.6,21.8,207,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:10:18,54.65305,-131.2930833,0,184.5,21.4,180,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:09:11,54.65946667,-131.2911167,0,197.0,21.8,191,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:09:24,54.6582,-131.2916833,0,193.8,21.5,189,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:09:41,54.65658333,-131.2922833,0,189.8,21.3,185,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:09:59,54.6548,-131.29275,0,188.3,21.3,183,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:08:18,54.66453333,-131.2878167,0,204.6,21.9,201,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:08:36,54.66285,-131.2890667,0,202.2,21.8,198,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:08:59,54.6606,-131.2905167,0,198.7,21.8,194,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:05:17,54.681,-131.2730833,0,207.0,22.2,204,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:03:11,54.6922,-131.2623167,0,209.9,21.7,207,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:03:17,54.69165,-131.26285,0,210.1,22.1,207,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:03:24,54.69115,-131.2633833,0,209.8,22.1,207,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:18:06,54.60641667,-131.29785,0,187.2,21.9,182,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:18:23,54.60461667,-131.2983833,0,191.1,21.6,185,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:18:35,54.60355,-131.29875,0,192.2,21.7,187,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:18:59,54.60121667,-131.2998,0,196.0,21.7,191,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:13:05,54.63638333,-131.29485,0,184.2,21.7,179,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:11:36,54.64533333,-131.2938667,0,182.5,21.5,178,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:10:53,54.6495,-131.2934833,0,182.8,21.5,178,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:19:11,54.60005,-131.3004333,0,197.9,22.0,194,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:25:05,54.56745,-131.32255,0,192.9,21.0,185,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:24:06,54.57298333,-131.3197167,0,200.0,21.2,193,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:24:54,54.56858333,-131.3220833,0,194.6,21.0,187,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:22:17,54.58281667,-131.31275,0,202.2,21.1,196,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:20:23,54.59318333,-131.3052167,0,204.0,21.9,198,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:19:23,54.5989,-131.3011333,0,200.0,21.8,195,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:19:30,54.59823333,-131.3015667,0,201.0,21.8,196,9189421,9HJD9,VICTORIA
CELEBRITY INFINITY,249048000,2008-06-05T00:19:59,54.59553333,-131.3034667,0,203.7,22.1,198,9189421,9HJD9,VICTORIA
