bs_ts,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-06-11T23:59:58,310344000,56.63516667,-134.4992,0,184.7,21.9,184,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:59:52,310344000,56.63576667,-134.4991333,0,185.0,21.9,184,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:59:48,310344000,56.63638333,-134.4990167,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:59:40,310344000,56.63685,-134.49895,0,183.7,21.9,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:59:34,310344000,56.63745,-134.4988667,0,184.0,21.9,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:59:27,310344000,56.63866667,-134.4987167,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:59:13,310344000,56.63986667,-134.4985667,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:59:04,310344000,56.64046667,-134.4984833,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:58:59,310344000,56.64106667,-134.4984,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:58:52,310344000,56.6417,-134.4983167,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:58:45,310344000,56.6423,-134.4982333,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:58:35,310344000,56.64348333,-134.49805,0,184.7,21.8,184,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:58:23,310344000,56.6447,-134.4978833,0,185.0,21.8,184,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:58:12,310344000,56.6459,-134.4977167,0,183.7,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:58:07,310344000,56.6471,-134.49755,0,0.0,0.0,0,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:57:58,310344000,56.6471,-134.49755,0,184.3,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:57:49,310344000,56.64831667,-134.4973833,0,183.7,21.7,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:57:34,310344000,56.64951667,-134.49725,0,183.8,21.8,182,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:57:29,310344000,56.65011667,-134.4971833,0,183.3,21.8,182,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:57:24,310344000,56.65071667,-134.4971333,0,183.3,21.8,182,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:57:10,310344000,56.65193333,-134.4969833,0,184.3,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:58,310344000,56.65313333,-134.4968333,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:35,310344000,56.65553333,-134.4964833,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:31,310344000,56.65615,-134.4964167,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:27,310344000,56.65688333,-134.4963167,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:18,310344000,56.65748333,-134.4962333,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:10,310344000,56.65796667,-134.4961667,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:04,310344000,56.65858333,-134.4960833,0,183.7,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:56:00,310344000,56.65918333,-134.4960167,0,184.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:52,310344000,56.6598,-134.49595,0,183.7,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:44,310344000,56.74758333,-134.4868,0,183.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:42,310344000,56.66101667,-134.4958,0,183.7,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:36,310344000,56.66161667,-134.4957167,0,183.7,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:29,310344000,56.66221667,-134.49565,0,183.7,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:22,310344000,56.66283333,-134.4955667,0,183.7,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:10,310344000,56.66403333,-134.4954167,0,183.7,21.7,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:07,310344000,56.66463333,-134.49535,0,183.5,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:55:00,310344000,56.66521667,-134.4952833,0,183.5,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:55,310344000,56.66583333,-134.4952167,0,183.5,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:46,310344000,56.66645,-134.4951333,0,183.5,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:40,310344000,56.66705,-134.4950667,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:35,310344000,56.66765,-134.495,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:28,310344000,56.66836667,-134.4949167,0,183.5,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:23,310344000,56.66885,-134.4948667,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:17,310344000,56.66945,-134.4948,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:54:13,310344000,56.67005,-134.4947333,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:53:59,310344000,56.67115,-134.4946,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:53:47,310344000,56.67248333,-134.4944667,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:53:34,310344000,56.67368333,-134.4943333,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:53:23,310344000,56.67488333,-134.4942167,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:53:16,310344000,56.6755,-134.49415,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:53:10,310344000,56.6761,-134.4940833,0,183.2,21.7,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:53:04,310344000,56.6767,-134.4940167,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:52:53,310344000,56.67801667,-134.4938833,0,183.2,21.7,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:52:48,310344000,56.6785,-134.4938333,0,183.2,21.7,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:52:40,310344000,56.6791,-134.4937667,0,183.2,21.7,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:52:34,310344000,56.6797,-134.4937,0,183.2,21.7,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:52:08,310344000,56.74878333,-134.4866833,0,183.0,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:52:08,310344000,56.68318333,-134.4933,0,0.0,0.0,0,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
2008-06-11T23:52:02,310344000,56.68318333,-134.4933,0,183.2,21.8,183,9192351,ZCDA9,GOLDEN PRINCESS,16,TRACY ARM
