bs_ts,name,mmsi,lat,lon,heading,destination,cog,sog,imo,callsign,Type of ship and cargo
2008-05-30T20:27:49,NORWEGIAN SUN,311109000,54.88588333,-133.9955167,173,VANCOUVER,173.0,18.1,9218131,C6RN3,69
2008-05-30T20:27:37,NORWEGIAN SUN,311109000,54.88688333,-133.9957333,173,VANCOUVER,173.3,18.1,9218131,C6RN3,69
2008-05-30T20:27:25,NORWEGIAN SUN,311109000,54.88788333,-133.9959,174,VANCOUVER,174.0,18.0,9218131,C6RN3,69
2008-05-30T20:27:13,NORWEGIAN SUN,311109000,54.88896667,-133.9961,174,VANCOUVER,174.0,17.9,9218131,C6RN3,69
2008-05-30T20:26:49,NORWEGIAN SUN,311109000,54.89106667,-133.9964667,174,VANCOUVER,174.0,18.0,9218131,C6RN3,69
2008-05-30T17:07:08,NORWEGIAN SUN,311109000,55.85186667,-134.4611667,178,VANCOUVER,176.7,18.1,9218131,C6RN3,69
2008-05-30T17:05:02,NORWEGIAN SUN,311109000,55.86233333,-134.46245,178,VANCOUVER,176.1,18.1,9218131,C6RN3,69
2008-05-30T17:04:50,NORWEGIAN SUN,311109000,55.86343333,-134.4625833,178,VANCOUVER,175.7,18.2,9218131,C6RN3,69
2008-05-30T17:04:13,NORWEGIAN SUN,311109000,55.86641667,-134.4629167,178,VANCOUVER,176.1,18.1,9218131,C6RN3,69
2008-05-30T16:58:20,NORWEGIAN SUN,311109000,55.89556667,-134.4663833,178,VANCOUVER,176.7,17.9,9218131,C6RN3,69
2008-05-30T16:57:25,NORWEGIAN SUN,311109000,55.90001667,-134.4668833,178,VANCOUVER,177.0,17.8,9218131,C6RN3,69
2008-05-30T16:57:14,NORWEGIAN SUN,311109000,55.90101667,-134.467,178,VANCOUVER,177.0,17.8,9218131,C6RN3,69
2008-05-30T16:57:09,NORWEGIAN SUN,311109000,55.90141667,-134.46705,178,VANCOUVER,177.0,17.7,9218131,C6RN3,69
