bs_ts,name,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
2008-05-22T00:06:48,AMSTERDAM,244370000,54.67972167,-131.2477033,0,207,22.1,206,9188037,PBAD,VICTORIA
2008-05-22T00:04:29,AMSTERDAM,244370000,54.69235167,-131.23669,0,207,22.0,206,9188037,PBAD,VICTORIA
2008-05-22T00:03:41,AMSTERDAM,244370000,54.69671833,-131.2329333,0,207,22.0,206,9188037,PBAD,VICTORIA
2008-05-22T00:09:53,AMSTERDAM,244370000,54.66295333,-131.2624467,0,207,22.4,206,9188037,PBAD,VICTORIA
2008-05-22T00:17:11,AMSTERDAM,244370000,54.62336333,-131.2969367,0,204,21.7,203,9188037,PBAD,VICTORIA
2008-05-22T00:17:17,AMSTERDAM,244370000,54.62281333,-131.2973483,0,203,21.6,202,9188037,PBAD,VICTORIA
2008-05-22T00:17:41,AMSTERDAM,244370000,54.62058833,-131.2988933,0,201,21.7,200,9188037,PBAD,VICTORIA
2008-05-22T00:16:06,AMSTERDAM,244370000,54.629285,-131.2919167,0,207,21.6,207,9188037,PBAD,VICTORIA
2008-05-22T00:12:59,AMSTERDAM,244370000,54.64589667,-131.2772783,0,206,21.8,206,9188037,PBAD,VICTORIA
2008-05-22T00:19:36,AMSTERDAM,244370000,54.60963833,-131.3043367,0,192,21.8,191,9188037,PBAD,VICTORIA
2008-05-22T00:18:11,AMSTERDAM,244370000,54.61776167,-131.30062,0,199,21.7,198,9188037,PBAD,VICTORIA
2008-05-22T00:18:35,AMSTERDAM,244370000,54.61547167,-131.3018567,0,197,21.7,196,9188037,PBAD,VICTORIA
2008-05-22T00:18:47,AMSTERDAM,244370000,54.61431667,-131.3024267,0,196,21.7,195,9188037,PBAD,VICTORIA
