bs_ts,mmsi,lat,lon,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-05-06T23:55:53,311082000,57.763415,-133.6666883,46.5,14.5,45,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:53:18,311082000,57.75702667,-133.6809233,63.1,14.4,59,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:52:30,311082000,57.75563,-133.6863067,71.7,14.5,69,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:52:18,311082000,57.75536,-133.68773,74.7,14.6,72,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:51:59,311082000,57.75502333,-133.68989,77.7,14.6,75,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:51:41,311082000,57.75473667,-133.6921033,81.3,14.7,79,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:50:59,311082000,57.75436667,-133.697545,89.2,15.0,87,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:50:12,311082000,57.75443167,-133.7036617,97.8,15.4,95,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:49:24,311082000,57.75499833,-133.7101483,103.4,15.8,102,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:49:05,311082000,57.75528167,-133.712555,105.4,16.0,104,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:48:54,311082000,57.75548167,-133.7140267,106.4,16.0,105,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:48:36,311082000,57.755845,-133.716435,107.4,16.2,106,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:48:35,311082000,57.75596,-133.7172367,0.0,0.0,0,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:48:30,311082000,57.75596,-133.7172367,108.4,16.2,107,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:48:05,311082000,57.75652667,-133.7204317,110.7,16.4,109,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:47:48,311082000,57.75696,-133.7226917,111.7,16.6,110,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:46:36,311082000,57.75922833,-133.732305,117.6,17.5,116,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:46:11,311082000,57.76016167,-133.7356467,120.6,17.8,119,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:45:41,311082000,57.76144833,-133.739765,123.5,18.2,122,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:44:30,311082000,57.76494167,-133.7490633,129.4,19.1,128,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:43:41,311082000,57.76769667,-133.75516,133.1,19.7,132,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:43:18,311082000,57.76919833,-133.7581633,135.1,20.0,134,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:43:06,311082000,57.769965,-133.75963,136.1,20.1,135,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:43:00,311082000,57.77029833,-133.76023,137.1,20.2,136,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:54,311082000,57.770765,-133.7610817,137.1,20.3,136,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:49,311082000,57.77109667,-133.7616783,137.8,20.3,137,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:41,311082000,57.77158333,-133.762515,138.8,20.4,137,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:35,311082000,57.77199833,-133.763215,138.8,20.5,138,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:34,311082000,57.77248,-133.7640517,0.0,0.0,0,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:31,311082000,57.77248,-133.7640517,138.8,20.5,138,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:18,311082000,57.77326333,-133.76534,139.5,20.7,139,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:12,311082000,57.77369667,-133.7660417,140.2,20.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:08,311082000,57.77413,-133.7667233,140.7,20.8,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:42:00,311082000,57.77456333,-133.7674067,140.7,20.9,141,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:56,311082000,57.77501167,-133.7681033,140.7,21.0,141,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:47,311082000,57.775445,-133.7687883,139.7,21.0,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:41,311082000,57.77589667,-133.769475,139.7,21.1,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:36,311082000,57.77634833,-133.7701783,140.7,21.2,141,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:30,311082000,57.7768,-133.7708783,139.7,21.2,141,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:24,311082000,57.77725,-133.77158,139.7,21.3,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:23,311082000,57.77761833,-133.772165,140.0,21.3,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:12,311082000,57.77806833,-133.772865,140.0,21.4,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:06,311082000,57.77860333,-133.773685,140.0,21.4,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:41:00,311082000,57.77898667,-133.7742683,140.0,21.5,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:40:54,311082000,57.77943833,-133.7749867,140.0,21.5,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:40:49,311082000,57.78004,-133.7759217,140.0,21.6,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:40:41,311082000,57.78051,-133.776645,140.0,21.6,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:40:35,311082000,57.78096,-133.7773617,140.0,21.6,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:40:30,311082000,57.78134333,-133.777945,139.7,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:40:18,311082000,57.78226167,-133.77938,139.7,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:40:12,311082000,57.78264833,-133.779985,140.0,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:39:47,311082000,57.78456833,-133.7830217,139.7,21.8,139,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:39:36,311082000,57.78548167,-133.7844867,139.7,21.7,139,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:39:24,311082000,57.78633333,-133.7858217,140.5,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:39:18,311082000,57.78678333,-133.7865567,140.5,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:39:06,311082000,57.78780167,-133.7881083,140.5,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:38:54,311082000,57.78872167,-133.789545,140.5,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:38:48,311082000,57.78927333,-133.7903817,140.5,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:38:42,311082000,57.78965667,-133.7909833,140.5,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:38:36,311082000,57.79010833,-133.7917033,140.5,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:38:06,311082000,57.79242667,-133.7952867,140.0,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:37:38,311082000,57.79474667,-133.7988767,140.0,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:37:30,311082000,57.79513,-133.7994767,140.0,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
2008-05-06T23:37:24,311082000,57.79558167,-133.8002117,140.0,21.7,140,9195157,C6FR3,NORWEGIAN STAR,16,TRACYARM BAR
