bs_ts,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-05-06T22:52:37,249053000,59.29518333,-139.65635,0,144.0,17.1,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:48:13,249053000,59.31218333,-139.68065,0,142.3,17.2,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:44:31,249053000,59.32621667,-139.7012833,0,144.6,17.4,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:43:37,249053000,59.32976667,-139.70635,0,143.6,17.5,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:43:18,249053000,59.33108333,-139.7083167,0,143.6,17.5,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:42:36,249053000,59.33363333,-139.712,0,143.3,17.4,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:41:43,249053000,59.33715,-139.7172333,0,142.3,17.3,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:41:37,249053000,59.33766667,-139.7179833,0,142.6,17.3,143,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:40:13,249053000,59.34293333,-139.7256333,0,143.3,17.1,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:39:55,249053000,59.34396667,-139.72715,0,142.9,17.0,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:39:49,249053000,59.3444,-139.7278,0,143.9,17.0,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:39:37,249053000,59.34506667,-139.7287667,0,142.6,17.1,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:39:13,249053000,59.3466,-139.7310667,0,142.9,17.0,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:38:56,249053000,59.34776667,-139.7327833,0,143.6,17.0,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:38:26,249053000,59.3497,-139.7356,0,143.9,17.0,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:38:19,249053000,59.35005,-139.7361167,0,143.9,17.0,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:38:14,249053000,59.35051667,-139.73675,0,143.6,17.0,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:38:07,249053000,59.35088333,-139.7372833,0,143.9,17.1,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:38:02,249053000,59.35126667,-139.7378333,0,143.6,17.0,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:37:57,249053000,59.35148333,-139.73815,0,143.6,17.1,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:37:42,249053000,59.35266667,-139.7398833,0,143.6,17.0,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:37:01,249053000,59.35498333,-139.7432167,0,142.6,16.8,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:36:56,249053000,59.35526667,-139.7436667,0,142.6,16.8,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:36:14,249053000,59.35818333,-139.74795,0,143.3,16.8,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:36:09,249053000,59.35843333,-139.7483167,0,143.0,16.8,143,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:36:02,249053000,59.3588,-139.7488667,0,143.0,17.0,143,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:35:56,249053000,59.35916667,-139.7493667,0,142.6,17.0,143,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:35:30,249053000,59.36068333,-139.7516833,0,143.6,17.0,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:35:20,249053000,59.36136667,-139.7526333,0,144.0,17.0,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:35:07,249053000,59.36225,-139.7538833,0,144.3,17.0,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:35:03,249053000,59.36256667,-139.7543333,0,145.3,17.0,145,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:34:56,249053000,59.36293333,-139.75485,0,145.0,17.0,144,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:34:31,249053000,59.36443333,-139.75695,0,146.0,17.0,146,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:34:26,249053000,59.36495,-139.7576167,0,146.0,16.8,146,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:33:55,249053000,59.3668,-139.7600667,0,145.6,16.8,146,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
2008-05-06T22:33:43,249053000,59.36755,-139.7611,0,145.3,16.8,146,9106302,9HJG9,CELEBRITY MERCURY,16,SKAGWAY
