bs_ts,mmsi,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign
2008-05-17T23:59:59,246442000,ZAANDAM,SEWARD,60.720895,-147.83703,286,285.3,16.8,0,9156527,PDAN
2008-05-17T23:59:53,246442000,ZAANDAM,SEWARD,60.720775,-147.83611,285,284.5,17.0,0,9156527,PDAN
2008-05-17T23:59:41,246442000,ZAANDAM,SEWARD,60.72055833,-147.8343933,284,283.0,16.9,0,9156527,PDAN
2008-05-17T23:59:35,246442000,ZAANDAM,SEWARD,60.72044833,-147.83345,284,282.4,17.0,0,9156527,PDAN
2008-05-17T23:59:31,246442000,ZAANDAM,SEWARD,60.72035167,-147.8325133,283,281.6,17.0,0,9156527,PDAN
2008-05-17T23:59:24,246442000,ZAANDAM,SEWARD,60.720255,-147.831565,282,281.8,17.1,0,9156527,PDAN
2008-05-17T23:59:18,246442000,ZAANDAM,SEWARD,60.720165,-147.830615,281,279.9,17.0,0,9156527,PDAN
2008-05-17T23:59:12,246442000,ZAANDAM,SEWARD,60.72008333,-147.8296633,281,279.8,17.2,0,9156527,PDAN
2008-05-17T23:59:00,246442000,ZAANDAM,SEWARD,60.71992667,-147.8275933,279,277.9,17.1,0,9156527,PDAN
2008-05-17T23:58:54,246442000,ZAANDAM,SEWARD,60.719865,-147.8266283,279,277.0,17.2,0,9156527,PDAN
2008-05-17T23:58:47,246442000,ZAANDAM,SEWARD,60.71982,-147.8258283,278,275.9,17.2,0,9156527,PDAN
2008-05-17T23:58:41,246442000,ZAANDAM,SEWARD,60.71977167,-147.8248667,277,275.3,17.1,0,9156527,PDAN
2008-05-17T23:58:36,246442000,ZAANDAM,SEWARD,60.71972667,-147.8238967,276,274.7,17.2,0,9156527,PDAN
2008-05-17T23:58:29,246442000,ZAANDAM,SEWARD,60.719685,-147.822765,276,274.2,17.2,0,9156527,PDAN
2008-05-17T23:58:05,246442000,ZAANDAM,SEWARD,60.71960167,-147.81887,273,271.1,17.3,0,9156527,PDAN
2008-05-17T23:57:41,246442000,ZAANDAM,SEWARD,60.719615,-147.8151183,270,268.2,17.3,0,9156527,PDAN
2008-05-17T23:57:11,246442000,ZAANDAM,SEWARD,60.71976833,-147.8102083,266,264.2,17.4,0,9156527,PDAN
2008-05-17T23:54:53,246442000,ZAANDAM,SEWARD,60.72213833,-147.787835,253,251.8,17.7,0,9156527,PDAN
2008-05-17T23:54:48,246442000,ZAANDAM,SEWARD,60.72229833,-147.7868717,253,251.5,16.1,0,9156527,PDAN
2008-05-17T23:54:29,246442000,ZAANDAM,SEWARD,60.72282333,-147.7838483,252,250.1,17.9,0,9156527,PDAN
2008-05-17T23:54:25,246442000,ZAANDAM,SEWARD,60.72296833,-147.7830633,251,250.1,17.8,0,9156527,PDAN
2008-05-17T23:54:18,246442000,ZAANDAM,SEWARD,60.723145,-147.7821133,250,248.9,17.8,0,9156527,PDAN
2008-05-17T23:54:11,246442000,ZAANDAM,SEWARD,60.72334667,-147.781025,250,249.2,17.7,0,9156527,PDAN
2008-05-17T23:54:05,246442000,ZAANDAM,SEWARD,60.72351833,-147.7800933,249,248.8,17.7,0,9156527,PDAN
2008-05-17T23:53:48,246442000,ZAANDAM,SEWARD,60.724,-147.77742,250,249.0,17.8,0,9156527,PDAN
2008-05-17T23:53:41,246442000,ZAANDAM,SEWARD,60.72417333,-147.7764717,250,249.6,17.7,0,9156527,PDAN
2008-05-17T23:53:35,246442000,ZAANDAM,SEWARD,60.72437833,-147.7753683,250,249.0,17.7,0,9156527,PDAN
2008-05-17T23:53:29,246442000,ZAANDAM,SEWARD,60.72455167,-147.7744133,250,249.7,17.9,0,9156527,PDAN
2008-05-17T23:53:24,246442000,ZAANDAM,SEWARD,60.72469667,-147.7736283,250,249.4,17.7,0,9156527,PDAN
2008-05-17T23:53:17,246442000,ZAANDAM,SEWARD,60.72487333,-147.7726883,250,249.2,17.8,0,9156527,PDAN
2008-05-17T23:53:11,246442000,ZAANDAM,SEWARD,60.72507667,-147.771585,250,249.3,17.8,0,9156527,PDAN
2008-05-17T23:52:53,246442000,ZAANDAM,SEWARD,60.72556833,-147.76892,250,249.5,17.9,0,9156527,PDAN
2008-05-17T23:52:05,246442000,ZAANDAM,SEWARD,60.72696333,-147.76123,250,249.6,17.7,0,9156527,PDAN
