bs_ts,name,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,destination
2008-09-17T00:02:14,OOSTERDAM,245417000,59.5773333,-139.931333,15,360.0,102.3,511,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:02:18,OOSTERDAM,245417000,59.56888333,-139.94189,0,211.1,16.8,204,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:04:59,OOSTERDAM,245417000,59.55808333,-139.9547033,0,210.5,16.7,203,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:31:35,OOSTERDAM,245417000,59.45828333,-139.9165833,0,145.0,15.4,145,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:30:16,OOSTERDAM,245417000,59.46289667,-139.9228833,0,145.6,15.3,146,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:28:35,OOSTERDAM,245417000,59.46878667,-139.9307333,0,146.0,15.4,146,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:27:30,OOSTERDAM,245417000,59.472605,-139.93584,0,145.6,15.4,146,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:24:22,OOSTERDAM,245417000,59.48362,-139.950255,0,146.3,15.1,146,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:21:17,OOSTERDAM,245417000,59.49437333,-139.9641417,0,146.0,14.8,146,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:19:47,OOSTERDAM,245417000,59.49943,-139.9707067,0,146.7,14.7,146,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:58:17,OOSTERDAM,245417000,59.3693333,-139.792667,15,360.0,102.3,511,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:57:40,OOSTERDAM,245417000,59.36826,-139.7916533,0,142.3,16.7,143,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:54:52,OOSTERDAM,245417000,59.37810167,-139.8063283,0,143.0,15.2,143,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:52:40,OOSTERDAM,245417000,59.38540167,-139.8172267,0,141.2,15.0,142,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:50:41,OOSTERDAM,245417000,59.39200167,-139.82732,0,143.0,15.2,143,9221281,PBKH,YAKUTAT GLACIER
2008-09-17T00:49:05,OOSTERDAM,245417000,59.39744,-139.8349683,0,145.3,15.3,145,9221281,PBKH,YAKUTAT GLACIER
