bs_ts,mmsi,lat,lon,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-09-04T23:59:54,309653000,58.22781667,-135.5108783,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:48,309653000,58.22808333,-135.5118283,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:42,309653000,58.22836667,-135.5127767,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:36,309653000,58.22868333,-135.5138783,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:31,309653000,58.22886667,-135.5145267,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:23,309653000,58.22923333,-135.515775,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:18,309653000,58.22946667,-135.516575,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:11,309653000,58.22975,-135.5175083,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:06,309653000,58.22996667,-135.5183083,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:59:00,309653000,58.23025,-135.51924,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:54,309653000,58.23053333,-135.5202067,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:48,309653000,58.23079833,-135.52114,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:42,309653000,58.231165,-135.522405,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:35,309653000,58.23144833,-135.5233567,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:31,309653000,58.23168167,-135.5241383,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:23,309653000,58.23199833,-135.525255,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:18,309653000,58.23223167,-135.5260383,118.7,20.5,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:11,309653000,58.23254833,-135.5271367,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:58:06,309653000,58.23278167,-135.5279367,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:54,309653000,58.23333167,-135.5298367,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:53,309653000,58.23359833,-135.5307867,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:48,309653000,58.23359833,-135.5307867,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:42,309653000,58.23388167,-135.531735,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:35,309653000,58.23414833,-135.53267,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:30,309653000,58.23438167,-135.5334683,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:18,309653000,58.23493167,-135.5353683,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:11,309653000,58.23524667,-135.5364683,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:06,309653000,58.23546333,-135.5372667,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:57:00,309653000,58.23579667,-135.5383667,119.0,20.5,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:54,309653000,58.23606333,-135.5393167,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:47,309653000,58.23639667,-135.5404167,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:42,309653000,58.23666333,-135.5413667,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:36,309653000,58.23689667,-135.54215,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:31,309653000,58.23718,-135.5431,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:23,309653000,58.23749667,-135.5442,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:18,309653000,58.23773,-135.5449983,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:11,309653000,58.23804667,-135.5460983,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:06,309653000,58.23828,-135.5468967,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:56:01,309653000,58.23851333,-135.54768,119.0,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:54,309653000,58.23883,-135.54878,118.7,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:47,309653000,58.23911333,-135.549745,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:42,309653000,58.23938,-135.550695,118.4,20.6,119,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:36,309653000,58.23964667,-135.5516283,117.7,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:23,309653000,58.24023,-135.5537117,118.0,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:18,309653000,58.24046333,-135.55451,118.0,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:13,309653000,58.24076333,-135.5556267,118.0,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:06,309653000,58.24099667,-135.556425,118.0,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:55:01,309653000,58.24121333,-135.5572267,118.0,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:55,309653000,58.24153,-135.5583417,118.0,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:47,309653000,58.24183,-135.55946,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:42,309653000,58.24204667,-135.56026,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:36,309653000,58.24233,-135.56121,118.0,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:30,309653000,58.24254667,-135.56201,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:24,309653000,58.24284667,-135.56311,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:18,309653000,58.24311333,-135.56406,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:11,309653000,58.24338,-135.5650083,117.7,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:06,309653000,58.24361333,-135.5658083,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:54:01,309653000,58.24386333,-135.5667583,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:58,309653000,58.24417833,-135.56789,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:54,309653000,58.24417833,-135.56789,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:47,309653000,58.244445,-135.56884,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:42,309653000,58.24476167,-135.5699567,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:36,309653000,58.24502833,-135.5709067,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:31,309653000,58.245245,-135.5717083,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:24,309653000,58.24551167,-135.572655,117.4,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:17,309653000,58.24581167,-135.5737717,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:11,309653000,58.24607833,-135.5747217,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:06,309653000,58.246295,-135.57552,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:53:02,309653000,58.24651167,-135.5763033,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:53,309653000,58.24687833,-135.577585,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:47,309653000,58.24712833,-135.578535,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:41,309653000,58.24736,-135.579335,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:36,309653000,58.24762667,-135.5803017,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:31,309653000,58.24784333,-135.5810833,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:24,309653000,58.24814333,-135.5822,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:17,309653000,58.24841,-135.58315,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:11,309653000,58.24867667,-135.5841167,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:06,309653000,58.24894333,-135.58505,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:52:01,309653000,58.24921,-135.5860167,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:53,309653000,58.24951,-135.587115,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:53,309653000,58.24974333,-135.587915,0.0,0.0,0,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:48,309653000,58.24974333,-135.587915,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:41,309653000,58.25004333,-135.5890317,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:36,309653000,58.25027667,-135.5898317,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:30,309653000,58.25052667,-135.5907817,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:24,309653000,58.25079333,-135.5917317,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:17,309653000,58.25111,-135.5928483,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:11,309653000,58.25132667,-135.5936317,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:06,309653000,58.25159333,-135.5945983,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:51:01,309653000,58.25181,-135.5953983,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:50:53,309653000,58.25212667,-135.5964983,118.0,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:50:48,309653000,58.25234333,-135.5972983,117.7,20.5,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:50:42,309653000,58.25266,-135.5984133,117.7,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
2008-09-04T23:50:36,309653000,58.25290833,-135.5993633,117.7,20.6,118,9342281,C6VG7,NORWEGIAN PEARL,16,KETCHIKAN
