bs_ts,mmsi,lat,lon,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-09-16T23:59:45,311082000,57.73926333,-133.6515683,109.2,13.2,111,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:58:46,311082000,57.74038167,-133.6579667,106.9,13.3,110,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:57:39,311082000,57.74161,-133.6653633,107.0,13.5,110,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:57:03,311082000,57.74225667,-133.6692933,107.9,13.7,110,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:55:03,311082000,57.74471167,-133.6829567,108.7,13.9,110,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:52:02,311082000,57.75191,-133.7093817,0.0,0.0,0,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:51:03,311082000,57.75191,-133.7093817,136.2,15.4,133,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:50:57,311082000,57.75220667,-133.7099467,136.2,15.5,134,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:49:45,311082000,57.75602667,-133.7165067,137.7,16.4,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:49:27,311082000,57.757095,-133.7183167,137.4,16.7,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:49:14,311082000,57.757775,-133.7194767,137.0,16.8,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:48:51,311082000,57.75914333,-133.7218367,136.9,17.2,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:48:32,311082000,57.76019167,-133.7236483,136.9,17.4,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:48:03,311082000,57.761905,-133.7266217,136.6,17.8,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:47:57,311082000,57.76226667,-133.7272467,136.6,17.9,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:47:51,311082000,57.762685,-133.72798,136.6,17.9,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:47:27,311082000,57.76407833,-133.7304217,136.5,18.2,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:47:14,311082000,57.76487,-133.7318233,136.2,18.4,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:46:57,311082000,57.76591833,-133.733675,136.2,18.6,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:46:51,311082000,57.76635,-133.7344417,136.2,18.6,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:46:45,311082000,57.76666167,-133.7349917,136.2,18.7,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:46:39,311082000,57.76703667,-133.7356533,136.2,18.8,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:46:28,311082000,57.76772667,-133.7368767,136.2,18.9,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
2008-09-16T23:46:20,311082000,57.76817,-133.7376617,136.2,19.0,135,9195157,C6FR3,NORWEGIAN STAR,16,ENDICOTT BAR
