bs_ts,name,destination,lat,lon,heading,cog,sog,nav_status,imo,callsign,mmsi,Type of ship
2008-09-13T23:32:10,MILLENNIUM,JUNEAU,60.0046667,-139.523333,511,360.0,102.3,15,9189419.0,9HJF9,249055000,16.0
2008-09-13T23:22:59,MILLENNIUM,JUNEAU,60.00251667,-139.5229833,199,300.3,1.0,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:55:18,MILLENNIUM,JUNEAU,59.99616667,-139.5280167,18,23.8,4.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:54:32,MILLENNIUM,JUNEAU,59.9952,-139.5287833,17,20.3,5.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:54:25,MILLENNIUM,JUNEAU,59.99505,-139.5289,18,18.0,5.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:50:59,MILLENNIUM,JUNEAU,59.99078333,-139.5335167,21,26.0,4.7,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:48:28,MILLENNIUM,JUNEAU,59.98791667,-139.5348833,8,8.0,3.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:48:26,MILLENNIUM,JUNEAU,59.98788333,-139.5349,8,8.0,3.6,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:47:39,MILLENNIUM,JUNEAU,59.98708333,-139.5350167,17,0.4,3.9,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:31:50,MILLENNIUM,JUNEAU,59.97,-139.556667,511,360.0,102.3,15,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:02:59,MILLENNIUM,JUNEAU,59.91148333,-139.6198333,57,57.4,12.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:02:18,MILLENNIUM,JUNEAU,59.91021667,-139.6236833,58,56.5,12.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:01:18,MILLENNIUM,JUNEAU,59.90833333,-139.62925,58,55.6,12.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:01:12,MILLENNIUM,JUNEAU,59.90815,-139.6298167,58,53.6,12.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:01:08,MILLENNIUM,JUNEAU,59.908,-139.6302333,57,54.1,12.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:01:07,MILLENNIUM,JUNEAU,59.908,-139.6302333,57,54.1,12.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:01:00,MILLENNIUM,JUNEAU,59.90775,-139.6309,57,53.2,12.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:00:59,MILLENNIUM,JUNEAU,59.90771667,-139.6310167,57,53.2,12.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:00:54,MILLENNIUM,JUNEAU,59.90755,-139.6314333,58,54.2,12.1,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:00:42,MILLENNIUM,JUNEAU,59.90711667,-139.6326167,57,54.1,12.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:00:37,MILLENNIUM,JUNEAU,59.907,-139.6329667,56,53.1,12.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:00:28,MILLENNIUM,JUNEAU,59.9067,-139.6337167,55,52.1,12.2,0,9189419.0,9HJF9,249055000,16.0
2008-09-13T22:00:18,MILLENNIUM,JUNEAU,59.90633333,-139.6346833,53,51.1,12.3,0,9189419.0,9HJF9,249055000,16.0
