bs_ts,mmsi,lat,lon,nav_status,cog,sog,heading,imo,callsign,name,Type of ship,destination
2008-09-24T23:59:53,310344000,56.25858333,-134.5296667,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:59:47,310344000,56.25931667,-134.5295333,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:59:40,310344000,56.25991667,-134.5294333,0,186.0,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:59:32,310344000,56.2611,-134.5292167,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:59:25,310344000,56.26156667,-134.5291333,0,186.0,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:59:17,310344000,56.26241667,-134.5289833,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:59:14,310344000,56.26288333,-134.5289,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:59:07,310344000,56.26348333,-134.5287833,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:59,310344000,56.26411667,-134.5286833,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:54,310344000,56.2647,-134.5285667,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:47,310344000,56.2653,-134.52845,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:40,310344000,56.26601667,-134.5283167,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:29,310344000,56.26708333,-134.5281167,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:24,310344000,56.26758333,-134.5280333,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:18,310344000,56.26818333,-134.5279167,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:11,310344000,56.2689,-134.5278,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:58:05,310344000,56.26938333,-134.5277,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:59,310344000,56.2701,-134.5275833,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:53,310344000,56.27058333,-134.5275,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:48,310344000,56.2713,-134.5273667,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:41,310344000,56.2719,-134.5272667,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:36,310344000,56.2725,-134.5271667,0,185.5,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:29,310344000,56.2731,-134.5270667,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:24,310344000,56.27358333,-134.5269833,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:18,310344000,56.27418333,-134.5268667,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:11,310344000,56.2749,-134.52675,0,185.5,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:57:06,310344000,56.27551667,-134.5266667,0,185.5,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:59,310344000,56.27611667,-134.5265667,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:48,310344000,56.27718333,-134.5263833,0,185.5,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:40,310344000,56.27803333,-134.52625,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:36,310344000,56.27851667,-134.5261667,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:29,310344000,56.27911667,-134.5260667,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:24,310344000,56.2796,-134.5259667,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:18,310344000,56.2802,-134.5258667,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:11,310344000,56.28081667,-134.5257667,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:56:05,310344000,56.28141667,-134.5256667,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:59,310344000,56.28213333,-134.52555,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:53,310344000,56.28275,-134.52545,0,185.7,21.7,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:49,310344000,56.28323333,-134.5253667,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:41,310344000,56.28393333,-134.52525,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:35,310344000,56.28455,-134.5251333,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:30,310344000,56.28515,-134.5250333,0,185.5,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:24,310344000,56.28575,-134.5249167,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
2008-09-24T23:55:18,310344000,56.28621667,-134.5248333,0,185.7,21.8,185,9192351.0,ZCDA9,GOLDEN PRINCESS,16.0,KETCHIKAN
