bs_ts,ak_dt,mmsi,imo,call_sign,name,lat,lon,sog,cog
2012-07-11 04:19:13,2012-07-10 19:19:13,308457000,9126819,C6QM8,DISNEY WONDER,53.33045,-133.0102,17.4,328.4
2012-07-11 04:24:24,2012-07-10 19:24:24,308457000,9126819,C6QM8,DISNEY WONDER,53.35191,-133.0322,17.5,328.1
2012-07-11 04:25:00,2012-07-10 19:25:00,308457000,9126819,C6QM8,DISNEY WONDER,53.35447,-133.0348,17.6,328.0
2012-07-11 04:26:07,2012-07-10 19:26:07,308457000,9126819,C6QM8,DISNEY WONDER,53.35862,-133.039,17.6,329.1
2012-07-11 04:27:40,2012-07-10 19:27:40,308457000,9126819,C6QM8,DISNEY WONDER,53.3648,-133.0453,17.5,329.0
2012-07-11 04:28:01,2012-07-10 19:28:01,308457000,9126819,C6QM8,DISNEY WONDER,53.36695,-133.0474,17.5,328.6
2012-07-11 04:29:01,2012-07-10 19:29:01,308457000,9126819,C6QM8,DISNEY WONDER,53.36938,-133.0499,17.5,329.5
2012-07-11 04:30:27,2012-07-10 19:30:27,308457000,9126819,C6QM8,DISNEY WONDER,53.37356,-133.054,17.6,329.4
2012-07-11 04:31:06,2012-07-10 19:31:06,308457000,9126819,C6QM8,DISNEY WONDER,53.37823,-133.0588,17.6,328.4
2012-07-11 04:32:43,2012-07-10 19:32:43,308457000,9126819,C6QM8,DISNEY WONDER,53.3866,-133.0674,17.7,328.0
2012-07-11 04:33:08,2012-07-10 19:33:08,308457000,9126819,C6QM8,DISNEY WONDER,53.38821,-133.069,18.0,328.7
2012-07-11 04:34:00,2012-07-10 19:34:00,308457000,9126819,C6QM8,DISNEY WONDER,53.39199,-133.0729,17.8,328.3
2012-07-11 04:37:42,2012-07-10 19:37:42,308457000,9126819,C6QM8,DISNEY WONDER,53.40757,-133.0889,17.8,328.0
2012-07-11 04:38:00,2012-07-10 19:38:00,308457000,9126819,C6QM8,DISNEY WONDER,53.4085,-133.0898,17.8,329.3
2012-07-11 04:39:30,2012-07-10 19:39:30,308457000,9126819,C6QM8,DISNEY WONDER,53.41475,-133.0962,17.7,328.7
2012-07-11 04:40:01,2012-07-10 19:40:01,308457000,9126819,C6QM8,DISNEY WONDER,53.41727,-133.0987,17.8,329.0
2012-07-11 04:42:21,2012-07-10 19:42:21,308457000,9126819,C6QM8,DISNEY WONDER,53.42662,-133.1083,17.8,328.8
2012-07-11 04:43:19,2012-07-10 19:43:19,308457000,9126819,C6QM8,DISNEY WONDER,53.43082,-133.1127,17.8,327.9
2012-07-11 04:44:36,2012-07-10 19:44:36,308457000,9126819,C6QM8,DISNEY WONDER,53.43664,-133.1186,17.8,328.8
2012-07-11 04:45:01,2012-07-10 19:45:01,308457000,9126819,C6QM8,DISNEY WONDER,53.43832,-133.1203,17.7,328.7
2012-07-11 04:49:06,2012-07-10 19:49:06,308457000,9126819,C6QM8,DISNEY WONDER,53.45259,-133.1348,17.7,328.9
2012-07-11 04:50:06,2012-07-10 19:50:06,308457000,9126819,C6QM8,DISNEY WONDER,53.45636,-133.1387,17.8,328.5
2012-07-11 04:51:24,2012-07-10 19:51:24,308457000,9126819,C6QM8,DISNEY WONDER,53.46518,-133.1476,17.8,328.6
2012-07-11 04:52:00,2012-07-10 19:52:00,308457000,9126819,C6QM8,DISNEY WONDER,53.4677,-133.1502,17.7,328.0
2012-07-11 04:53:03,2012-07-10 19:53:03,308457000,9126819,C6QM8,DISNEY WONDER,53.47192,-133.1545,17.8,329.5
2012-07-11 04:54:13,2012-07-10 19:54:13,308457000,9126819,C6QM8,DISNEY WONDER,53.4736,-133.1562,17.7,329.3
2012-07-11 04:55:23,2012-07-10 19:55:23,308457000,9126819,C6QM8,DISNEY WONDER,53.48159,-133.1643,17.6,329.1
2012-07-11 04:56:06,2012-07-10 19:56:06,308457000,9126819,C6QM8,DISNEY WONDER,53.48494,-133.1677,17.7,328.7
2012-07-11 04:57:00,2012-07-10 19:57:00,308457000,9126819,C6QM8,DISNEY WONDER,53.48872,-133.1715,17.7,328.4
2012-07-11 04:58:01,2012-07-10 19:58:01,308457000,9126819,C6QM8,DISNEY WONDER,53.49292,-133.1758,17.6,329.6
2012-07-11 04:59:00,2012-07-10 19:59:00,308457000,9126819,C6QM8,DISNEY WONDER,53.49711,-133.1801,17.8,328.7
2012-07-11 05:00:06,2012-07-10 20:00:06,308457000,9126819,C6QM8,DISNEY WONDER,53.50173,-133.1848,17.6,329.5
2012-07-11 05:02:19,2012-07-10 20:02:19,308457000,9126819,C6QM8,DISNEY WONDER,53.51144,-133.1928,17.6,338.5
2012-07-11 05:03:16,2012-07-10 20:03:16,308457000,9126819,C6QM8,DISNEY WONDER,53.51512,-133.1949,17.5,342.5
2012-07-11 05:04:39,2012-07-10 20:04:39,308457000,9126819,C6QM8,DISNEY WONDER,53.5198,-133.1971,17.5,344.4
2012-07-11 05:05:13,2012-07-10 20:05:13,308457000,9126819,C6QM8,DISNEY WONDER,53.52488,-133.1996,17.5,343.0
2012-07-11 05:06:07,2012-07-10 20:06:07,308457000,9126819,C6QM8,DISNEY WONDER,53.52917,-133.2017,17.6,342.9
2012-07-11 05:07:17,2012-07-10 20:07:17,308457000,9126819,C6QM8,DISNEY WONDER,53.53104,-133.2027,17.7,342.6
2012-07-11 05:18:24,2012-07-10 20:18:24,308457000,9126819,C6QM8,DISNEY WONDER,53.58739,-133.2343,18.1,342.7
2012-07-11 05:19:30,2012-07-10 20:19:30,308457000,9126819,C6QM8,DISNEY WONDER,53.59274,-133.2371,18.0,342.8
2012-07-11 05:20:00,2012-07-10 20:20:00,308457000,9126819,C6QM8,DISNEY WONDER,53.59504,-133.2383,17.9,342.6
2012-07-11 05:21:16,2012-07-10 20:21:16,308457000,9126819,C6QM8,DISNEY WONDER,53.5998,-133.2408,17.9,342.7
2012-07-11 05:22:00,2012-07-10 20:22:00,308457000,9126819,C6QM8,DISNEY WONDER,53.60077,-133.2413,17.9,344.4
2012-07-11 05:26:00,2012-07-10 20:26:00,308457000,9126819,C6QM8,DISNEY WONDER,53.62254,-133.2528,17.8,341.8
2012-07-11 05:27:23,2012-07-10 20:27:23,308457000,9126819,C6QM8,DISNEY WONDER,53.62591,-133.2547,17.8,341.8
2012-07-11 05:28:03,2012-07-10 20:28:03,308457000,9126819,C6QM8,DISNEY WONDER,53.62685,-133.2552,17.8,342.7
2012-07-11 05:38:49,2012-07-10 20:38:49,308457000,9126819,C6QM8,DISNEY WONDER,53.68391,-133.2854,17.9,342.1
2012-07-11 05:39:00,2012-07-10 20:39:00,308457000,9126819,C6QM8,DISNEY WONDER,53.68486,-133.2859,18.0,342.7
2012-07-11 05:40:00,2012-07-10 20:40:00,308457000,9126819,C6QM8,DISNEY WONDER,53.68961,-133.2884,17.9,342.2
2012-07-11 05:41:50,2012-07-10 20:41:50,308457000,9126819,C6QM8,DISNEY WONDER,53.69529,-133.2914,17.9,342.8
2012-07-11 05:42:31,2012-07-10 20:42:31,308457000,9126819,C6QM8,DISNEY WONDER,53.69624,-133.2919,17.9,342.7
2012-07-11 05:43:28,2012-07-10 20:43:28,308457000,9126819,C6QM8,DISNEY WONDER,53.69679,-133.2922,17.9,342.6
2012-07-11 05:51:18,2012-07-10 20:51:18,308457000,9126819,C6QM8,DISNEY WONDER,53.74298,-133.3167,17.8,343.2
2012-07-11 05:52:04,2012-07-10 20:52:04,308457000,9126819,C6QM8,DISNEY WONDER,53.74629,-133.3184,17.8,343.1
2012-07-11 05:56:13,2012-07-10 20:56:13,308457000,9126819,C6QM8,DISNEY WONDER,53.76646,-133.3291,18.2,342.3
2012-07-11 05:57:02,2012-07-10 20:57:02,308457000,9126819,C6QM8,DISNEY WONDER,53.76837,-133.3301,18.1,342.3
