bs_ts,ak_dt,mmsi,imo,call_sign,name,lat,lon,sog,cog
2012-08-23 06:04:02,2012-08-22 21:04:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.72439,-147.8246,17.7,100.5
2012-08-23 06:05:02,2012-08-22 21:05:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.7238,-147.8148,17.7,94.6
2012-08-23 06:06:02,2012-08-22 21:06:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.72367,-147.8049,17.7,89.9
2012-08-23 06:07:02,2012-08-22 21:07:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.72399,-147.7949,17.7,83.9
2012-08-23 06:08:08,2012-08-22 21:08:08,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.72487,-147.7841,17.6,78.6
2012-08-23 06:09:02,2012-08-22 21:09:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.726,-147.7753,17.5,73.2
2012-08-23 06:10:02,2012-08-22 21:10:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.72747,-147.766,17.5,71.6
2012-08-23 06:11:02,2012-08-22 21:11:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.72908,-147.7565,17.6,70.9
2012-08-23 06:12:02,2012-08-22 21:12:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.73062,-147.7472,17.6,70.9
2012-08-23 06:13:02,2012-08-22 21:13:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.73226,-147.7376,17.6,70.3
2012-08-23 06:14:02,2012-08-22 21:14:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.73387,-147.7282,17.6,70.6
2012-08-23 06:15:02,2012-08-22 21:15:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.73547,-147.7189,17.7,70.3
2012-08-23 06:22:08,2012-08-22 21:22:08,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.74726,-147.6525,17.5,69.3
2012-08-23 06:23:02,2012-08-22 21:23:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.74878,-147.6441,17.5,69.0
2012-08-23 06:24:02,2012-08-22 21:24:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.7505,-147.6347,17.5,69.0
2012-08-23 06:25:02,2012-08-22 21:25:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.75217,-147.6256,17.4,70.3
2012-08-23 06:26:01,2012-08-22 21:26:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.75385,-147.6164,17.4,69.0
2012-08-23 06:27:02,2012-08-22 21:27:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.75556,-147.6072,17.4,69.3
2012-08-23 06:28:01,2012-08-22 21:28:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.75725,-147.5979,17.4,69.0
2012-08-23 06:29:01,2012-08-22 21:29:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.75897,-147.5886,17.4,70.0
2012-08-23 06:30:01,2012-08-22 21:30:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.76064,-147.5795,17.4,69.0
2012-08-23 06:31:02,2012-08-22 21:31:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.76236,-147.5702,17.4,69.3
2012-08-23 06:37:26,2012-08-22 21:37:26,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.77292,-147.5108,17.5,70.0
2012-08-23 06:38:02,2012-08-22 21:38:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.77389,-147.5053,17.5,70.0
2012-08-23 06:39:02,2012-08-22 21:39:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.77554,-147.4958,17.5,70.3
2012-08-23 06:40:02,2012-08-22 21:40:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.77715,-147.4866,17.5,70.3
2012-08-23 06:41:01,2012-08-22 21:41:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.77879,-147.4773,17.5,70.3
2012-08-23 06:42:01,2012-08-22 21:42:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78046,-147.4678,17.5,69.6
2012-08-23 06:43:02,2012-08-22 21:43:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78209,-147.4586,17.5,69.6
2012-08-23 06:44:02,2012-08-22 21:44:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78379,-147.4491,17.6,69.6
2012-08-23 06:45:02,2012-08-22 21:45:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78544,-147.4399,17.6,69.6
2012-08-23 06:46:02,2012-08-22 21:46:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78712,-147.4304,17.6,69.6
2012-08-23 06:52:50,2012-08-22 21:52:50,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.79853,-147.3662,17.9,70.3
2012-08-23 06:53:02,2012-08-22 21:53:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.7989,-147.3642,17.9,70.3
2012-08-23 06:54:02,2012-08-22 21:54:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80059,-147.3546,17.9,70.0
2012-08-23 06:55:02,2012-08-22 21:55:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80227,-147.3451,17.9,70.0
2012-08-23 06:56:02,2012-08-22 21:56:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80394,-147.3356,17.8,70.0
2012-08-23 06:57:08,2012-08-22 21:57:08,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80577,-147.3252,17.7,70.0
2012-08-23 06:58:02,2012-08-22 21:58:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80726,-147.3169,17.7,70.0
2012-08-23 06:59:02,2012-08-22 21:59:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80896,-147.3073,17.6,69.6
2012-08-23 07:00:02,2012-08-22 22:00:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.8106,-147.2981,17.6,70.0
2012-08-23 07:01:02,2012-08-22 22:01:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.81225,-147.2885,17.6,70.6
2012-08-23 07:02:02,2012-08-22 22:02:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.81387,-147.2791,17.6,70.3
2012-08-23 07:03:07,2012-08-22 22:03:07,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.81562,-147.269,17.3,70.3
2012-08-23 07:04:02,2012-08-22 22:04:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.81707,-147.2607,16.9,70.3
2012-08-23 07:10:56,2012-08-22 22:10:56,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82612,-147.2084,11.1,70.5
2012-08-23 07:11:07,2012-08-22 22:11:07,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.8263,-147.2073,10.9,72.0
2012-08-23 07:12:01,2012-08-22 22:12:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82702,-147.202,10.3,75.4
2012-08-23 07:13:02,2012-08-22 22:13:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82754,-147.1965,9.9,81.4
2012-08-23 07:14:01,2012-08-22 22:14:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.8276,-147.1909,9.7,92.8
2012-08-23 07:15:01,2012-08-22 22:15:01,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82704,-147.1856,9.7,107.2
2012-08-23 07:16:02,2012-08-22 22:16:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82588,-147.1806,9.9,118.6
2012-08-23 07:17:02,2012-08-22 22:17:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82436,-147.1756,10.4,122.8
2012-08-23 07:18:02,2012-08-22 22:18:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82276,-147.1706,10.9,123.4
2012-08-23 07:19:02,2012-08-22 22:19:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82099,-147.1653,11.4,124.0
2012-08-23 07:20:02,2012-08-22 22:20:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.82001,-147.1624,11.9,124.4
2012-08-23 07:26:22,2012-08-22 22:26:22,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80588,-147.1222,13.9,125.6
2012-08-23 07:27:02,2012-08-22 22:27:02,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80439,-147.1179,14.0,125.2
2012-08-23 07:28:00,2012-08-22 22:28:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.80222,-147.1116,14.2,124.8
2012-08-23 07:29:00,2012-08-22 22:29:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.79998,-147.1049,14.3,124.4
2012-08-23 07:30:00,2012-08-22 22:30:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.7977,-147.0981,14.4,124.3
2012-08-23 07:31:00,2012-08-22 22:31:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.79549,-147.0914,14.4,124.3
2012-08-23 07:32:00,2012-08-22 22:32:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.79323,-147.0847,14.4,124.3
2012-08-23 07:33:00,2012-08-22 22:33:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.79098,-147.078,14.4,124.3
2012-08-23 07:34:00,2012-08-22 22:34:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78871,-147.0713,14.3,125.4
2012-08-23 07:35:00,2012-08-22 22:35:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78621,-147.0649,14.2,131.0
2012-08-23 07:36:00,2012-08-22 22:36:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78354,-147.0593,14.1,135.5
2012-08-23 07:37:00,2012-08-22 22:37:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.78058,-147.0541,14.0,141.5
2012-08-23 07:38:00,2012-08-22 22:38:00,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.77739,-147.0496,14.0,148.0
2012-08-23 07:44:42,2012-08-22 22:44:42,310384000,9230402,ZCDG4,ISLAND PRINCESS,60.75202,-147.0359,14.5,174.7
