bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2023-08-25 00:01:33,257034130,LAYQ7,9796250,VIKING ORION,At anchor,58.29410000,-134.41096667,171.5,0.1,HUBBARD GLACIER,2023-08-21 20:30:00,Passenger ship,6.8,228,34
2023-08-25 00:04:34,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29400000,-134.41095000,160.7,0.1,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:10:33,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29391667,-134.41090000,112.3,0.0,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:16:33,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29395000,-134.41088333,349.2,0.1,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:22:33,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29400000,-134.41095000,254.0,0.1,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:28:33,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29371667,-134.41073333,144.1,0.2,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:34:34,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29346667,-134.41061667,40.5,0.1,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:37:33,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29355000,-134.41013333,82.8,0.5,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:43:33,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29335000,-134.40911667,146.6,0.3,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:46:33,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29256667,-134.40830000,150.1,2.6,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:47:08,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29210000,-134.40785000,148.3,3.8,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:47:29,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29176667,-134.40751667,152.1,4.5,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:47:58,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29118333,-134.40685000,147.7,5.2,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:48:08,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29098333,-134.40661667,150.4,5.4,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:48:19,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.29076667,-134.40636667,147.6,5.4,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:50:58,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28756667,-134.40246667,145.2,5.0,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:51:07,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28740000,-134.40225000,147.4,5.0,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:51:19,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28718333,-134.40198333,145.2,5.0,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:52:07,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28625000,-134.40071667,142.1,5.1,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:52:29,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28586667,-134.40013333,139.3,5.1,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:53:19,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28498333,-134.39868333,137.1,5.2,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:53:37,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28466667,-134.39806667,134.3,5.4,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:53:58,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28430000,-134.39731667,131.8,5.6,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:54:29,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28376667,-134.39616667,130.2,6.1,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
2023-08-25 00:54:58,257034130,LAYQ7,9796250,VIKING ORION,Under way using engine,58.28323333,-134.39486667,127.8,6.6,US KTN,2023-08-26 14:30:00,Passenger ship,6.8,228,34
