bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
2023-07-07 00:00:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,143.9,0.0,"JUNEAU, AK",2023-07-06 23:30:00,Passenger ship,8.5,290,50
2023-07-07 00:00:44,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,235.5,0.0,"JUNEAU, AK",2023-07-06 23:30:00,Passenger ship,8.5,290,50
2023-07-07 00:06:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,206.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:12:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,186.8,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:18:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,270.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:24:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,143.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:30:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,165.8,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:36:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,143.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:42:09,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,168.6,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:48:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,40.2,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 00:54:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,178.2,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:00:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,152.7,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:06:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,294.8,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:12:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,167.7,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:18:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,143.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:24:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,143.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:30:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,144.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:36:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,144.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:42:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,144.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:48:09,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,144.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 01:54:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,111.4,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:00:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,144.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:06:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,183.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:12:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,155.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:18:44,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,217.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:24:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39555000,203.5,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:30:43,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,144.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:36:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,143.9,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:42:44,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29168333,-134.39556667,353.2,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:48:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29168333,-134.39556667,34.3,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 02:54:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,37.6,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 03:00:11,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,144.0,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 03:06:09,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29170000,-134.39556667,15.4,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
2023-07-07 03:12:10,310500000,ZCDM6,9293399,CROWN PRINCESS,Moored,58.29168333,-134.39556667,97.3,0.0,"SITKA, AK",2023-07-08 15:30:00,Passenger ship,8.5,290,50
