,bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
0,2023-10-04 00:00:01,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31688,-123.14392833,289.8,8.6,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
1,2023-10-04 00:00:06,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31699167,-123.14445333,288.6,8.7,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
2,2023-10-04 00:00:47,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31748167,-123.14693167,286.0,9.0,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
3,2023-10-04 00:01:48,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31816333,-123.15078333,284.7,9.6,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
4,2023-10-04 00:02:48,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31880333,-123.15489667,282.3,10.1,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
5,2023-10-04 00:03:58,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31949833,-123.15996833,281.4,10.6,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
6,2023-10-04 00:05:05,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.320205,-123.16527,281.4,11.1,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
7,2023-10-04 00:06:18,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32094167,-123.17076167,281.5,11.6,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
8,2023-10-04 00:07:17,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32158833,-123.17575667,281.0,12.2,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
9,2023-10-04 00:08:07,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32211,-123.18004667,280.5,12.8,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
10,2023-10-04 00:09:07,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32275,-123.18552,279.6,13.3,US SEA,2023-10-02 15:00:00,Passenger ship,8.5,330,38
11,2023-10-04 00:09:58,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32319833,-123.19033333,277.2,13.5,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
12,2023-10-04 00:11:37,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32382333,-123.20003167,274.0,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
13,2023-10-04 00:12:07,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32390167,-123.20298833,271.8,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
14,2023-10-04 00:12:44,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32389167,-123.20684833,268.9,14.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
15,2023-10-04 00:13:22,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32377833,-123.21031833,266.8,14.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
16,2023-10-04 00:15:51,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32305833,-123.225275,264.6,14.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
17,2023-10-04 00:16:22,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.322805,-123.22841167,262.5,14.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
18,2023-10-04 00:16:50,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32248667,-123.231335,260.4,14.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
19,2023-10-04 00:17:21,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32207333,-123.23443,258.1,14.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
20,2023-10-04 00:18:15,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.32125333,-123.23968167,256.1,14.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
21,2023-10-04 00:21:03,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31837167,-123.25657667,253.9,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
22,2023-10-04 00:21:39,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31764333,-123.26005,251.5,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
23,2023-10-04 00:22:09,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.316915,-123.26308167,249.4,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
24,2023-10-04 00:22:38,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31615667,-123.26587,246.9,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
25,2023-10-04 00:23:03,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31547333,-123.26814333,244.9,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
26,2023-10-04 00:23:26,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31473667,-123.27037667,242.9,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
27,2023-10-04 00:23:57,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31371667,-123.273205,240.7,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
28,2023-10-04 00:24:27,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31269,-123.27578833,238.3,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
29,2023-10-04 00:24:51,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.31179333,-123.277875,236.2,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
30,2023-10-04 00:25:21,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.310555,-123.28050333,233.8,14.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
31,2023-10-04 00:25:57,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.30903833,-123.28347,231.6,14.8,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
32,2023-10-04 00:31:03,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.29569167,-123.30812333,230.1,14.6,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
33,2023-10-04 00:32:09,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.29278667,-123.31325833,227.9,14.5,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
34,2023-10-04 00:32:45,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.29112667,-123.31592167,225.8,14.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
35,2023-10-04 00:33:14,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.289735,-123.31795833,223.3,14.3,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
36,2023-10-04 00:33:39,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.28854667,-123.31956,221.1,14.3,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
37,2023-10-04 00:34:15,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.286645,-123.32186333,217.4,14.1,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
38,2023-10-04 00:34:38,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.28541833,-123.32318667,215.0,14.1,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
39,2023-10-04 00:34:58,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.28438167,-123.324215,213.0,14.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
40,2023-10-04 00:35:14,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.28338,-123.32513333,211.0,14.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
41,2023-10-04 00:35:33,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.28241667,-123.32595,208.9,14.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
42,2023-10-04 00:35:58,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.28097333,-123.32706,206.3,14.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
43,2023-10-04 00:36:21,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.27961833,-123.327985,203.7,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
44,2023-10-04 00:36:45,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.27812167,-123.32889,201.2,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
45,2023-10-04 00:37:09,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.27672167,-123.329625,198.8,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
46,2023-10-04 00:37:33,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.275245,-123.33030167,196.4,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
47,2023-10-04 00:38:34,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.271515,-123.331825,194.2,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
48,2023-10-04 00:43:40,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.25195833,-123.33893167,193.2,14.3,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
49,2023-10-04 00:47:39,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.23658833,-123.34416333,191.1,14.2,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
50,2023-10-04 00:52:39,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.21722,-123.34960667,190.4,14.2,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
51,2023-10-04 00:57:57,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.19669333,-123.35546,190.4,14.2,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
52,2023-10-04 01:02:57,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.17723,-123.36104167,191.0,14.3,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
53,2023-10-04 01:07:57,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.15783167,-123.36675,191.1,14.2,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
54,2023-10-04 01:09:40,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.15125167,-123.36869833,191.4,13.7,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
55,2023-10-04 01:10:15,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.14914667,-123.36934167,191.3,13.1,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
56,2023-10-04 01:10:45,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.147415,-123.36987,191.3,12.6,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
57,2023-10-04 01:11:20,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.145415,-123.37047667,191.3,12.1,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
58,2023-10-04 01:12:20,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.14222333,-123.37145167,191.4,11.5,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
59,2023-10-04 01:13:36,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.13844333,-123.372645,191.9,11.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
60,2023-10-04 01:16:07,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.13116833,-123.37504,192.5,10.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
61,2023-10-04 01:21:07,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.11720667,-123.37984667,193.2,10.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
62,2023-10-04 01:22:02,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.114315,-123.38087333,193.2,10.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
63,2023-10-04 01:22:58,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.11184167,-123.38176,193.2,11.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
64,2023-10-04 01:23:47,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.109185,-123.382705,193.1,12.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
65,2023-10-04 01:24:38,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.106325,-123.38371333,192.9,12.6,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
66,2023-10-04 01:25:36,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.10280333,-123.38483,191.0,13.1,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
67,2023-10-04 01:26:46,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.09861667,-123.38590667,189.0,13.4,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
68,2023-10-04 01:29:26,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.08865667,-123.38809833,186.9,13.9,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
69,2023-10-04 01:30:16,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.08544167,-123.38855,184.8,14.0,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
70,2023-10-04 01:31:26,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.080815,-123.38898667,182.6,14.2,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
71,2023-10-04 01:32:15,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.07759167,-123.38906167,180.0,14.2,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
72,2023-10-04 01:32:45,232002990,MABI4,9614141,MAJESTIC PRINCESS,Under way using engine,49.07568167,-123.388975,177.8,14.2,US LAX,2023-10-07 15:00:00,Passenger ship,8.5,330,38
