,bs_ts,mmsi,callsign,imo,name,nav_status,lat,lon,cog,sog,destination,eta,shiptype,draught,length,width
0,2023-09-24 00:01:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44482833,-135.32703167,42.6,0.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
1,2023-09-24 00:04:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44491,-135.32702167,42.6,0.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
2,2023-09-24 00:10:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44481833,-135.327035,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
3,2023-09-24 00:16:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44479833,-135.32703667,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
4,2023-09-24 00:22:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44481833,-135.32702,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
5,2023-09-24 00:28:50,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44478167,-135.32703667,298.0,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
6,2023-09-24 00:34:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.444775,-135.32704167,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
7,2023-09-24 00:40:50,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44478167,-135.32703667,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
8,2023-09-24 00:46:50,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44478333,-135.32703833,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
9,2023-09-24 00:52:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44479,-135.32703,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
10,2023-09-24 00:58:50,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44479667,-135.32702833,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
11,2023-09-24 01:04:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32701833,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
12,2023-09-24 01:10:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480833,-135.32701667,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
13,2023-09-24 01:16:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480833,-135.32701667,42.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
14,2023-09-24 01:22:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480333,-135.32702,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
15,2023-09-24 01:28:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.327005,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
16,2023-09-24 01:34:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.444805,-135.32702167,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
17,2023-09-24 01:40:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480167,-135.32702,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
18,2023-09-24 01:46:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480167,-135.32701833,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
19,2023-09-24 01:52:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480333,-135.32701667,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
20,2023-09-24 01:58:50,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480333,-135.32701167,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
21,2023-09-24 02:04:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32700833,325.6,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
22,2023-09-24 02:10:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44479833,-135.32701333,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
23,2023-09-24 02:16:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480167,-135.32700667,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
24,2023-09-24 02:22:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480333,-135.32700333,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
25,2023-09-24 02:28:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480333,-135.327005,217.9,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
26,2023-09-24 02:34:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480167,-135.32700333,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
27,2023-09-24 02:40:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480333,-135.32700333,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
28,2023-09-24 02:46:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480167,-135.327,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
29,2023-09-24 02:52:50,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.444805,-135.32700167,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
30,2023-09-24 02:58:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32700167,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
31,2023-09-24 03:04:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480833,-135.32700333,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
32,2023-09-24 03:10:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480833,-135.32700333,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
33,2023-09-24 03:16:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32700333,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
34,2023-09-24 03:22:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32700333,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
35,2023-09-24 03:28:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32700333,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
36,2023-09-24 03:34:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.327,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
37,2023-09-24 03:40:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32700167,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
38,2023-09-24 03:46:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480667,-135.32699667,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
39,2023-09-24 03:52:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.444805,-135.32699833,42.8,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
40,2023-09-24 03:58:52,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.444805,-135.32700167,42.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
41,2023-09-24 04:04:50,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.444805,-135.32699833,331.7,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
42,2023-09-24 04:10:51,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Moored,59.44480333,-135.32699833,286.2,0.0,KETCHIKAN,2023-09-25 18:00:00,Passenger ship,8.2,288,50
43,2023-09-24 04:15:55,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.444805,-135.32699833,42.7,0.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
44,2023-09-24 04:20:56,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44484833,-135.32726833,250.4,0.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
45,2023-09-24 04:21:36,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44481,-135.32746333,245.0,0.7,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
46,2023-09-24 04:22:05,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44475333,-135.32766333,238.7,1.0,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
47,2023-09-24 04:22:36,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44467,-135.32798167,244.8,1.4,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
48,2023-09-24 04:23:14,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44452333,-135.32851667,238.3,1.9,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
49,2023-09-24 04:23:44,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44435167,-135.32896667,231.8,2.1,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
50,2023-09-24 04:24:44,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44394833,-135.33002,230.7,2.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
51,2023-09-24 04:26:36,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44302167,-135.33225,230.6,3.1,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
52,2023-09-24 04:28:56,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44175,-135.33512667,227.0,2.6,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
53,2023-09-24 04:29:56,235103357,2HFZ6,9228186,SAPPHIRE PRINCESS,Under way using engine,59.44132,-135.336075,229.5,2.1,KAKE P/S,2023-09-22 12:15:00,Passenger ship,8.2,288,50
