date,boatName,portCode,ts_in,ts_out,portName,nextPort
2010-05-03,AMSTERDAM,SEA,2010-05-03 07:00:00,2010-05-03 16:00:00,SEATTLE,AT SEA
2010-05-04,AMSTERDAM,AS,2010-05-04 06:00:00,2010-05-04 22:00:00,AT SEA,GLACIER BAY
2010-05-05,AMSTERDAM,GB,2010-05-05 10:00:00,2010-05-05 19:00:00,GLACIER BAY,JUNEAU
2010-05-06,AMSTERDAM,JNU,2010-05-06 07:00:00,2010-05-06 20:00:00,JUNEAU,SITKA
2010-05-07,AMSTERDAM,SIT,2010-05-07 08:00:00,2010-05-07 17:00:00,SITKA,KETCHIKAN
2010-05-08,AMSTERDAM,KTN,2010-05-08 07:00:00,2010-05-08 13:00:00,KETCHIKAN,VICTORIA
2010-05-09,AMSTERDAM,VIC,2010-05-09 18:00:00,2010-05-09 23:59:00,VICTORIA,SEATTLE
2010-05-10,AMSTERDAM,SEA,2010-05-10 07:00:00,2010-05-10 16:00:00,SEATTLE,AT SEA
2010-05-11,AMSTERDAM,AS,2010-05-11 06:00:00,2010-05-11 22:00:00,AT SEA,GLACIER BAY
2010-05-12,AMSTERDAM,GB,2010-05-12 10:00:00,2010-05-12 19:00:00,GLACIER BAY,JUNEAU
2010-05-13,AMSTERDAM,JNU,2010-05-13 07:00:00,2010-05-13 20:00:00,JUNEAU,SITKA
2010-05-14,AMSTERDAM,SIT,2010-05-14 08:00:00,2010-05-14 17:00:00,SITKA,KETCHIKAN
2010-05-15,AMSTERDAM,KTN,2010-05-15 07:00:00,2010-05-15 13:00:00,KETCHIKAN,VICTORIA
2010-05-16,AMSTERDAM,VIC,2010-05-16 18:00:00,2010-05-16 23:59:00,VICTORIA,SEATTLE
2010-05-17,AMSTERDAM,SEA,2010-05-17 07:00:00,2010-05-17 17:00:00,SEATTLE,AT SEA
2010-05-18,AMSTERDAM,AS,2010-05-18 06:00:00,2010-05-18 22:00:00,AT SEA,KETCHIKAN
2010-05-19,AMSTERDAM,KTN,2010-05-19 07:00:00,2010-05-19 17:00:00,KETCHIKAN,SITKA
2010-05-20,AMSTERDAM,SIT,2010-05-20 08:00:00,2010-05-20 17:00:00,SITKA,SKAGWAY
2010-05-21,AMSTERDAM,SKG,2010-05-21 07:00:00,2010-05-21 21:00:00,SKAGWAY,GLACIER BAY
2010-05-22,AMSTERDAM,GB,2010-05-22 07:00:00,2010-05-22 16:00:00,GLACIER BAY,AT SEA
2010-05-23,AMSTERDAM,AS,2010-05-23 06:00:00,2010-05-23 22:00:00,AT SEA,ANCHORAGE
2010-05-24,AMSTERDAM,ANC,2010-05-24 07:00:00,2010-05-24 23:00:00,ANCHORAGE,HOMER
2010-05-25,AMSTERDAM,HOM,2010-05-25 10:00:00,2010-05-25 18:00:00,HOMER,KODIAK
2010-05-26,AMSTERDAM,KDK,2010-05-26 07:00:00,2010-05-26 13:00:00,KODIAK,HUBBARD GLACIER
2010-05-27,AMSTERDAM,HUB,2010-05-27 12:00:00,2010-05-27 16:00:00,HUBBARD GLACIER,JUNEAU
2010-05-28,AMSTERDAM,JNU,2010-05-28 08:00:00,2010-05-28 17:00:00,JUNEAU,AT SEA
2010-05-29,AMSTERDAM,AS,2010-05-29 06:00:00,2010-05-29 22:00:00,AT SEA,VICTORIA
2010-05-30,AMSTERDAM,VIC,2010-05-30 14:00:00,2010-05-30 20:00:00,VICTORIA,SEATTLE
2010-05-31,AMSTERDAM,SEA,2010-05-31 07:00:00,2010-05-31 17:00:00,SEATTLE,AT SEA
2010-06-01,AMSTERDAM,AS,2010-06-01 06:00:00,2010-06-01 22:00:00,AT SEA,KETCHIKAN
2010-06-02,AMSTERDAM,KTN,2010-06-02 07:00:00,2010-06-02 17:00:00,KETCHIKAN,SITKA
2010-06-03,AMSTERDAM,SIT,2010-06-03 08:00:00,2010-06-03 17:00:00,SITKA,SKAGWAY
2010-06-04,AMSTERDAM,SKG,2010-06-04 07:00:00,2010-06-04 21:00:00,SKAGWAY,GLACIER BAY
2010-06-05,AMSTERDAM,GB,2010-06-05 07:00:00,2010-06-05 16:00:00,GLACIER BAY,AT SEA
2010-06-06,AMSTERDAM,AS,2010-06-06 06:00:00,2010-06-06 22:00:00,AT SEA,ANCHORAGE
2010-06-07,AMSTERDAM,ANC,2010-06-07 07:00:00,2010-06-07 23:00:00,ANCHORAGE,HOMER
2010-06-08,AMSTERDAM,HOM,2010-06-08 10:00:00,2010-06-08 18:00:00,HOMER,KODIAK
2010-06-09,AMSTERDAM,KDK,2010-06-09 07:00:00,2010-06-09 13:00:00,KODIAK,HUBBARD GLACIER
2010-06-10,AMSTERDAM,HUB,2010-06-10 12:00:00,2010-06-10 16:00:00,HUBBARD GLACIER,JUNEAU
2010-06-11,AMSTERDAM,JNU,2010-06-11 08:00:00,2010-06-11 17:00:00,JUNEAU,AT SEA
2010-06-12,AMSTERDAM,AS,2010-06-12 06:00:00,2010-06-12 22:00:00,AT SEA,VICTORIA
2010-06-13,AMSTERDAM,VIC,2010-06-13 14:00:00,2010-06-13 20:00:00,VICTORIA,SEATTLE
2010-06-14,AMSTERDAM,SEA,2010-06-14 07:00:00,2010-06-14 17:00:00,SEATTLE,AT SEA
2010-06-15,AMSTERDAM,AS,2010-06-15 06:00:00,2010-06-15 22:00:00,AT SEA,KETCHIKAN
2010-06-16,AMSTERDAM,KTN,2010-06-16 07:00:00,2010-06-16 17:00:00,KETCHIKAN,SITKA
2010-06-17,AMSTERDAM,SIT,2010-06-17 08:00:00,2010-06-17 17:00:00,SITKA,SKAGWAY
2010-06-18,AMSTERDAM,SKG,2010-06-18 07:00:00,2010-06-18 21:00:00,SKAGWAY,GLACIER BAY
2010-06-19,AMSTERDAM,GB,2010-06-19 07:00:00,2010-06-19 16:00:00,GLACIER BAY,AT SEA
2010-06-20,AMSTERDAM,AS,2010-06-20 06:00:00,2010-06-20 22:00:00,AT SEA,ANCHORAGE
2010-06-21,AMSTERDAM,ANC,2010-06-21 07:00:00,2010-06-21 23:00:00,ANCHORAGE,HOMER
2010-06-22,AMSTERDAM,HOM,2010-06-22 10:00:00,2010-06-22 18:00:00,HOMER,KODIAK
2010-06-23,AMSTERDAM,KDK,2010-06-23 07:00:00,2010-06-23 13:00:00,KODIAK,HUBBARD GLACIER
2010-06-24,AMSTERDAM,HUB,2010-06-24 12:00:00,2010-06-24 16:00:00,HUBBARD GLACIER,JUNEAU
2010-06-25,AMSTERDAM,JNU,2010-06-25 08:00:00,2010-06-25 17:00:00,JUNEAU,AT SEA
2010-06-26,AMSTERDAM,AS,2010-06-26 06:00:00,2010-06-26 22:00:00,AT SEA,VICTORIA
2010-06-27,AMSTERDAM,VIC,2010-06-27 14:00:00,2010-06-27 20:00:00,VICTORIA,SEATTLE
2010-06-28,AMSTERDAM,SEA,2010-06-28 07:00:00,2010-06-28 17:00:00,SEATTLE,AT SEA
2010-06-29,AMSTERDAM,AS,2010-06-29 06:00:00,2010-06-29 22:00:00,AT SEA,KETCHIKAN
2010-06-30,AMSTERDAM,KTN,2010-06-30 07:00:00,2010-06-30 17:00:00,KETCHIKAN,SITKA
2010-07-01,AMSTERDAM,SIT,2010-07-01 08:00:00,2010-07-01 17:00:00,SITKA,SKAGWAY
2010-07-02,AMSTERDAM,SKG,2010-07-02 07:00:00,2010-07-02 21:00:00,SKAGWAY,GLACIER BAY
2010-07-03,AMSTERDAM,GB,2010-07-03 07:00:00,2010-07-03 16:00:00,GLACIER BAY,AT SEA
2010-07-04,AMSTERDAM,AS,2010-07-04 06:00:00,2010-07-04 22:00:00,AT SEA,ANCHORAGE
2010-07-05,AMSTERDAM,ANC,2010-07-05 07:00:00,2010-07-05 23:00:00,ANCHORAGE,HOMER
2010-07-06,AMSTERDAM,HOM,2010-07-06 10:00:00,2010-07-06 18:00:00,HOMER,KODIAK
2010-07-07,AMSTERDAM,KDK,2010-07-07 07:00:00,2010-07-07 13:00:00,KODIAK,HUBBARD GLACIER
2010-07-08,AMSTERDAM,HUB,2010-07-08 12:00:00,2010-07-08 16:00:00,HUBBARD GLACIER,JUNEAU
2010-07-09,AMSTERDAM,JNU,2010-07-09 08:00:00,2010-07-09 17:00:00,JUNEAU,AT SEA
2010-07-10,AMSTERDAM,AS,2010-07-10 06:00:00,2010-07-10 22:00:00,AT SEA,VICTORIA
2010-07-11,AMSTERDAM,VIC,2010-07-11 14:00:00,2010-07-11 20:00:00,VICTORIA,SEATTLE
2010-07-12,AMSTERDAM,SEA,2010-07-12 07:00:00,2010-07-12 17:00:00,SEATTLE,AT SEA
2010-07-13,AMSTERDAM,AS,2010-07-13 06:00:00,2010-07-13 22:00:00,AT SEA,KETCHIKAN
2010-07-14,AMSTERDAM,KTN,2010-07-14 07:00:00,2010-07-14 17:00:00,KETCHIKAN,TRACY ARM
2010-07-15,AMSTERDAM,TA,2010-07-15 08:00:00,2010-07-15 17:00:00,TRACY ARM,SKAGWAY
2010-07-16,AMSTERDAM,SKG,2010-07-16 07:00:00,2010-07-16 18:00:00,SKAGWAY,SITKA
2010-07-17,AMSTERDAM,SIT,2010-07-17 08:00:00,2010-07-17 15:00:00,SITKA,AT SEA
2010-07-18,AMSTERDAM,AS,2010-07-18 06:00:00,2010-07-18 22:00:00,AT SEA,ANCHORAGE
2010-07-19,AMSTERDAM,ANC,2010-07-19 07:00:00,2010-07-19 23:00:00,ANCHORAGE,HOMER
2010-07-20,AMSTERDAM,HOM,2010-07-20 10:00:00,2010-07-20 18:00:00,HOMER,KODIAK
2010-07-21,AMSTERDAM,KDK,2010-07-21 07:00:00,2010-07-21 13:00:00,KODIAK,HUBBARD GLACIER
2010-07-22,AMSTERDAM,HUB,2010-07-22 12:00:00,2010-07-22 16:00:00,HUBBARD GLACIER,JUNEAU
2010-07-23,AMSTERDAM,JNU,2010-07-23 08:00:00,2010-07-23 17:00:00,JUNEAU,AT SEA
2010-07-24,AMSTERDAM,AS,2010-07-24 06:00:00,2010-07-24 22:00:00,AT SEA,VICTORIA
2010-07-25,AMSTERDAM,VIC,2010-07-25 14:00:00,2010-07-25 20:00:00,VICTORIA,SEATTLE
2010-07-26,AMSTERDAM,SEA,2010-07-26 07:00:00,2010-07-26 17:00:00,SEATTLE,AT SEA
2010-07-27,AMSTERDAM,AS,2010-07-27 06:00:00,2010-07-27 22:00:00,AT SEA,KETCHIKAN
2010-07-28,AMSTERDAM,KTN,2010-07-28 07:00:00,2010-07-28 17:00:00,KETCHIKAN,SITKA
2010-07-29,AMSTERDAM,SIT,2010-07-29 08:00:00,2010-07-29 17:00:00,SITKA,SKAGWAY
2010-07-30,AMSTERDAM,SKG,2010-07-30 07:00:00,2010-07-30 21:00:00,SKAGWAY,GLACIER BAY
2010-07-31,AMSTERDAM,GB,2010-07-31 07:00:00,2010-07-31 16:00:00,GLACIER BAY,AT SEA
2010-08-01,AMSTERDAM,AS,2010-08-01 06:00:00,2010-08-01 22:00:00,AT SEA,ANCHORAGE
2010-08-02,AMSTERDAM,ANC,2010-08-02 07:00:00,2010-08-02 23:00:00,ANCHORAGE,HOMER
2010-08-03,AMSTERDAM,HOM,2010-08-03 10:00:00,2010-08-03 18:00:00,HOMER,KODIAK
2010-08-04,AMSTERDAM,KDK,2010-08-04 07:00:00,2010-08-04 13:00:00,KODIAK,HUBBARD GLACIER
2010-08-05,AMSTERDAM,HUB,2010-08-05 12:00:00,2010-08-05 16:00:00,HUBBARD GLACIER,JUNEAU
2010-08-06,AMSTERDAM,JNU,2010-08-06 08:00:00,2010-08-06 17:00:00,JUNEAU,AT SEA
2010-08-07,AMSTERDAM,AS,2010-08-07 06:00:00,2010-08-07 22:00:00,AT SEA,VICTORIA
2010-08-08,AMSTERDAM,VIC,2010-08-08 14:00:00,2010-08-08 20:00:00,VICTORIA,SEATTLE
2010-08-09,AMSTERDAM,SEA,2010-08-09 07:00:00,2010-08-09 17:00:00,SEATTLE,AT SEA
2010-08-10,AMSTERDAM,AS,2010-08-10 06:00:00,2010-08-10 22:00:00,AT SEA,KETCHIKAN
2010-08-11,AMSTERDAM,KTN,2010-08-11 07:00:00,2010-08-11 17:00:00,KETCHIKAN,SITKA
2010-08-12,AMSTERDAM,SIT,2010-08-12 08:00:00,2010-08-12 17:00:00,SITKA,SKAGWAY
2010-08-13,AMSTERDAM,SKG,2010-08-13 07:00:00,2010-08-13 21:00:00,SKAGWAY,GLACIER BAY
2010-08-14,AMSTERDAM,GB,2010-08-14 07:00:00,2010-08-14 16:00:00,GLACIER BAY,AT SEA
2010-08-15,AMSTERDAM,AS,2010-08-15 06:00:00,2010-08-15 22:00:00,AT SEA,ANCHORAGE
2010-08-16,AMSTERDAM,ANC,2010-08-16 07:00:00,2010-08-16 23:00:00,ANCHORAGE,HOMER
2010-08-17,AMSTERDAM,HOM,2010-08-17 10:00:00,2010-08-17 18:00:00,HOMER,KODIAK
2010-08-18,AMSTERDAM,KDK,2010-08-18 07:00:00,2010-08-18 13:00:00,KODIAK,HUBBARD GLACIER
2010-08-19,AMSTERDAM,HUB,2010-08-19 12:00:00,2010-08-19 16:00:00,HUBBARD GLACIER,JUNEAU
2010-08-20,AMSTERDAM,JNU,2010-08-20 08:00:00,2010-08-20 17:00:00,JUNEAU,AT SEA
2010-08-21,AMSTERDAM,AS,2010-08-21 06:00:00,2010-08-21 22:00:00,AT SEA,VICTORIA
2010-08-22,AMSTERDAM,VIC,2010-08-22 14:00:00,2010-08-22 20:00:00,VICTORIA,SEATTLE
2010-08-23,AMSTERDAM,SEA,2010-08-23 07:00:00,2010-08-23 17:00:00,SEATTLE,AT SEA
2010-08-24,AMSTERDAM,AS,2010-08-24 06:00:00,2010-08-24 22:00:00,AT SEA,KETCHIKAN
2010-08-25,AMSTERDAM,KTN,2010-08-25 07:00:00,2010-08-25 17:00:00,KETCHIKAN,SITKA
2010-08-26,AMSTERDAM,SIT,2010-08-26 08:00:00,2010-08-26 17:00:00,SITKA,SKAGWAY
2010-08-27,AMSTERDAM,SKG,2010-08-27 07:00:00,2010-08-27 21:00:00,SKAGWAY,GLACIER BAY
2010-08-28,AMSTERDAM,GB,2010-08-28 07:00:00,2010-08-28 16:00:00,GLACIER BAY,AT SEA
2010-08-29,AMSTERDAM,AS,2010-08-29 06:00:00,2010-08-29 22:00:00,AT SEA,ANCHORAGE
2010-08-30,AMSTERDAM,ANC,2010-08-30 07:00:00,2010-08-30 23:00:00,ANCHORAGE,HOMER
2010-08-31,AMSTERDAM,HOM,2010-08-31 10:00:00,2010-08-31 18:00:00,HOMER,KODIAK
2010-09-01,AMSTERDAM,KDK,2010-09-01 07:00:00,2010-09-01 13:00:00,KODIAK,HUBBARD GLACIER
2010-09-02,AMSTERDAM,HUB,2010-09-02 12:00:00,2010-09-02 16:00:00,HUBBARD GLACIER,JUNEAU
2010-09-03,AMSTERDAM,JNU,2010-09-03 08:00:00,2010-09-03 17:00:00,JUNEAU,AT SEA
2010-09-04,AMSTERDAM,AS,2010-09-04 06:00:00,2010-09-04 22:00:00,AT SEA,VICTORIA
2010-09-05,AMSTERDAM,VIC,2010-09-05 14:00:00,2010-09-05 20:00:00,VICTORIA,SEATTLE
2010-09-06,AMSTERDAM,SEA,2010-09-06 07:00:00,2010-09-06 17:00:00,SEATTLE,AT SEA
2010-09-07,AMSTERDAM,AS,2010-09-07 06:00:00,2010-09-07 22:00:00,AT SEA,KETCHIKAN
2010-09-08,AMSTERDAM,KTN,2010-09-08 07:00:00,2010-09-08 17:00:00,KETCHIKAN,SITKA
2010-09-09,AMSTERDAM,SIT,2010-09-09 08:00:00,2010-09-09 17:00:00,SITKA,SKAGWAY
2010-09-10,AMSTERDAM,SKG,2010-09-10 07:00:00,2010-09-10 21:00:00,SKAGWAY,GLACIER BAY
2010-09-11,AMSTERDAM,GB,2010-09-11 07:00:00,2010-09-11 16:00:00,GLACIER BAY,AT SEA
2010-09-12,AMSTERDAM,AS,2010-09-12 06:00:00,2010-09-12 22:00:00,AT SEA,ANCHORAGE
2010-09-13,AMSTERDAM,ANC,2010-09-13 07:00:00,2010-09-13 23:00:00,ANCHORAGE,HOMER
2010-09-14,AMSTERDAM,HOM,2010-09-14 10:00:00,2010-09-14 18:00:00,HOMER,KODIAK
2010-09-15,AMSTERDAM,KDK,2010-09-15 07:00:00,2010-09-15 13:00:00,KODIAK,HUBBARD GLACIER
2010-09-16,AMSTERDAM,HUB,2010-09-16 12:00:00,2010-09-16 16:00:00,HUBBARD GLACIER,JUNEAU
2010-09-17,AMSTERDAM,JNU,2010-09-17 08:00:00,2010-09-17 17:00:00,JUNEAU,AT SEA
2010-09-18,AMSTERDAM,AS,2010-09-18 06:00:00,2010-09-18 22:00:00,AT SEA,VICTORIA
2010-09-19,AMSTERDAM,VIC,2010-09-19 14:00:00,2010-09-19 20:00:00,VICTORIA,SEATTLE
2010-09-20,AMSTERDAM,SEA,2010-09-20 07:00:00,2010-09-20 17:00:00,SEATTLE,AT SEA
2010-09-21,AMSTERDAM,AS,2010-09-21 06:00:00,2010-09-21 22:00:00,AT SEA,ASTORIA
2010-09-22,AMSTERDAM,AST,2010-09-22 08:00:00,2010-09-22 18:00:00,ASTORIA,VICTORIA
2010-09-23,AMSTERDAM,VIC,2010-09-23 12:00:00,2010-09-23 23:59:00,VICTORIA,SEATTLE
2010-09-24,AMSTERDAM,SEA,2010-09-24 07:00:00,2010-09-24 17:00:00,SEATTLE,
2010-06-27,ASUKA,VAN,2010-06-27 07:00:00,2010-06-27 19:00:00,VANCOUVER,AT SEA
2010-06-28,ASUKA,AS,2010-06-28 06:00:00,2010-06-28 22:00:00,AT SEA,MISTY FJORD
2010-06-29,ASUKA,MFJ,2010-06-29 10:00:00,2010-06-29 13:00:00,MISTY FJORD,AT SEA
2010-06-30,ASUKA,AS,2010-06-30 06:00:00,2010-06-30 22:00:00,AT SEA,JUNEAU
2010-07-01,ASUKA,JNU,2010-07-01 08:00:00,2010-07-01 21:00:00,JUNEAU,HUBBARD GLACIER
2010-07-02,ASUKA,HUB,2010-07-02 11:30:00,2010-07-02 16:30:00,HUBBARD GLACIER,COLLEGE FJORD
2010-07-03,ASUKA,CFJ,2010-07-03 07:00:00,2010-07-03 20:00:00,COLLEGE FJORD,SEWARD
2010-07-04,ASUKA,SEW,2010-07-04 07:00:00,2010-07-04 19:00:00,SEWARD,
