,mmsi,name,imo,LOA,GT,DWT,Passengers,Berths,Cabins ,Crew
0,244370000,AMSTERDAM,9188037,237.91,62735,7327,1380,1738,NG,NG
1,432545000,ASUKA 2,8806204,240.96,50444,8642,1110,480,NG,NG
2,357658000,CARNIVAL SPIRIT,9188647,292.56,85619,7200,2680,2680,1057,NG
3,229136000,CARNIVAL SPIRIT,9188647,292.56,85619,7200,2680,2680,1057,NG
4,249054000,CELEBRITY CENTURY,9072446,243,70606,7260,1778,NG,NG,NG
5,310376000,CORAL PRINCESS,9229659,294,91627,8015,1950,1950,NG,NG
6,310437000,DAWN PRINCESS,9103996,261.23,77441,8293,1950,2342,NG,NG
7,310404000,DIAMOND PRINCESS,9228198,290,115906,14601,2600,2600,NG,NG
8,308457000,DISNEY WONDER,9126819,294,83308,8604,1760,2834,NG,NG
9,310344000,GOLDEN PRINCESS,9192351,285,108865,8418,3300,3300,NG,NG
10,309577000,HANSEATIC,9000168,124.89,8445,1177,188,NG,NG,115
11,249048000,CELEBRITY INFINITY,9189421,294,90940,11778,2449,2449,1019,NG
12,310384000,ISLAND PRINCESS,9230402,294,92822,8015,1950,1950,NG,NG
13,249055000,CELEBRITY MILLENNIUM,9189419,294,90963,11928,2524,2449,1019,NG
14,311827000,NORWEGIAN JEWEL,9304045,294.13,93502,7500,2376,2376,1188,1100
15,309653000,NORWEGIAN PEARL,9342281,294.13,93530,10000,2400,2400,NG,NG
16,245417000,OOSTERDAM,9221281,285,82820,10965,1800,3200,NG,NG
17,311319000,RADIANCE OF THE SEAS,9195195,293.2,90090,10759,2500,2500,NG,NG
18,311805000,RHAPSODY OF THE SEAS,9116864,279,78878,8439,2000,2416,NG,NG
19,310405000,SAPPHIRE PRINCESS,9228186,290,115875,6750,2600,3100,NG,NG
20,310465000,SEA PRINCESS,9150913,261,77441,8165,2185,1011,NG,NG
21,311050600,SEVEN SEAS NAVIGATOR,9064126,170.69,28803,3342,550,542,NG,NG
22,308628000,SILVER SHADOW,9192167,186,28258,3405,396,388,NG,NG
23,310361000,STAR PRINCESS,9192363,289.62,108806,10852,3300,3100,NG,NG
24,244078000,STATENDAM,8919245,219.2,55877,7637,1629,1629,633,NG
25,245968000,VOLENDAM,9156515,237,61214,6150,1440,1824,NG,NG
26,244128000,WESTERDAM,9226891,285.24,82862,10965,1848,3200,NG,NG
27,246442000,ZAANDAM,9156527,237,61396,6150,1440,1824,NG,NG
28,245304000,ZUIDERDAM,9221279,285.42,82820,10965,1800,3200,NG,NG
