,boatName,mmsi,imo,LOA,GT,DWT,Passengers,Berths,Cabins ,Crew
0,NORWEGIAN STAR,311082000,9195157,294.13,91740,7500,2800,2500,1120,NG
1,MERCURY,249053000,9106302,243,77302,9600,2244,1896,NG,NG
2,INFINITY,249048000,9189421,294,90940,11778,2449,2449,1019,NG
3,EMPRESS OF THE NORT,367611420,9263538,109,5975,NG,236,NG,NG,NG
4,SEA LION,366396000,8966456,45.72,630,NG,NG,NG,NG,NG
5,SEA BIRD,366892350,8966444,45.72,630,NG,NG,70,NG,NG
6,VEENDAM,310801000,9102992,219.21,57092,6604,1629,1629,633,NG
7,SERENADE OF THE SEA,311492000,9228344,293.2,90090,11936,2100,2500,NG,NG
8,OOSTERDAM,245417000,9221281,285,82820,10965,1800,3200,NG,NG
9,STATENDAM,244078000,8919245,219.2,55877,7637,1629,1629,633,NG
10,STAR PRINCESS,310361000,9192363,289.62,108806,10852,3300,3100,NG,NG
11,NORWEGIAN PEARL,309653000,9342281,294.13,93530,10000,2400,2400,NG,NG
12,MILLENNIUM,249055000,9189419,294,90963,11928,2524,2449,1019,NG
13,GOLDEN PRINCESS,310344000,9192351,285,108865,8418,3300,3300,NG,NG
14,DAWN PRINCESS,310437000,9103996,261.23,77441,8293,1950,2342,NG,NG
15,RYNDAM,,,,,,,,,
16,SPIRIT OF COLUMBIA,,,,,,,,,
17,SPIRIT OF NINETY-EIGH,,,,,,,,,
18,DIAMOND PRINCESS,310404000,9228198,290,115906,14601,2600,2600,NG,NG
19,ZAANDAM,246442000,9156527,237,61396,6150,1440,1824,NG,NG
20,SPIRIT OF DISCOVERY,,,,,,,,,
21,WESTERDAM,244128000,9226891,285.24,82862,10965,1848,3200,NG,NG
22,SPIRIT OF GLACIER BA,,,,,,,,,
23,NORWEGIAN SUN,311109000,9218131,258,78309,7100,2359,2359,NG,NG
24,CORAL PRINCESS,310376000,9229659,294,91627,8015,1950,1950,NG,NG
25,CARNIVAL SPIRIT,357658000,9188647,292.56,85619,7200,2680,2680,1057,NG
26,SPIRIT OF ALASKA,,,,,,,,,
27,AMSTERDAM,244370000,9188037,237.91,62735,7327,1380,1738,NG,NG
28,SEVEN SEAS MARINER,311622000,9210139,216,48075,4700,769,769,NG,NG
29,SPIRIT OF ENDEAVOUR,,,,,,,,,
30,SAPPHIRE PRINCESS,235103357,9228186,290,115875,6750,2600,3100,NG,NG
31,SPIRIT OF YORKTOWN,,,,,,,,,
32,VOLENDAM,245968000,9156515,237,61214,6150,1440,1824,NG,NG
33,ISLAND PRINCESS,310384000,9230402,294,92822,8015,1950,1950,NG,NG
34,RHAPSODY OF THE SEA,311805000,9116864,279,78878,8439,2000,2416,NG,NG
35,SPIRIT OF OCEANUS,,,,,,,,,
36,RADIANCE OF THE SEA,311319000,9195195,293.2,90090,10759,2500,2500,NG,NG
37,TAHITIAN PRINCESS,538006842,9187899,181,30277,2000,777,688,NG,NG
38,SILVER SHADOW,308628000,9192167,186,28258,3405,396,388,NG,NG
39,NIPPON MARU,431302000,8817631,166.65,22472,4112,512,607,204,NG
40,CLIPPER ODYSSEY,205788000,8800195,102.96,5218,938,132,NG,NG,NG
41,ODYSSEY,,,,,,,,,
42,SEAS MARINER,311622000,9210139,216,48075,4700,769,769,NG,NG
43,SUN PRINCESS,310841000,9863118,345.5,177882,12200,NG,NG,NG,NG
44,CLIPPER PACIFIC,538003398,7005190,194.32,22945,4525,1196,NG,NG,NG
45,BREMEN,210081000,8907424,111.51,6752,1226,164,184,NG,NG
46,BALMORAL,308785000,8506294,217.91,43537,5500,1400,NG,NG,NG
47,CRYSTAL SERENITY,311536000,9243667,250,68870,10810,1080,1080,NG,655
48,ZUIDERDAM,245304000,9221279,285.42,82820,10965,1800,3200,NG,NG
49,PACIFIC PRINCESS,,,,,,,,,
50,SEA PRINCESS,310465000,9150913,261,77441,8165,2185,1011,NG,NG
51,PACIFIC VENUS,352003306,9160011,183.4,26594,4202,696,720,NG,NG
52,HANSEATIC,309577000,9000168,124.89,8445,1177,188,NG,NG,115
53,WORLD OF RESIDENSE,311213000,9219331,196.35,43188,4558,1042,1042,NG,NG
54,,,,,,,,,,
55,OF RESIDENSE,311213000,9219331,196.35,43188,4558,1042,1042,NG,NG
56,ROTTERDAM,245464000,9837470,299.79,99500,9000,NG,NG,NG,NG
57,ROYAL PRINCESS,310661000,9584712,329.87,142714,12512,NG,NG,NG,NG
58,SEVEN SEAS NAVIGATOR,311050600,9064126,170.69,28803,3342,550,542,NG,NG
59,ASUKA,432545000,8806204,240.96,50444,8642,1110,480,NG,NG
60,DISNEY WONDER,308457000,9126819,294,83308,8604,1760,2834,NG,NG
61,ARCADIA,310459000,9226906,286.43,84342,10939,2534,3200,NG,NG
62,CRYSTAL SYMPHONY,309168000,9066667,238.01,51044,4500,975,NG,NG,NG
63,REGATTA,538001664,9156474,181,30277,2700,702,702,NG,NG
64,CENTURY (CELEBRITY?),249054000,9072446,243,70606,7260,1778,NG,NG,NG
65,ORION II,,,,,,,,,
66,NORWEGIAN JEWEL,311827000,9304045,294.13,93502,7500,2376,2376,1188,1100
67,CARNIVAL MIRACLE,354277000,9237357,292.5,85942,7089,2680,2680,NG,961
68,CELBRITY SOLSTICE,249409000,9362530,317.19,121878,9500,2850,NG,NG,NG
69,GRAND PRINCESS,310327000,9104005,289.52,108806,8418,3300,3300,NG,NG
70,CALEDONIAN SKY,311061100,8802870,90.6,4200,695,114,NG,NG,NG
71,SKY,308865000,9128532,258.6,77104,8800,2450,2450,NG,NG
72,LE SOLEAL,578000200,9641675,142.1,10992,1441,NG,NG,NG,NG
73,CROWN PRINCESS,310500000,9293399,288.63,113561,13294,3599,NG,NG,NG
74,SILVER DISCOVERER,,,,,,,,,
75,SILVER EXPLORER,,,,,,,,,
76,L'AUSTRAL,578000700,9502518,142.1,10944,1441,260,NG,132,NG
77,RUBY PRINCESS,310567000,9378462,289.61,113561,8400,4800,NG,1549,NG
78,NOORDAM,246028000,9230115,285.24,82897,10939,3200,3200,NG,NG
79,JEWEL OF THE SEAS,311583000,9228356,293.2,90090,11936,2100,2100,NG,NG
80,CARNIVAL LEGEND,311001094,9224726,292.5,85942,7089,2680,2680,NG,NG
81,(WILDERNESS?) DISCOVERER,367480140,8859689,53.34,683,NG,99,NG,NG,NG
82,LE BOREAL,578000500,9502506,142.1,10944,1441,260,NG,132,NG
83,NIEUW AMSTERDAM,246648000,9378450,285.22,86273,8754,2104,2104,1053,NG
84,EXPLORER OF THE SEA,311316000,9161728,311,138194,10937,3840,3840,NG,NG
85,MAASDAM,244958000,8919257,219.21,55575,7406,1629,NG,NG,NG
86,EURODAM,245206000,9378448,285.43,86273,9125,NG,NG,NG,NG
87,EUROPA,215767000,9183855†,198.52,28890,2557,408,408,NG,270
88,EMERALD PRINCESS,310531000,9333151,288.61,113561,8400,NG,NG,NG,NG
89,SEABOURN SOJOURN,311027100,9417098,198.15,32477,5000,NG,450,225,NG
90,SEABOURN SOJOURN,311027100,9417098,198.15,32477,5000,NG,450,225,NG
91,(SEABOURN?) QUEST,311038900,9483126,198.19,32477,5000,NG,NG,NG,NG
92,STAR LEGEND,311085000,9008598,160.6,12969,5170,212,NG,NG,NG
93,NORWEGIAN BLISS,311000710,9751509,333.32,168028,11700,4250,4200,NG,NG
