name,imo,LOA,Breadth
QUEST,9483126,198.19,28
DISCOVERER,8859689,53.34,11.89
AMERICAN CONSTELLA,9838333,82,17
AMSTERDAM,9188037,237.91,32.25
ARCADIA,9226906,286.43,32.54
ASUKA II,8806204,240.96,29.6
AZAMARA QUEST,9210218,181,25.46
BALMORAL,8506294,217.91,32.3
BREMEN,8907424,111.51,17
CALEDONIAN SKY,8802870,90.6,15.32
CARNIVAL LEGEND,9224726,292.5,32.2
CARNIVAL MIRACLE,9237357,292.5,32.2
CARNIVAL SPIRIT,9188647,292.56,32.2
CARNIVAL SPLENDOR,9333163,290.2,35.54
CELBRITY SOLSTICE,9362530,317.19,36.9
CELEBRITY CENTURY,9072446,243,32.2
CELEBRITY INFINITY,9189421,294,32.2
CELEBRITY MILLENNIUM,9189419,294,32.2
CLIPPER ODYSSEY,8800195,102.96,15.4
CLIPPER PACIFIC,7005190,194.32,24.02
CORAL PRINCESS,9229659,294,32.2
CROWN PRINCESS,9293399,288.63,50
CRYSTAL SERENITY,9243667,250,32.2
CRYSTAL SYMPHONY,9066667,238.01,30.6
DAWN PRINCESS,9103996,261.23,32.25
DIAMOND PRINCESS,9228198,290,37.75
DISCOVERY PRINCESS,9837468,330,38.38
DISNEY WONDER,9126819,294,32.25
ECLIPSE,9404314,317.14,36.8
EMERALD PRINCESS,9333151,288.61,36
EMPRESS OF THE NORT,9263538,109,17.37
EURODAM,9378448,285.43,32.26
EUROPA,9183855,198.52,24
EXPLORER OF THE SEA,9161728,311,49.1
GOLDEN PRINCESS,9192351,285,36
GRAND PRINCESS,9104005,289.52,36
HANSEATIC,9000168,124.89,18
ISLAND PRINCESS,9230402,294,32.2
JEWEL OF THE SEAS,9228356,293.2,39.8
KONINGSDAM,9692557,299.65,34.98
L'AUSTRAL,9502518,142.1,18
LE BOREAL,9502506,142.1,18
LE SOLEAL,9641675,142.1,18
MAASDAM,8919257,219.21,30.83
MAJESTIC PRINCESS,9614141,329.9,47.3
MERCURY,9106302,243,32.23
NIEUW AMSTERDAM,9378450,285.22,32.24
NIPPON MARU,8817631,166.65,24
NOORDAM,9230115,285.24,32.25
NORWEGIAN BLISS,9751509,333.32,42
NORWEGIAN ENCORE,9751511,333.44,45
NORWEGIAN JEWEL,9304045,294.13,37.88
NORWEGIAN JOY,9703796,333.46,41.4
NORWEGIAN PEARL,9342281,294.13,32.3
NORWEGIAN SPIRIT,9141065,268.6,32.3
NORWEGIAN STAR,9195157,294.13,32.2
NORWEGIAN SUN,9218131,258,36
OOSTERDAM,9221281,285,32.2
OVATION OF SEAS,9697753,348,48.9
PACIFIC VENUS,9160011,183.4,25
QUANTUM OF THE SEA,9549463,347.08,49.47
QUEEN ELIZABETH,9477438,293.83,32.2
RADIANCE OF THE SEAS,9195195,293.2,39.8
REGATTA,9156474,181,25.46
RHAPSODY OF THE SEAS,9116864,279,35.64
ROALD AMUNDSEN,9813072,140,24
ROTTERDAM,9837470,299.79,34.98
ROYAL PRINCESS,9584712,329.87,44
RUBY PRINCESS,9378462,289.61,50.5
SAPPHIRE PRINCESS,9228186,290,37.5
SEA BIRD,8966444,45.72,9.4
SEA LION,8966456,45.72,9.4
SEA PRINCESS,9150913,261,32.25
SEABOURN ODYSSEY,9417086,198.19,26
SEABOURN SOJOURN,9417098,198.15,26
SERENADE OF THE SEA,9228344,293.2,39.8
SEVEN SEAS MARINER,9210139,216,28.84
SEVEN SEAS NAVIGATO,9064126,170.69,24.8
SILVER MUSE,9784350,212.78,27
SILVER SHADOW,9192167,186,24.8
SKY,9128532,258.6,36
STAR BREEZE,8807997,159,20.5
STAR LEGEND,9008598,160.6,20.5
STAR PRINCESS,9192363,289.62,36
STATENDAM,8919245,219.2,30.8
SUN PRINCESS,9863118,345.5,42.5
TAHITIAN PRINCESS,9187899,181,25.46
VEENDAM,9102992,219.21,30.83
VIKING ORION,9796250,228.41,32
VOLENDAM,9156515,237,32.25
WESTERDAM,9226891,285.24,32.3
WORLD OF RESIDENSE,9219331,196.35,29.8
ZAANDAM,9156527,237,32.25
ZUIDERDAM,9221279,285.42,32.2
