,mmsi,name,imo
0,311000710,NORWEGIAN BLISS,9751509
1,311827000,NORWEGIAN JEWEL,9304045
2,245206000,EURODAM,9378448
3,246648000,NIEUW AMSTERDAM,9378450
4,310327000,GRAND PRINCESS,9104005
5,244830547,KONINGSDAM,9692557
6,311746000,NORWEGIAN SPIRIT,9141065
7,310500000,CROWN PRINCESS,9293399
8,246028000,NOORDAM,9230115
9,311000879,NORWEGIAN ENCORE,9751511
10,310567000,RUBY PRINCESS,9378462
11,245968000,VOLENDAM,9156515
12,311109000,NORWEGIAN SUN,9218131
13,309416000,SEABOURN ODYSSEY,9417086
14,257034130,VIKING ORION,9796250
15,235103357,SAPPHIRE PRINCESS,9228186
16,310661000,ROYAL PRINCESS,9584712
17,232002990,MAJESTIC PRINCESS,9614141
18,310625000,QUEEN ELIZABETH,9477438
