,boatName
0,NORWEGIAN STAR
1,MERCURY
2,INFINITY
3,EMPRESS OF THE NORT
4,SEA LION
5,SEA BIRD
6,VEENDAM
7,SERENADE OF THE SEA
8,OOSTERDAM
9,STATENDAM
10,STAR PRINCESS
11,NORWEGIAN PEARL
12,MILLENNIUM
13,GOLDEN PRINCESS
14,DAWN PRINCESS
15,RYNDAM
16,SPIRIT OF COLUMBIA
17,SPIRIT OF NINETY-EIGH
18,DIAMOND PRINCESS
19,ZAANDAM
20,SPIRIT OF DISCOVERY
21,WESTERDAM
22,SPIRIT OF GLACIER BA
23,NORWEGIAN SUN
24,CORAL PRINCESS
25,CARNIVAL SPIRIT
26,SPIRIT OF ALASKA
27,AMSTERDAM
28,SEVEN SEAS MARINER
29,SPIRIT OF ENDEAVOUR
30,SAPPHIRE PRINCESS
31,SPIRIT OF YORKTOWN
32,VOLENDAM
33,ISLAND PRINCESS
34,RHAPSODY OF THE SEA
35,SPIRIT OF OCEANUS
36,RADIANCE OF THE SEA
37,TAHITIAN PRINCESS
38,SILVER SHADOW
39,NIPPON MARU
40,CLIPPER ODYSSEY
41,ODYSSEY
42,SEAS MARINER
43,SUN PRINCESS
44,CLIPPER PACIFIC
45,BREMEN
46,BALMORAL
47,CRYSTAL SERENITY
48,ZUIDERDAM
49,PACIFIC PRINCESS
50,SEA PRINCESS
51,PACIFIC VENUS
52,HANSEATIC
53,WORLD OF RESIDENSE
54,
55,OF RESIDENSE
56,ROTTERDAM
57,ROYAL PRINCESS
58,SEVEN SEAS NAVIGATO
59,ASUKA
60,DISNEY WONDER
61,ARCADIA
62,CRYSTAL SYMPHONY
63,REGATTA
64,CENTURY
65,ORION II
66,NORWEGIAN JEWEL
67,CARNIVAL MIRACLE
68,SOLSTICE
69,GRAND PRINCESS
70,CALEDONIAN SKY
71,SKY
72,LE SOLEAL
73,CROWN PRINCESS
74,SILVER DISCOVERER
75,SILVER EXPLORER
76,L'AUSTRAL
77,RUBY PRINCESS
78,NOORDAM
79,JEWEL OF THE SEAS
80,CARNIVAL LEGEND
81,DISCOVERER
82,LE BOREAL
83,NIEUW AMSTERDAM
84,EXPLORER OF THE SEA
85,MAASDAM
86,EURODAM
87,EUROPA
88,EMERALD PRINCESS
89,SEABOURN SOJOURN
90,SOJOURN
91,QUEST
92,STAR LEGEND
93,NORWEGIAN BLISS
94,AMERICAN CONSTELLA
95,CARNIVAL SPLENDOR
96,NG SEA LION
97,NORWEGIAN JOY
98,NG VENTURE
99,ECLIPSE
100,NG SEA BIRD
101,NG QUEST
102,OVATION OF SEAS
103,QUEEN ELIZABETH
104,VIKING ORION
105,AZAMARA QUEST
106,SILVER MUSE
107,NG ORION
108,ASUKA II
109,ROALD AMUNDSEN
110,MAJESTIC PRINCESS
111,NORWEGIAN ENCORE
112,KONINGSDAM
113,DISCOVERY PRINCESS
114,QUANTUM OF THE SEA
115,OCEAN VICTORY
116,STAR BREEZE
117,AMUNDSEN
118,SEABOURN ODYSSEY
119,NORWEGIAN SPIRIT
120,NG RESOLUTION
121,NG ENDURENCE
122,SCENIC ECLIPSE
123,SILVER WIND
124,LE COMMANDANT CHA
125,BRILLIANCE OF THE SE
126,CARNIVAL LUMINOSA
127,MIRACLE
128,SEVEN SEAS EXPLORER
129,SILVER WHISPER
130,INSIGNIA
131,HANSEATIC NATURE
132,NANSEN
133,SEABOURN VENTURE
134,LE COMMANDANT
