,portAfter,mean_sog_mean,mean_sog_std,mean_sog_count,timeTo_mean,timeTo_std,timeTo_count,distTo_mean,distTo_std,distTo_count
0,College Fjord,16.558435271873932,0.5811133259334983,45,26.16617777777778,0.6869586228405237,45,462.294,2.207705925739535,45
1,Haines,10.349444444444446,,1,13.289,,1,140.18,,1
2,Hubbard Glacier,12.990393206316375,0.5741388755591046,13,15.355230769230769,0.6663436493089436,13,192.01692307692306,2.446611209460213,13
3,Icy Strait Point,13.955622285055085,1.9802486064639062,36,3.598361111111111,5.120157403566964,36,41.74666666666667,39.431424089351445,36
4,Juneau,13.352919204098866,2.4870964834180156,3,13.470666666666666,0.6477193322213983,3,180.68666666666664,41.43248282849259,3
5,Ketchikan,17.058080677191906,1.2819867468949286,105,16.772304761904763,1.730278724344553,105,304.05466666666666,6.877096612707479,105
6,Prince Rupert,17.164289172623086,0.07771630968224981,2,20.42,0.17819090885901046,2,398.975,2.7647875144393983,2
7,Sitka,11.013243592517108,0.8326215584699318,5,12.813400000000001,1.4473906867186899,5,138.086,14.472991397772615,5
8,Skagway,11.79371843979072,1.468492974501811,43,10.738372093023257,1.3458645835662275,43,127.13348837209301,26.45318640305666,43
9,Vancouver,14.16972525652939,0.5132194201222439,2,62.8725,1.2706708857922313,2,929.47,62.91836138997901,2
10,Victoria,17.734591961023142,,1,44.531,,1,862.49,,1
11,Wrangell,15.171689069500886,0.316146064052855,2,15.9335,0.21001071401240504,2,248.745,1.0818733752154084,2
