,mmsi,name,imo,LOA,GT,DWT,Passengers,Berths,Cabins ,Crew
0,244370000,AMSTERDAM,9188037,237.91,62735.0,7327,1380,1738,NG,NG
1,432545000,ASUKA 2,8806204,240.96,50444.0,8642,1110,480,NG,NG
2,357658000,CARNIVAL SPIRIT,9188647,292.56,85619.0,7200,2680,2680,1057,NG
4,249054000,CELEBRITY CENTURY,9072446,243.0,70606.0,7260,1778,NG,NG,NG
5,310376000,CORAL PRINCESS,9229659,294.0,91627.0,8015,1950,1950,NG,NG
6,310437000,DAWN PRINCESS,9103996,261.23,77441.0,8293,1950,2342,NG,NG
7,310404000,DIAMOND PRINCESS,9228198,290.0,115906.0,14601,2600,2600,NG,NG
8,308457000,DISNEY WONDER,9126819,294.0,83308.0,8604,1760,2834,NG,NG
9,310344000,GOLDEN PRINCESS,9192351,285.0,108865.0,8418,3300,3300,NG,NG
10,309577000,HANSEATIC,9000168,124.89,8445.0,1177,188,NG,NG,115
11,249048000,CELEBRITY INFINITY,9189421,294.0,90940.0,11778,2449,2449,1019,NG
12,310384000,ISLAND PRINCESS,9230402,294.0,92822.0,8015,1950,1950,NG,NG
13,249055000,CELEBRITY MILLENNIUM,9189419,294.0,90963.0,11928,2524,2449,1019,NG
14,311827000,NORWEGIAN JEWEL,9304045,294.13,93502.0,7500,2376,2376,1188,1100
15,309653000,NORWEGIAN PEARL,9342281,294.13,93530.0,10000,2400,2400,NG,NG
16,245417000,OOSTERDAM,9221281,285.0,82820.0,10965,1800,3200,NG,NG
17,311319000,RADIANCE OF THE SEAS,9195195,293.2,90090.0,10759,2500,2500,NG,NG
18,311805000,RHAPSODY OF THE SEAS,9116864,279.0,78878.0,8439,2000,2416,NG,NG
19,310405000,SAPPHIRE PRINCESS,9228186,290.0,115875.0,6750,2600,3100,NG,NG
20,310465000,SEA PRINCESS,9150913,261.0,77441.0,8165,2185,1011,NG,NG
21,311050600,SEVEN SEAS NAVIGATOR,9064126,170.69,28803.0,3342,550,542,NG,NG
22,308628000,SILVER SHADOW,9192167,186.0,28258.0,3405,396,388,NG,NG
23,310361000,STAR PRINCESS,9192363,289.62,108806.0,10852,3300,3100,NG,NG
24,244078000,STATENDAM,8919245,219.2,55877.0,7637,1629,1629,633,NG
25,245968000,VOLENDAM,9156515,237.0,61214.0,6150,1440,1824,NG,NG
26,244128000,WESTERDAM,9226891,285.24,82862.0,10965,1848,3200,NG,NG
27,246442000,ZAANDAM,9156527,237.0,61396.0,6150,1440,1824,NG,NG
28,245304000,ZUIDERDAM,9221279,285.42,82820.0,10965,1800,3200,NG,NG
0,311000710,NORWEGIAN BLISS,9751509,333.32,168028.0,11700,4250,4200,NG,NG
2,245206000,EURODAM,9378448,285.43,86273.0,9125,NG,NG,NG,NG
3,246648000,NIEUW AMSTERDAM,9378450,285.22,86273.0,8754,2104,2104,1053,NG
4,310327000,GRAND PRINCESS,9104005,289.52,108806.0,8418,3300,3300,NG,NG
5,244830547,KONINGSDAM,9692557,299.65,99836.0,9480,2650,NG,NG,NG
6,311746000,NORWEGIAN SPIRIT,9141065,268.6,75904.0,8530,2800,1966,982,NG
7,310500000,CROWN PRINCESS,9293399,288.63,113561.0,13294,3599,NG,NG,NG
8,246028000,NOORDAM,9230115,285.24,82897.0,10939,3200,3200,NG,NG
9,311000879,NORWEGIAN ENCORE,9751511,333.44,169116.0,13332,NG,NG,NG,NG
10,310567000,RUBY PRINCESS,9378462,289.61,113561.0,8400,4800,NG,1549,NG
12,311109000,NORWEGIAN SUN,9218131,258.0,78309.0,7100,2359,2359,NG,NG
13,309416000,SEABOURN ODYSSEY,9417086,198.19,32477.0,5000,NG,450,225,NG
14,257034130,VIKING ORION,9796250,228.41,47861.0,4798,NG,NG,NG,NG
16,310661000,ROYAL PRINCESS,9584712,329.87,142714.0,12512,NG,NG,NG,NG
17,232002990,MAJESTIC PRINCESS,9614141,329.9,144216.0,11545,4250,3560,NG,1450
18,310625000,QUEEN ELIZABETH,9477438,293.83,90901.0,7685,NG,NG,NG,NG
0,311082000,NORWEGIAN STAR,9195157,294.13,91740.0,7500,2800,2500,1120,NG
1,249053000,MERCURY,9106302,243.0,77302.0,9600,2244,1896,NG,NG
3,367611420,EMPRESS OF THE NORT,9263538,109.0,5975.0,NG,236,NG,NG,NG
4,366396000,SEA LION,8966456,45.72,630.0,NG,NG,NG,NG,NG
5,366892350,SEA BIRD,8966444,45.72,630.0,NG,NG,70,NG,NG
6,310801000,VEENDAM,9102992,219.21,57092.0,6604,1629,1629,633,NG
7,311492000,SERENADE OF THE SEA,9228344,293.2,90090.0,11936,2100,2500,NG,NG
28,311622000,SEVEN SEAS MARINER,9210139,216.0,48075.0,4700,769,769,NG,NG
37,538006842,TAHITIAN PRINCESS,9187899,181.0,30277.0,2000,777,688,NG,NG
39,431302000,NIPPON MARU,8817631,166.65,22472.0,4112,512,607,204,NG
40,205788000,CLIPPER ODYSSEY,8800195,102.96,5218.0,938,132,NG,NG,NG
43,310841000,SUN PRINCESS,9863118,345.5,177882.0,12200,NG,NG,NG,NG
44,538003398,CLIPPER PACIFIC,7005190,194.32,22945.0,4525,1196,NG,NG,NG
45,210081000,BREMEN,8907424,111.51,6752.0,1226,164,184,NG,NG
46,308785000,BALMORAL,8506294,217.91,43537.0,5500,1400,NG,NG,NG
47,311536000,CRYSTAL SERENITY,9243667,250.0,68870.0,10810,1080,1080,NG,655
51,352003306,PACIFIC VENUS,9160011,183.4,26594.0,4202,696,720,NG,NG
53,311213000,WORLD OF RESIDENSE,9219331,196.35,43188.0,4558,1042,1042,NG,NG
56,245464000,ROTTERDAM,9837470,299.79,99500.0,9000,NG,NG,NG,NG
61,310459000,ARCADIA,9226906,286.43,84342.0,10939,2534,3200,NG,NG
62,309168000,CRYSTAL SYMPHONY,9066667,238.01,51044.0,4500,975,NG,NG,NG
63,538001664,REGATTA,9156474,181.0,30277.0,2700,702,702,NG,NG
67,354277000,CARNIVAL MIRACLE,9237357,292.5,85942.0,7089,2680,2680,NG,961
68,249409000,CELBRITY SOLSTICE,9362530,317.19,121878.0,9500,2850,NG,NG,NG
70,311061100,CALEDONIAN SKY,8802870,90.6,4200.0,695,114,NG,NG,NG
71,308865000,SKY,9128532,258.6,77104.0,8800,2450,2450,NG,NG
72,578000200,LE SOLEAL,9641675,142.1,10992.0,1441,NG,NG,NG,NG
76,578000700,L'AUSTRAL,9502518,142.1,10944.0,1441,260,NG,132,NG
79,311583000,JEWEL OF THE SEAS,9228356,293.2,90090.0,11936,2100,2100,NG,NG
80,311001094,CARNIVAL LEGEND,9224726,292.5,85942.0,7089,2680,2680,NG,NG
81,367480140,(WILDERNESS?) DISCOVERER,8859689,53.34,683.0,NG,99,NG,NG,NG
82,578000500,LE BOREAL,9502506,142.1,10944.0,1441,260,NG,132,NG
84,311316000,EXPLORER OF THE SEA,9161728,311.0,138194.0,10937,3840,3840,NG,NG
85,244958000,MAASDAM,8919257,219.21,55575.0,7406,1629,NG,NG,NG
87,215767000,EUROPA,9183855†,198.52,28890.0,2557,408,408,NG,270
88,310531000,EMERALD PRINCESS,9333151,288.61,113561.0,8400,NG,NG,NG,NG
89,311027100,SEABOURN SOJOURN,9417098,198.15,32477.0,5000,NG,450,225,NG
91,311038900,(SEABOURN?) QUEST,9483126,198.19,32477.0,5000,NG,NG,NG,NG
92,311085000,STAR LEGEND,9008598,160.6,12969.0,5170,212,NG,NG,NG
94,367764750,AMERICAN CONSTELLATION,9838333,82.0,4057.0,NG,NG,NG,NG,NG
95,372808000,CARNIVAL SPLENDOR,9333163,290.2,113562.0,11928,4914,3006,1638,NG
97,311000599,NORWEGIAN JOY,9703796,333.46,167725.0,11700,4200,NG,NG,NG
99,249666000,ECLIPSE,9404314,317.14,121878.0,9500,2850,2850,1425,NG
102,311000397,OVATION OF SEAS,9697753,348.0,168666.0,12000,NG,NG,NG,NG
105,256216000,AZAMARA QUEST,9210218,181.0,30277.0,2700,780,777,NG,NG
106,311000637,SILVER MUSE,9784350,212.78,40791.0,4050,596,NG,NG,NG
109,257425000,ROALD AMUNDSEN,9813072,140.0,21765.0,1800,NG,NG,NG,NG
113,310812000,DISCOVERY PRINCESS,9837468,330.0,145000.0,12500,NG,NG,NG,NG
114,311000267,QUANTUM OF THE SEA,9549463,347.08,168666.0,12000,4100,NG,NG,NG
116,311083000,STAR BREEZE,8807997,159.0,12969.0,1818,212,NG,NG,NG
