,date,boatName,portName,nextPort,year,new_name
57837,6/21/18,AMERICAN CONSTELLA,SKAGWAY,AT SEA,2018,AMERICAN CONSTELLATION
22417,5/16/08,AMSTERDAM,SEATTLE,AT SEA,2008,
51703,5/27/22,AMUNDSEN,Unknown,AT SEA,2022,
14761,5/7/11,ARCADIA,SAN FRANCISCO,SAN FRANCISCO,2011,
145,6/27/10,ASUKA,VANCOUVER,AT SEA,2010,
62949,6/22/19,ASUKA II,VICTORIA,VANCOUVER,2019,ASUKA 2
62959,5/21/19,AZAMARA QUEST,DUTCH HARBOR,AT SEA,2019,
9669,4/15/09,BALMORAL,KODIAK,SEWARD,2009,
22544,9/1/08,BREMEN,POINT BARROW,AT SEA,2008,
36557,4/23/23,BRILLIANCE OF THE SE,VANCOUVER,AT SEA,2023,
43453,6/10/13,CALEDONIAN SKY,ATTU,AT SEA,2013,
4544,5/18/15,CARNIVAL LEGEND,VANCOUVER,AT SEA,2015,
36734,5/4/23,CARNIVAL LUMINOSA,SEATTLE,AT SEA,2023,
43501,4/29/13,CARNIVAL MIRACLE,VANCOUVER,AT SEA,2013,
22556,5/14/08,CARNIVAL SPIRIT,VANCOUVER,AT SEA,2008,
58179,8/25/18,CARNIVAL SPLENDOR,LOS ANGELES,AT SEA,2018,
14972,5/14/11,CENTURY,SAN DIEGO,AT SEA,2011,
22690,7/3/08,CLIPPER ODYSSEY,NOME,AT SEA,2008,
22739,8/16/08,CLIPPER PACIFIC,VANCOUVER,AT SEA,2008,
22746,5/12/08,CORAL PRINCESS,VANCOUVER,AT SEA,2008,
19140,5/6/14,CROWN PRINCESS,SAN FRANCISCO,AT SEA,2014,
10010,4/24/09,CRYSTAL SERENITY,DUTCH HARBOR,AT SEA,2009,
15239,5/9/11,CRYSTAL SYMPHONY,SAN FRANCISCO,AT SEA,2011,
22873,5/7/08,DAWN PRINCESS,SAN FRANCISCO,AT SEA,2008,
23014,5/10/08,DIAMOND PRINCESS,VANCOUVER,AT SEA,2008,
4975,7/11/15,DISCOVERER,Unknown,AT SEA,2015,(WILDERNESS? DISCOVERER)
52293,5/3/22,DISCOVERY PRINCESS,VICTORIA,VANCOUVER,2022,
15476,5/3/11,DISNEY WONDER,VANCOUVER,AT SEA,2011,
63582,5/9/19,ECLIPSE,VANCOUVER,AT SEA,2019,
32471,5/13/17,EMERALD PRINCESS,VANCOUVER,AT SEA,2017,
23149,4/28/08,EMPRESS OF THE NORT,SEATTLE,AT SEA,2008,
32625,4/29/17,EURODAM,SEATTLE,AT SEA,2017,
32782,5/4/17,EUROPA,SAN DIEGO,LOS ANGELES,2017,
48163,5/16/16,EXPLORER OF THE SEA,SEATTLE,VICTORIA,2016,
23254,5/6/08,GOLDEN PRINCESS,SAN FRANCISCO,AT SEA,2008,
44319,5/10/13,GRAND PRINCESS,SAN FRANCISCO,AT SEA,2013,
10289,7/11/09,HANSEATIC,DUTCH HARBOR,AT SEA,2009,
38079,7/7/23,HANSEATIC NATURE,ADAK,AT SEA,2023,HANSEATIC
23399,4/28/08,INFINITY,SAN FRANCISCO,AT SEA,2008,
38131,6/30/23,INSIGNIA,DUTCH HARBOR,AT SEA,2023,
23558,5/19/08,ISLAND PRINCESS,VANCOUVER,AT SEA,2008,
5501,5/16/15,JEWEL OF THE SEAS,SAN DIEGO,AT SEA,2015,
53039,4/30/22,KONINGSDAM,VANCOUVER,AT SEA,2022,
19871,9/11/14,L'AUSTRAL,POINT BARROW,,2014,
5728,9/8/15,LE BOREAL,POINT BARROW,AT SEA,2015,
38346,10/2/23,LE COMMANDANT,POINT BARROW,AT SEA,2023,
53237,10/1/22,LE COMMANDANT CHA,NOME,,2022,LE COMMANDANT
44594,9/11/13,LE SOLEAL,POINT BARROW,POINT BARROW,2013,
48809,5/23/16,MAASDAM,SEATTLE,AT SEA,2016,
8792,8/1/21,MAJESTIC PRINCESS,SEATTLE,AT SEA,2021,
23685,4/27/08,MERCURY,SAN FRANCISCO,AT SEA,2008,
23845,5/5/08,MILLENNIUM,SAN FRANCISCO,AT SEA,2008,
38635,5/8/23,MIRACLE,Unknown,Unknown,2023,
38759,9/4/23,NANSEN,POINT BARROW,AT SEA,2023,
53523,8/7/22,NG ENDURENCE,Unknown,NOME,2022,
64603,6/18/19,NG ORION,SEWARD,AT SEA,2019,
64694,5/12/19,NG QUEST,SEATTLE,AT SEA,2019,
53665,8/6/22,NG RESOLUTION,Unknown,NOME,2022,
64834,5/11/19,NG SEA BIRD,SEATTLE,AT SEA,2019,
64978,5/4/19,NG SEA LION,SEATTLE,AT SEA,2019,
65120,5/6/19,NG VENTURE,SEATTLE,AT SEA,2019,
49055,4/30/16,NIEUW AMSTERDAM,VANCOUVER,AT SEA,2016,
23997,6/27/08,NIPPON MARU,LOS ANGELES,AT SEA,2008,
5878,5/5/15,NOORDAM,SAN DIEGO,AT SEA,2015,
59949,5/30/18,NORWEGIAN BLISS,SEATTLE,AT SEA,2018,
9267,8/2/21,NORWEGIAN ENCORE,SEATTLE,AT SEA,2021,
29336,5/19/12,NORWEGIAN JEWEL,VANCOUVER,AT SEA,2012,
65894,5/4/19,NORWEGIAN JOY,SEATTLE,AT SEA,2019,
24007,5/4/08,NORWEGIAN PEARL,SEATTLE,AT SEA,2008,
54957,6/12/22,NORWEGIAN SPIRIT,Unknown,AT SEA,2022,
24148,4/27/08,NORWEGIAN STAR,VANCOUVER,AT SEA,2008,
24316,5/11/08,NORWEGIAN SUN,VANCOUVER,AT SEA,2008,
55248,5/7/22,OCEAN VICTORY,VANCOUVER,AT SEA,2022,
24469,7/4/08,ODYSSEY,Unknown,AT SEA,2008,
11343,8/16/09,OF RESIDENSE,Unknown,,2009,
24487,5/3/08,OOSTERDAM,SEATTLE,AT SEA,2008,
16615,6/10/11,ORION II,VANCOUVER,AT SEA,2011,
66216,5/13/19,OVATION OF SEAS,VANCOUVER,AT SEA,2019,
11344,5/14/09,PACIFIC PRINCESS,SEATTLE,AT SEA,2009,
11472,6/28/09,PACIFIC VENUS,VANCOUVER,AT SEA,2009,
55552,5/4/22,QUANTUM OF THE SEA,SEATTLE,AT SEA,2022,
66348,5/15/19,QUEEN ELIZABETH,KODIAK,ANCHORAGE,2019,
34470,7/29/17,QUEST,JUNEAU,ENDICOTT ARM,2017,(SEABOURN?) QUEST
24635,5/23/08,RADIANCE OF THE SEA,VANCOUVER,AT SEA,2008,
16757,5/12/11,REGATTA,SAN FRANCISCO,AT SEA,2011,
24760,5/19/08,RHAPSODY OF THE SEA,SEWARD,HUBBARD GLACIER,2008,
66627,9/8/19,ROALD AMUNDSEN,POINT BARROW,AT SEA,2019,
