index,date,boatName,mmsi,imo,portAfter,portBefore,ts_in,ts_out,timeTo,distTo,first_ts_in_next_port,mean_sog,max_sog,segment_id,LOA,GT,DWT,pax,Berths,Cabins ,Crew,Breadth
0,4/19/23,NORWEGIAN BLISS,311000710,9751509,Ketchikan,Skagway,2023-04-19 06:11:19-08:00,2023-04-19 14:34:25-08:00,15.86,299.58,2023-04-20 06:26:00-08:00,17.32295082,22.9,NORWEGIAN_BLISS_0006,333.32,168028,11700,4250,4200,,,42
1,4/26/23,NORWEGIAN BLISS,311000710,9751509,Ketchikan,Skagway,2023-04-26 06:13:39-08:00,2023-04-26 15:01:27-08:00,15.455,300.12,2023-04-27 06:28:45-08:00,18.00170213,23.5,NORWEGIAN_BLISS_0014,333.32,168028,11700,4250,4200,,,42
2,5/3/23,NORWEGIAN BLISS,311000710,9751509,Ketchikan,Skagway,2023-05-03 06:11:13-08:00,2023-05-03 14:49:12-08:00,15.646,301.55,2023-05-04 06:27:59-08:00,17.5762,22.9,NORWEGIAN_BLISS_0022,333.32,168028,11700,4250,4200,,,42
3,10/4/23,NORWEGIAN BLISS,311000710,9751509,Ketchikan,Skagway,2023-10-04 07:24:54-08:00,2023-10-04 15:28:45-08:00,14.521,301.59,2023-10-05 06:00:01-08:00,19.05393701,24.3,NORWEGIAN_BLISS_0234,333.32,168028,11700,4250,4200,,,42
4,10/11/23,NORWEGIAN BLISS,311000710,9751509,Ketchikan,Skagway,2023-10-11 07:40:02-08:00,2023-10-11 15:14:09-08:00,14.883,299.84,2023-10-12 06:07:09-08:00,18.30770677,23.5,NORWEGIAN_BLISS_0242,333.32,168028,11700,4250,4200,,,42
5,10/18/23,NORWEGIAN BLISS,311000710,9751509,Ketchikan,Skagway,2023-10-18 07:58:35-08:00,2023-10-18 15:45:29-08:00,15.151,300.76,2023-10-19 06:54:33-08:00,18.31257606,23.7,NORWEGIAN_BLISS_0250,333.32,168028,11700,4250,4200,,,42
6,10/25/23,NORWEGIAN BLISS,311000710,9751509,Ketchikan,Skagway,2023-10-25 08:04:14-08:00,2023-10-25 15:37:12-08:00,14.574,302.12,2023-10-26 06:11:37-08:00,18.46273063,24.3,NORWEGIAN_BLISS_0256,333.32,168028,11700,4250,4200,,,42
18,5/2/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-05-02 06:35:16-08:00,2023-05-02 15:18:13-08:00,1.997,28.03,2023-05-02 17:18:01-08:00,13.65405405,16.1,EURODAM_0004,285.43,86273,9125,,,,,32.26
19,5/9/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-05-09 06:39:30-08:00,2023-05-09 15:46:52-08:00,1.702,27.53,2023-05-09 17:29:00-08:00,15.27087379,19.6,EURODAM_0014,285.43,86273,9125,,,,,32.26
20,5/16/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-05-16 06:32:58-08:00,2023-05-16 15:30:02-08:00,1.786,28.53,2023-05-16 17:17:13-08:00,14.98591549,18.7,EURODAM_0024,285.43,86273,9125,,,,,32.26
21,5/23/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-05-23 06:34:15-08:00,2023-05-23 15:38:58-08:00,1.745,27.57,2023-05-23 17:23:39-08:00,15.36538462,17.6,EURODAM_0034,285.43,86273,9125,,,,,32.26
22,6/6/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-06-06 06:38:06-08:00,2023-06-06 15:17:34-08:00,1.853,27.79,2023-06-06 17:08:45-08:00,15.10431034,18.8,EURODAM_0052,285.43,86273,9125,,,,,32.26
23,6/13/23,EURODAM,245206000,9378448,Icy Strait Point,Juneau,2023-06-13 06:31:32-08:00,2023-06-13 15:50:26-08:00,1.621,28.33,2023-06-13 17:27:43-08:00,16.77610619,19.8,EURODAM_0062,285.43,86273,9125,,,,,32.26
