,segment_id,port,start_index,end_index,port_duration,timelapse,time_in,time_out,distance_nm,imo,name
37,CROWN_PRINCESS_0076,Glacier Bay,23649,24026,10.802222222222222,10.802,2023-07-09 05:45:35-08:00,2023-07-09 16:33:43-08:00,122.18,9293399.0,CROWN PRINCESS
83,EURODAM_0004,Glacier Bay,752,1029,9.213055555555556,9.213,2023-05-02 06:18:47-08:00,2023-05-02 15:31:34-08:00,114.68,9378448.0,EURODAM
88,EURODAM_0014,Glacier Bay,3278,3606,9.716666666666667,9.717,2023-05-09 06:17:11-08:00,2023-05-09 16:00:11-08:00,120.05,9378448.0,EURODAM
93,EURODAM_0024,Glacier Bay,5957,6291,9.445555555555556,9.446,2023-05-16 06:17:59-08:00,2023-05-16 15:44:43-08:00,122.12,9378448.0,EURODAM
98,EURODAM_0034,Glacier Bay,8618,8905,9.6,9.6,2023-05-23 06:16:15-08:00,2023-05-23 15:52:15-08:00,121.49,9378448.0,EURODAM
107,EURODAM_0052,Glacier Bay,13538,13879,9.159722222222221,9.16,2023-06-06 06:19:37-08:00,2023-06-06 15:29:12-08:00,120.43,9378448.0,EURODAM
112,EURODAM_0062,Glacier Bay,16129,16466,9.700277777777778,9.7,2023-06-13 06:18:06-08:00,2023-06-13 16:00:07-08:00,120.4,9378448.0,EURODAM
117,EURODAM_0072,Glacier Bay,18743,19034,9.696111111111112,9.696,2023-06-20 06:11:52-08:00,2023-06-20 15:53:38-08:00,117.69,9378448.0,EURODAM
122,EURODAM_0082,Glacier Bay,21310,21544,9.39611111111111,9.396,2023-06-27 06:19:12-08:00,2023-06-27 15:42:58-08:00,116.23,9378448.0,EURODAM
127,EURODAM_0092,Glacier Bay,23827,24163,9.5875,9.587,2023-07-04 06:16:32-08:00,2023-07-04 15:51:47-08:00,119.23,9378448.0,EURODAM
132,EURODAM_0102,Glacier Bay,26544,26851,9.435833333333333,9.436,2023-07-11 06:17:57-08:00,2023-07-11 15:44:06-08:00,117.14,9378448.0,EURODAM
137,EURODAM_0112,Glacier Bay,29237,29521,9.377777777777778,9.378,2023-07-18 06:20:28-08:00,2023-07-18 15:43:08-08:00,120.0,9378448.0,EURODAM
142,EURODAM_0122,Glacier Bay,31854,32167,9.219444444444445,9.219,2023-07-25 06:18:32-08:00,2023-07-25 15:31:42-08:00,115.25,9378448.0,EURODAM
147,EURODAM_0132,Glacier Bay,34463,34760,9.143611111111111,9.144,2023-08-01 06:22:25-08:00,2023-08-01 15:31:02-08:00,119.19,9378448.0,EURODAM
152,EURODAM_0142,Glacier Bay,36957,37266,9.341944444444444,9.342,2023-08-08 06:12:44-08:00,2023-08-08 15:33:15-08:00,113.8,9378448.0,EURODAM
157,EURODAM_0152,Glacier Bay,39566,39870,9.229444444444445,9.229,2023-08-15 06:14:56-08:00,2023-08-15 15:28:42-08:00,114.48,9378448.0,EURODAM
162,EURODAM_0162,Glacier Bay,42194,42497,9.2875,9.288,2023-08-22 06:13:04-08:00,2023-08-22 15:30:19-08:00,120.22,9378448.0,EURODAM
167,EURODAM_0172,Glacier Bay,44825,45153,9.170833333333333,9.171,2023-08-29 06:15:19-08:00,2023-08-29 15:25:34-08:00,119.26,9378448.0,EURODAM
172,EURODAM_0182,Glacier Bay,47511,47808,9.346666666666666,9.347,2023-09-05 06:19:33-08:00,2023-09-05 15:40:21-08:00,112.01,9378448.0,EURODAM
177,EURODAM_0192,Glacier Bay,50112,50393,8.926944444444445,8.927,2023-09-12 06:19:37-08:00,2023-09-12 15:15:14-08:00,110.32,9378448.0,EURODAM
181,EURODAM_0200,Glacier Bay,52657,52951,8.823611111111111,8.824,2023-09-19 06:34:06-08:00,2023-09-19 15:23:31-08:00,111.12,9378448.0,EURODAM
186,EURODAM_0210,Glacier Bay,55236,55554,8.378333333333334,8.378,2023-09-26 06:44:32-08:00,2023-09-26 15:07:14-08:00,111.18,9378448.0,EURODAM
191,EURODAM_0220,Glacier Bay,57781,58102,8.590277777777779,8.59,2023-10-03 06:54:59-08:00,2023-10-03 15:30:24-08:00,111.02,9378448.0,EURODAM
200,GRAND_PRINCESS_0012,Glacier Bay,3016,3257,9.374444444444444,9.374,2023-05-11 06:07:27-08:00,2023-05-11 15:29:55-08:00,121.92,9104005.0,GRAND PRINCESS
204,GRAND_PRINCESS_0020,Glacier Bay,5242,5619,10.852777777777778,10.853,2023-05-15 09:01:53-08:00,2023-05-15 19:53:03-08:00,123.2,9104005.0,GRAND PRINCESS
211,GRAND_PRINCESS_0034,Glacier Bay,9155,9444,9.7025,9.703,2023-05-25 06:02:25-08:00,2023-05-25 15:44:34-08:00,120.8,9104005.0,GRAND PRINCESS
215,GRAND_PRINCESS_0042,Glacier Bay,11555,11938,10.75611111111111,10.756,2023-05-29 09:00:55-08:00,2023-05-29 19:46:17-08:00,123.77,9104005.0,GRAND PRINCESS
222,GRAND_PRINCESS_0056,Glacier Bay,15434,15769,10.517222222222221,10.517,2023-06-08 06:05:17-08:00,2023-06-08 16:36:19-08:00,123.45,9104005.0,GRAND PRINCESS
226,GRAND_PRINCESS_0064,Glacier Bay,17839,18184,10.817222222222222,10.817,2023-06-12 08:58:43-08:00,2023-06-12 19:47:45-08:00,122.48,9104005.0,GRAND PRINCESS
233,GRAND_PRINCESS_0078,Glacier Bay,21716,21967,9.822222222222223,9.822,2023-06-22 06:04:41-08:00,2023-06-22 15:54:01-08:00,119.59,9104005.0,GRAND PRINCESS
237,GRAND_PRINCESS_0086,Glacier Bay,24011,24220,10.515277777777778,10.515,2023-06-26 09:03:36-08:00,2023-06-26 19:34:31-08:00,113.27,9104005.0,GRAND PRINCESS
244,GRAND_PRINCESS_0100,Glacier Bay,27830,28113,9.995833333333334,9.996,2023-07-06 06:04:52-08:00,2023-07-06 16:04:37-08:00,118.59,9104005.0,GRAND PRINCESS
248,GRAND_PRINCESS_0108,Glacier Bay,30140,30447,10.483055555555556,10.483,2023-07-10 09:05:38-08:00,2023-07-10 19:34:37-08:00,116.35,9104005.0,GRAND PRINCESS
255,GRAND_PRINCESS_0122,Glacier Bay,33867,34188,9.716666666666667,9.717,2023-07-20 06:06:50-08:00,2023-07-20 15:49:50-08:00,118.43,9104005.0,GRAND PRINCESS
258,GRAND_PRINCESS_0128,Glacier Bay,36156,36468,10.363055555555556,10.363,2023-07-24 09:00:20-08:00,2023-07-24 19:22:07-08:00,118.98,9104005.0,GRAND PRINCESS
265,GRAND_PRINCESS_0142,Glacier Bay,39911,40271,10.4425,10.443,2023-08-03 06:02:18-08:00,2023-08-03 16:28:51-08:00,114.46,9104005.0,GRAND PRINCESS
269,GRAND_PRINCESS_0150,Glacier Bay,42238,42566,10.3475,10.348,2023-08-07 09:07:46-08:00,2023-08-07 19:28:37-08:00,114.79,9104005.0,GRAND PRINCESS
276,GRAND_PRINCESS_0164,Glacier Bay,46062,46358,9.944166666666666,9.944,2023-08-17 06:03:29-08:00,2023-08-17 16:00:08-08:00,119.33,9104005.0,GRAND PRINCESS
280,GRAND_PRINCESS_0172,Glacier Bay,48393,48715,10.4825,10.482,2023-08-21 08:58:26-08:00,2023-08-21 19:27:23-08:00,118.21,9104005.0,GRAND PRINCESS
287,GRAND_PRINCESS_0186,Glacier Bay,52229,52532,9.628055555555555,9.628,2023-08-31 06:03:04-08:00,2023-08-31 15:40:45-08:00,101.32,9104005.0,GRAND PRINCESS
290,GRAND_PRINCESS_0192,Glacier Bay,54693,55006,10.438333333333333,10.438,2023-09-04 09:03:27-08:00,2023-09-04 19:29:45-08:00,119.19,9104005.0,GRAND PRINCESS
297,GRAND_PRINCESS_0206,Glacier Bay,58611,58894,9.348055555555556,9.348,2023-09-14 06:32:39-08:00,2023-09-14 15:53:32-08:00,111.4,9104005.0,GRAND PRINCESS
301,GRAND_PRINCESS_0214,Glacier Bay,61609,61897,9.4425,9.442,2023-09-18 09:22:33-08:00,2023-09-18 18:49:06-08:00,114.67,9104005.0,GRAND PRINCESS
309,KONINGSDAM_0010,Glacier Bay,2376,2615,9.925,9.925,2023-05-10 06:04:41-08:00,2023-05-10 16:00:11-08:00,121.03,9692557.0,KONINGSDAM
313,KONINGSDAM_0018,Glacier Bay,4586,4882,9.903055555555556,9.903,2023-05-17 05:50:21-08:00,2023-05-17 15:44:32-08:00,120.21,9692557.0,KONINGSDAM
317,KONINGSDAM_0026,Glacier Bay,7126,7423,10.025555555555556,10.026,2023-05-24 05:51:38-08:00,2023-05-24 15:53:10-08:00,118.83,9692557.0,KONINGSDAM
321,KONINGSDAM_0034,Glacier Bay,9486,9748,9.784444444444444,9.784,2023-05-31 05:45:43-08:00,2023-05-31 15:32:47-08:00,119.87,9692557.0,KONINGSDAM
325,KONINGSDAM_0042,Glacier Bay,11910,12241,9.662222222222223,9.662,2023-06-07 06:03:34-08:00,2023-06-07 15:43:18-08:00,120.64,9692557.0,KONINGSDAM
329,KONINGSDAM_0050,Glacier Bay,14307,14622,9.373611111111112,9.374,2023-06-14 06:07:08-08:00,2023-06-14 15:29:33-08:00,119.29,9692557.0,KONINGSDAM
333,KONINGSDAM_0058,Glacier Bay,16835,17061,9.545833333333333,9.546,2023-06-21 06:02:55-08:00,2023-06-21 15:35:40-08:00,120.16,9692557.0,KONINGSDAM
337,KONINGSDAM_0066,Glacier Bay,19167,19456,9.5475,9.547,2023-06-28 06:06:47-08:00,2023-06-28 15:39:38-08:00,115.39,9692557.0,KONINGSDAM
341,KONINGSDAM_0074,Glacier Bay,21511,21840,9.7225,9.723,2023-07-05 06:02:55-08:00,2023-07-05 15:46:16-08:00,120.25,9692557.0,KONINGSDAM
345,KONINGSDAM_0082,Glacier Bay,23894,24176,9.604444444444445,9.604,2023-07-12 06:02:40-08:00,2023-07-12 15:38:56-08:00,118.17,9692557.0,KONINGSDAM
349,KONINGSDAM_0090,Glacier Bay,26310,26614,9.46111111111111,9.461,2023-07-19 06:07:17-08:00,2023-07-19 15:34:57-08:00,118.66,9692557.0,KONINGSDAM
353,KONINGSDAM_0098,Glacier Bay,28790,29124,9.657777777777778,9.658,2023-07-26 06:04:49-08:00,2023-07-26 15:44:17-08:00,119.62,9692557.0,KONINGSDAM
357,KONINGSDAM_0106,Glacier Bay,31305,31530,9.565277777777778,9.565,2023-08-02 06:07:33-08:00,2023-08-02 15:41:28-08:00,110.15,9692557.0,KONINGSDAM
361,KONINGSDAM_0114,Glacier Bay,33710,34010,9.54138888888889,9.541,2023-08-09 06:03:54-08:00,2023-08-09 15:36:23-08:00,119.53,9692557.0,KONINGSDAM
365,KONINGSDAM_0122,Glacier Bay,36263,36613,9.749722222222223,9.75,2023-08-16 06:07:19-08:00,2023-08-16 15:52:18-08:00,121.65,9692557.0,KONINGSDAM
369,KONINGSDAM_0130,Glacier Bay,38825,39108,9.76388888888889,9.764,2023-08-23 06:04:18-08:00,2023-08-23 15:50:08-08:00,119.52,9692557.0,KONINGSDAM
373,KONINGSDAM_0138,Glacier Bay,41224,41659,12.737222222222222,12.737,2023-08-30 06:05:45-08:00,2023-08-30 18:49:59-08:00,121.23,9692557.0,KONINGSDAM
377,KONINGSDAM_0146,Glacier Bay,43805,44105,9.258333333333333,9.258,2023-09-06 06:16:00-08:00,2023-09-06 15:31:30-08:00,111.03,9692557.0,KONINGSDAM
381,KONINGSDAM_0154,Glacier Bay,46415,46693,9.400833333333333,9.401,2023-09-13 06:37:37-08:00,2023-09-13 16:01:40-08:00,110.24,9692557.0,KONINGSDAM
385,KONINGSDAM_0162,Glacier Bay,49351,49768,10.090833333333334,10.091,2023-09-20 06:54:36-08:00,2023-09-20 17:00:03-08:00,112.9,9692557.0,KONINGSDAM
389,KONINGSDAM_0170,Glacier Bay,51953,52346,11.344722222222222,11.345,2023-09-27 06:45:25-08:00,2023-09-27 18:06:06-08:00,122.82,9692557.0,KONINGSDAM
392,KONINGSDAM_0176,Glacier Bay,54380,54690,8.92,8.92,2023-10-04 07:20:31-08:00,2023-10-04 16:15:43-08:00,111.51,9692557.0,KONINGSDAM
405,MAJESTIC_PRINCESS_0024,Glacier Bay,7489,7803,9.116944444444444,9.117,2023-05-18 06:02:32-08:00,2023-05-18 15:09:33-08:00,120.84,9614141.0,MAJESTIC PRINCESS
409,MAJESTIC_PRINCESS_0032,Glacier Bay,9837,10105,10.6675,10.668,2023-05-22 09:03:22-08:00,2023-05-22 19:43:25-08:00,119.62,9614141.0,MAJESTIC PRINCESS
