,name,callsign,mmsi,imo,shiptype,length,width
0,NORWEGIAN BLISS,C6DL4,311000710,9751509,Passenger ship,334.0,45.0
1,NORWEGIAN JEWEL,C6TX6,311827000,9304045,Passenger ship,294.0,32.0
2,EURODAM,PHOS,245206000,9378448,Passenger ship,287.0,36.0
3,NIEUW AMSTERDAM,PBWQ,246648000,9378450,Passenger ship,285.0,34.0
4,GRAND PRINCESS,ZCBU5,310327000,9104005,Passenger ship,290.0,36.0
5,KONINGSDAM,PBGJ,244830547,9692557,Passenger ship,299.0,36.0
6,NORWEGIAN SPIRIT,C6TQ6,311746000,9141065,Passenger ship,269.0,36.0
7,CROWN PRINCESS,ZCDM6,310500000,9293399,Passenger ship,290.0,50.0
8,NOORDAM,PHET,246028000,9230115,Passenger ship,281.0,32.0
9,NORWEGIAN ENCORE,C6EF4,311000879,9751511,Passenger ship,334.0,45.0
10,RUBY PRINCESS,ZCDY2,310567000,9378462,Passenger ship,288.0,50.0
11,VOLENDAM,PCHM,245968000,9156515,Passenger ship,237.0,32.0
12,NORWEGIAN SUN,C6RN3,311109000,9218131,Passenger ship,259.0,32.0
13,SEABOURN ODYSSEY,C6XC6,309416000,9417086,Passenger ship,198.0,30.0
14,VIKING ORION,LAYQ7,257034130,9796250,Passenger ship,228.0,34.0
15,SAPPHIRE PRINCESS,2HFZ6,235103357,9228186,Passenger ship,288.0,50.0
16,ROYAL PRINCESS,ZCEI3,310661000,9584712,Passenger ship,330.0,44.0
17,MAJESTIC PRINCESS,MABI4,232002990,9614141,Passenger ship,330.0,38.0
18,QUEEN ELIZABETH,ZCEF2,310625000,9477438,Passenger ship,294.0,36.0
