,date,cruiseID,boatName,portName,ts_in,ts_out,fromPort,fromDist,fromTime,toPort,toDist,toTime
0,"[datetime.date(2023, 4, 19)]",NORWEGIAN BLISS_01,NORWEGIAN BLISS,Glacier Bay,2023-04-19 05:59:08-08:00,2023-04-19 14:42:34-08:00,Skagway,115.85,10.23,Ketchikan,298.49,16.05
1,"[datetime.date(2023, 4, 26)]",NORWEGIAN BLISS_02,NORWEGIAN BLISS,Glacier Bay,2023-04-26 05:57:58-08:00,2023-04-26 15:08:20-08:00,Skagway,115.56,10.21,Ketchikan,299.19,15.7
2,"[datetime.date(2023, 5, 3)]",NORWEGIAN BLISS_03,NORWEGIAN BLISS,Glacier Bay,2023-05-03 05:59:27-08:00,2023-05-03 15:00:23-08:00,Skagway,116.83,10.44,Ketchikan,300.04,15.8
3,"[datetime.date(2023, 10, 4)]",NORWEGIAN BLISS_27,NORWEGIAN BLISS,Glacier Bay,2023-10-04 07:15:45-08:00,2023-10-04 15:33:58-08:00,Skagway,115.51,11.57,Ketchikan,300.82,14.72
4,"[datetime.date(2023, 10, 11)]",NORWEGIAN BLISS_28,NORWEGIAN BLISS,Glacier Bay,2023-10-11 07:31:01-08:00,2023-10-11 15:21:39-08:00,Skagway,115.6,11.82,Ketchikan,299.09,15.14
5,"[datetime.date(2023, 10, 18)]",NORWEGIAN BLISS_29,NORWEGIAN BLISS,Glacier Bay,2023-10-18 07:50:47-08:00,2023-10-18 15:51:31-08:00,Skagway,114.85,12.31,Ketchikan,299.81,15.33
6,"[datetime.date(2023, 10, 25)]",NORWEGIAN BLISS_30,NORWEGIAN BLISS,Glacier Bay,2023-10-25 07:57:23-08:00,2023-10-25 15:45:17-08:00,Skagway,116.17,12.18,Ketchikan,300.76,14.83
7,"[datetime.date(2023, 5, 6)]",NORWEGIAN JEWEL_02,NORWEGIAN JEWEL,Glacier Bay,2023-05-06 05:58:35-08:00,2023-05-06 14:47:01-08:00,Skagway,116.21,9.88,Seward,545.64,14.0
8,"[datetime.date(2023, 5, 20)]",NORWEGIAN JEWEL_03,NORWEGIAN JEWEL,Glacier Bay,2023-05-20 05:51:42-08:00,2023-05-20 15:16:33-08:00,Skagway,116.19,9.73,Seward,534.17,13.65
9,"[datetime.date(2023, 6, 3)]",NORWEGIAN JEWEL_04,NORWEGIAN JEWEL,Glacier Bay,2023-06-03 05:53:51-08:00,2023-06-03 14:57:33-08:00,Skagway,116.19,9.88,Seward,544.24,13.76
10,"[datetime.date(2023, 6, 17)]",NORWEGIAN JEWEL_05,NORWEGIAN JEWEL,Glacier Bay,2023-06-17 05:53:31-08:00,2023-06-17 15:21:56-08:00,Skagway,114.46,10.17,Seward,546.51,13.61
11,"[datetime.date(2023, 7, 1)]",NORWEGIAN JEWEL_06,NORWEGIAN JEWEL,Glacier Bay,2023-07-01 05:49:54-08:00,2023-07-01 15:10:07-08:00,Skagway,115.88,9.99,Seward,532.92,13.71
