         391699057 function calls (391585293 primitive calls) in 50.544 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 54566286   17.525    0.000   35.347    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:626(is_valid_na_for_dtype)
 54606401    6.778    0.000   11.623    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:150(_isna)
 54562751    5.412    0.000   40.750    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:406(<genexpr>)
 54606401    4.910    0.000   16.532    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:67(isna)
 54602518    3.426    0.000    3.426    0.000 {built-in method pandas._libs.missing.checknull}
109243853    2.744    0.000    2.744    0.000 {pandas._libs.lib.is_scalar}
103884/101899    1.753    0.000   43.539    0.000 {built-in method builtins.all}
45348/44190    1.268    0.000    1.322    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1773    0.928    0.001   47.087    0.027 /Users/Graham/cruise/ship.py:268(addGroup)
      195    0.812    0.004    0.842    0.004 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
    50363    0.665    0.000    0.665    0.000 {built-in method pandas._libs.missing.isnaobj}
    39124    0.223    0.000    0.223    0.000 {built-in method numpy.empty}
     1773    0.191    0.000   45.712    0.026 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:185(concatenate_managers)
1786441/1786051    0.154    0.000    0.211    0.000 {built-in method builtins.isinstance}
     3685    0.118    0.000    0.118    0.000 {method 'fill' of 'numpy.ndarray' objects}
     4511    0.107    0.000    0.107    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     1773    0.085    0.000    0.085    0.000 {built-in method pandas._libs.tslib.array_to_datetime}
     3866    0.076    0.000    0.076    0.000 {pandas._libs.algos.take_2d_axis1_object_object}
    76575    0.073    0.000    0.073    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3546    0.066    0.000    0.115    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:287(_get_mgr_concatenation_plan)
      195    0.061    0.000   49.254    0.253 /Users/Graham/cruise/ship.py:39(parseRows)
584412/485037    0.053    0.000    0.072    0.000 {built-in method builtins.len}
     5304    0.047    0.000    0.053    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:530(_box_func)
      195    0.045    0.000    0.053    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/c_parser_wrapper.py:45(__init__)
      579    0.041    0.000    0.066    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:2091(_merge_blocks)
15230/13247    0.041    0.000    0.413    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/series.py:323(__init__)
    38948    0.041    0.000    0.909    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:424(is_na)
8551/4373    0.040    0.000    0.202    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:397(__new__)
     6956    0.038    0.000    0.056    0.000 {pandas._libs.lib.maybe_convert_objects}
   279831    0.037    0.000    0.052    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/generic.py:43(_check)
    21247    0.036    0.000    0.061    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:706(_combine_concat_plans)
5446/3673    0.035    0.000    0.230    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/sorting.py:357(nargsort)
    28525    0.035    0.000    0.064    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:5577(__setattr__)
     1788    0.034    0.000    0.121    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:713(_slice_take_blocks_ax0)
    92652    0.033    0.000    0.068    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1587(_is_dtype_type)
    19474    0.032    0.000    0.300    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:636(_is_uniform_join_units)
    17140    0.031    0.000    0.237    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
     1773    0.029    0.000    0.120    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1061(iset)
   417815    0.028    0.000    0.031    0.000 {built-in method builtins.getattr}
    17030    0.028    0.000    0.052    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:5517(__finalize__)
     3546    0.028    0.000    0.045    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/numpy/lib/function_base.py:4999(delete)
    24752    0.028    0.000    0.036    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:239(__init__)
      193    0.026    0.000    0.058    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/c_parser_wrapper.py:344(_concatenate_chunks)
    52213    0.026    0.000    0.078    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:581(is_dtype_equal)
    13082    0.025    0.000    0.089    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:470(sanitize_array)
      791    0.023    0.000    0.024    0.000 {built-in method io.open}
        1    0.023    0.023   50.545   50.545 /Users/Graham/cruise/app.py:16(populateBoatsData)
    52136    0.022    0.000    0.714    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:227(_isna_array)
   122875    0.022    0.000    0.041    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1552(get_dtype)
    50011    0.022    0.000    0.756    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:701(<genexpr>)
     3673    0.021    0.000    0.841    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:6275(sort_values)
    52686    0.021    0.000    0.077    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:651(<genexpr>)
     1773    0.020    0.000   45.855    0.026 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:544(get_result)
    18370    0.020    0.000    0.020    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7112    0.020    0.000    0.020    0.000 {method 'clear' of 'dict' objects}
     1627    0.019    0.000    0.035    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:2060(_stack_arrays)
     7414    0.019    0.000    0.178    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3463(__getitem__)
    15927    0.018    0.000    0.115    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimelike.py:330(__getitem__)
18913/17140    0.018    0.000    0.297    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/array_algos/take.py:57(take_nd)
     3866    0.018    0.000    0.018    0.000 {pandas._libs.algos.take_2d_axis1_float64_float64}
     3546    0.017    0.000    0.094    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/datetimes.py:2019(_sequence_to_dt64ns)
    52686    0.017    0.000    0.150    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:661(<genexpr>)
     2401    0.017    0.000    0.021    0.000 {pandas._libs.lib.infer_dtype}
    15927    0.016    0.000    0.084    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/arrays/_mixins.py:266(__getitem__)
      195    0.016    0.000    1.263    0.006 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/io/parsers/readers.py:539(_read)
    20792    0.016    0.000    0.024    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:654(_simple_new)
    17140    0.016    0.000    0.034    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/array_algos/take.py:554(_take_preprocess_indexer_and_fill_value)
      129    0.016    0.000    0.016    0.000 {method 'factorize' of 'pandas._libs.hashtable.PyObjectHashTable' objects}
     7414    0.015    0.000    0.037    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:1016(iget)
    13371    0.015    0.000    0.322    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:1116(take_nd)
    29039    0.014    0.000    1.276    0.000 <__array_function__ internals>:177(concatenate)
     1773    0.014    0.000    0.199    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/reshape/concat.py:368(__init__)
     9171    0.014    0.000    0.055    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:5178(equals)
    56868    0.014    0.000    0.015    0.000 {pandas._libs.lib.is_list_like}
    30933    0.014    0.000    0.015    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:267(make_block_same_class)
      210    0.014    0.000    0.163    0.001 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/construction.py:102(arrays_to_mgr)
     3866    0.014    0.000    0.389    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:692(<listcomp>)
   122445    0.013    0.000    0.017    0.000 {built-in method builtins.hasattr}
    30645    0.013    0.000    0.036    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1240(is_float_dtype)
    50363    0.013    0.000    0.678    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:268(_isna_string_dtype)
     3824    0.013    0.000   42.752    0.011 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/concat.py:453(get_reindexed_values)
     3756    0.012    0.000    0.018    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
    18544    0.012    0.000    0.036    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/base.py:53(shape)
     5686    0.012    0.000    0.530    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/managers.py:634(reindex_indexer)
     1773    0.011    0.000    1.447    0.001 /Users/Graham/cruise/ship.py:114(orderGroupByTime)
    37779    0.011    0.000    0.013    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/construction.py:438(ensure_wrapped_if_datetimelike)
    34996    0.011    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:1747(pandas_dtype)
    17061    0.011    0.000    0.049    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/missing.py:572(na_value_for_dtype)
     3866    0.011    0.000    0.038    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:1098(take)
     4252    0.011    0.000    0.011    0.000 {method 'take' of 'numpy.ndarray' objects}
     3673    0.011    0.000    0.124    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/generic.py:1796(_get_label_or_level_values)
    37051    0.011    0.000    0.018    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/internals/blocks.py:178(_can_hold_na)
     1773    0.011    0.000    0.024    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/tools/datetimes.py:102(should_cache)
     2583    0.011    0.000    0.169    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexes/base.py:672(_with_infer)
     4655    0.010    0.000    0.010    0.000 {pandas._libs.algos.take_2d_axis0_int64_int64}
     3670    0.010    0.000    0.216    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/concat.py:74(concat_compat)
    28161    0.010    0.000    0.030    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/dtypes/common.py:161(is_object_dtype)
     7414    0.010    0.000    0.145    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/frame.py:3923(_get_item_cache)
     3866    0.010    0.000    0.020    0.000 /opt/homebrew/Caskroom/miniforge/base/lib/python3.9/site-packages/pandas/core/indexers/utils.py:249(maybe_convert_indices)
